edge_source_id	edge_id	paper_id	observation_id	claim_id	support_kind	species_support	source_scope	confidence_tier	citation_note	notes
REGSRC00001	EDGE02381		REGISTER:M20B-EVID-000370		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E000370; register_evidence_id=M20B-EVID-000370; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-000370; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_remaining_discovery
REGSRC00002	EDGE02382		REGISTER:M20B-EVID-000398		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E000398; register_evidence_id=M20B-EVID-000398; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-000398; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_priority_signaling
REGSRC00003	EDGE02383		REGISTER:M20B-EVID-000472		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E000472; register_evidence_id=M20B-EVID-000472; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-000472; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_remaining_discovery
REGSRC00004	EDGE02384		REGISTER:M20B-EVID-000475		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E000475; register_evidence_id=M20B-EVID-000475; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-000475; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_remaining_discovery
REGSRC00005	EDGE02385		REGISTER:M20B-EVID-000478		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E000478; register_evidence_id=M20B-EVID-000478; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-000478; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_remaining_discovery
REGSRC00006	EDGE02386		REGISTER:M20B-EVID-000726		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E000726; register_evidence_id=M20B-EVID-000726; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-000726; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_priority_signaling
REGSRC00007	EDGE02387		REGISTER:M20B-EVID-000731		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E000731; register_evidence_id=M20B-EVID-000731; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-000731; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_priority_signaling
REGSRC00008	EDGE02388		REGISTER:M20B-EVID-001461		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E001461; register_evidence_id=M20B-EVID-001461; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-001461; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_remaining_discovery
REGSRC00009	EDGE02389		REGISTER:M20B-EVID-001470		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E001470; register_evidence_id=M20B-EVID-001470; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-001470; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_remaining_discovery
REGSRC00010	EDGE02390		REGISTER:M20B-EVID-001479		database_curated	mouse	direct_edge	medium		register_edge_id=M20B-E001479; register_evidence_id=M20B-EVID-001479; source_kind=frozen_module20a_lr_release; source_locator=; source_locator_status=local_only_or_unresolved; register_evidence_id=M20B-EVID-001479; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved; cellchat_remaining_discovery
