ligand	receptor	ligand_components	receptor_components	resource	source_record_id	pathway_name	annotation	evidence	cofactor_annotations	version	direct_lr_candidate
Tgfb1	Tgfbr1_Tgfbr2	Tgfb1	Tgfbr1|Tgfbr2	CellChatDB.mouse	TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	KEGG: mmu04350	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb2	Tgfbr1_Tgfbr2	Tgfb2	Tgfbr1|Tgfbr2	CellChatDB.mouse	TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	KEGG: mmu04350	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb3	Tgfbr1_Tgfbr2	Tgfb3	Tgfbr1|Tgfbr2	CellChatDB.mouse	TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	KEGG: mmu04350	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb1	Acvr1b_Tgfbr2	Tgfb1	Acvr1b|Tgfbr2	CellChatDB.mouse	TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	PMID: 27449815	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb1	Acvr1c_Tgfbr2	Tgfb1	Acvr1c|Tgfbr2	CellChatDB.mouse	TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	PMID: 27449815	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb2	Acvr1b_Tgfbr2	Tgfb2	Acvr1b|Tgfbr2	CellChatDB.mouse	TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	PMID: 27449815	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb2	Acvr1c_Tgfbr2	Tgfb2	Acvr1c|Tgfbr2	CellChatDB.mouse	TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	PMID: 27449815	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb3	Acvr1b_Tgfbr2	Tgfb3	Acvr1b|Tgfbr2	CellChatDB.mouse	TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	PMID: 27449815	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb3	Acvr1c_Tgfbr2	Tgfb3	Acvr1c|Tgfbr2	CellChatDB.mouse	TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	PMID: 27449815	TGFb inhibition receptor;TGFb agonist;TGFb antagonist	CellChatDB v1	true
Tgfb1	Acvr1_Tgfbr1_Tgfbr2	Tgfb1	Acvr1|Tgfbr1|Tgfbr2	CellChatDB.mouse	TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	PMID: 29376829		CellChatDB v1	true
