expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-1015	M21B-DOWNSTREAM:00313	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE05335	IL18	M21B-E000736	NODE05340	IL18BP soluble decoy								IL-18BP soluble sequestration and suppression of IL-18-induced IFN-gamma output	IL18-IL18BP-decoy-binding	primary_literature_route_expansion	primary_binding_and_cellular_functional_output	M21B-E000736;M21B-EVID-000515;M21B-DOWNSTREAM-EVID:000515;PMID:18797176;PMID:10655506;PMID:10023777	M21B-DOWNSTREAM-EVID:000515	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1015	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	human; mouse	Recombinant human IL-18 and IL-18BP binding/neutralization systems with PBMC, KG-1 and NK-cell IFN-gamma readouts	extracellular IL-18 sequestration by secreted IL-18BP; reduced cytokine output	no SCI transfer inferred; primary immune-cell and biochemical models only	IL-18BP is retained as a secreted high-affinity decoy that neutralizes IL-18; it is not promoted to IL18R1/IL18RAP or a transmembrane signaling receptor	SPR/solution binding, isoform neutralization and IL-18-induced IFN-gamma inhibition	inhibitory	composite_primary_evidence	PMID:18797176; PMID:10655506; PMID:10023777	Primary locators: PMID:18797176; PMID:10655506; PMID:10023777.	Primary-supported claim: Secreted IL-18BP binds IL-18 with high affinity and inhibits IL-18-dependent IFN-gamma production in the reported biochemical and immune-cell assays.	Record direct IL-18 sequestration and inhibition only; do not treat IL18BP as the productive IL-18 receptor complex or infer a downstream TF chain.	curated_primary_route	LITEXP:001015
M21B-LITEXP-1016	M21B-DOWNSTREAM:00323	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE01300	BMP6	M21B-E000808	NODE00182	ACVR1/ALK2								BMP6-ALK2/type-II-receptor-context Smad1/5 activation and osteogenic output	BMP6-ACVR1-ALK2-binding-activation	primary_literature_route_expansion	primary_receptor_proximal_and_activation_output	M21B-E000808;M21B-EVID-000540;M21B-DOWNSTREAM-EVID:000540;M21B-DOWNSTREAM-EVID:000541;M21B-DOWNSTREAM-EVID:000542;PMID:10504300;DOI:10.1242/jcs.112.20.3519	M21B-DOWNSTREAM-EVID:000540	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1016	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse; rat	Mouse C2C12 and MC3T3-E1 osteoblast-lineage cells and rat ROB-C26 cells with BMP6 receptor-binding, ALP, Smad1/5 phosphorylation and nuclear-localization assays	extracellular BMP6; ACVR1/ALK2 with cooperating type-II receptors; Smad1/5 activation output	no SCI transfer inferred; primary osteoblast-lineage models only	BMP6-ALK2 binding and receptor-context activation are retained; type-II-receptor cooperation is required and the complete intracellular or transcriptional route remains unresolved	BMP6 receptor binding, ALP induction and Smad1/5 phosphorylation/nuclear accumulation	activating	composite_primary_evidence	PMID:10504300; DOI:10.1242/jcs.112.20.3519	Primary locators: PMID:10504300; DOI:10.1242/jcs.112.20.3519.	Primary-supported claim: BMP6 engages an ALK2/type-II-receptor context and produces Smad1/5-associated activation and osteogenic readouts in the reported osteoblast-lineage assays.	Preserve type-II-receptor cooperation and osteoblast-lineage context; do not infer universal receptor weighting, a complete Smad relay or SCI function.	curated_primary_route	LITEXP:001016
M21B-LITEXP-1017	M21B-DOWNSTREAM:00328	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04430	GREM1	M21B-E000843	NODE01290	BMP2 ligand target								GREM1-BMP2 soluble antagonism with reduced Smad1/5/8 phosphorylation and BMP-gene output	GREM1-BMP2-antagonism	primary_literature_route_expansion	primary_binding_and_signaling-inhibition_output	M21B-E000843;M21B-EVID-000550;M21B-DOWNSTREAM-EVID:000550;M21B-DOWNSTREAM-EVID:000551;M21B-DOWNSTREAM-EVID:000552;M21B-DOWNSTREAM-EVID:000553;M21B-DOWNSTREAM-EVID:000554;PMID:25378054;DOI:10.1042/BJ20140771	M21B-DOWNSTREAM-EVID:000550	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1017	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human	Recombinant human GREM1/BMP2 systems with SPR and kidney proximal-tubule or HEK293 Smad1/5/8 phosphorylation and BMP-gene-expression readouts	soluble GREM1-BMP2 sequestration before BMP receptor engagement; reduced BMP pathway output	no SCI transfer inferred; primary biochemical and renal-cell models only	GREM1 preferential BMP2 binding and solution-phase inhibition are retained; text-level Smad and gene-expression evidence is not promoted to a complete intracellular or TF chain	SPR affinity comparison, Smad1/5/8 phosphorylation and BMP-dependent gene-expression assays	inhibitory	composite_primary_evidence	PMID:25378054; DOI:10.1042/BJ20140771	Primary: Gremlin1 preferentially binds BMP2 and BMP4 over BMP7; PMID:25378054; DOI:10.1042/BJ20140771.	Primary-supported claim: GREM1 binds BMP2 with higher affinity than BMP4 or BMP7 and inhibits BMP2-dependent Smad1/5/8 phosphorylation and BMP-gene output in the reported solution and cell assays.	Promote as soluble antagonist binding/sequestration; preserve the BMP2>BMP4>BMP7 affinity context and do not infer a productive receptor relay or SCI function.	curated_primary_route	LITEXP:001017
M21B-LITEXP-1018	M21B-DOWNSTREAM:00329	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04430	GREM1	M21B-E000844	NODE01294	BMP4 ligand target								GREM1-BMP4 soluble antagonism with reduced BMP signaling and gene-expression output	GREM1-BMP4-antagonism	primary_literature_route_expansion	primary_binding_and_signaling-inhibition_output	M21B-E000844;M21B-EVID-000555;M21B-DOWNSTREAM-EVID:000555;M21B-DOWNSTREAM-EVID:000556;M21B-DOWNSTREAM-EVID:000557;M21B-DOWNSTREAM-EVID:000558;PMID:25378054;DOI:10.1042/BJ20140771	M21B-DOWNSTREAM-EVID:000555	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1018	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human	Recombinant human GREM1/BMP4 systems with SPR and kidney proximal-tubule or HEK293 Smad1/5/8 phosphorylation and BMP-gene-expression readouts	soluble GREM1-BMP4 sequestration before BMP receptor engagement; reduced BMP pathway output	no SCI transfer inferred; primary biochemical and renal-cell models only	GREM1-BMP4 binding and signaling modulation are retained; the source does not establish a complete intracellular or TF route from the antagonist edge	SPR affinity panel, Smad1/5/8 phosphorylation and BMP-dependent gene-expression assays	inhibitory	composite_primary_evidence	PMID:25378054; DOI:10.1042/BJ20140771	Primary: Gremlin1 preferentially binds BMP2 and BMP4 over BMP7; PMID:25378054; DOI:10.1042/BJ20140771.	Primary-supported claim: GREM1 binds BMP4 and modulates BMP-dependent Smad and gene-expression readouts in the reported solution and cell assays.	Promote as soluble antagonist binding/modulation; preserve affinity ranking and solution-phase context, and do not infer cell-associated blockade, a productive relay or SCI function.	curated_primary_route	LITEXP:001018
M21B-LITEXP-1019	M21B-DOWNSTREAM:00330	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04430	GREM1	M21B-E000845	NODE01302	BMP7 ligand target								GREM1-BMP7 lower-affinity antagonism and BMP-pathway output modulation	GREM1-BMP7-antagonism	primary_literature_route_expansion	primary_binding_and_signaling-modulation_output	M21B-E000845;M21B-EVID-000559;M21B-DOWNSTREAM-EVID:000559;M21B-DOWNSTREAM-EVID:000560;M21B-DOWNSTREAM-EVID:000561;M21B-DOWNSTREAM-EVID:000562;PMID:25378054;DOI:10.1042/BJ20140771	M21B-DOWNSTREAM-EVID:000559	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1019	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human	Recombinant human GREM1/BMP7 systems with SPR and kidney proximal-tubule or HEK293 Smad1/5/8 phosphorylation and BMP-gene-expression readouts	soluble GREM1-BMP7 interaction with lower affinity than BMP2/BMP4; context-dependent BMP output modulation	no SCI transfer inferred; primary biochemical and renal-cell models only	The BMP2>BMP4>BMP7 affinity ranking and BMP7 modulation are retained; no universal BMP7 inhibition or complete intracellular route is inferred	SPR affinity comparison, Smad1/5/8 phosphorylation and BMP-dependent gene-expression assays	inhibitory	composite_primary_evidence	PMID:25378054; DOI:10.1042/BJ20140771	Primary: Gremlin1 preferentially binds BMP2 and BMP4 over BMP7; PMID:25378054; DOI:10.1042/BJ20140771.	Primary-supported claim: GREM1 binds BMP7 with lower affinity than BMP2 or BMP4 and modulates BMP7-associated Smad and gene-expression readouts in the reported assays.	Preserve the lower-affinity BMP7 context and disease-cell boundaries; do not overstate GREM1 as a universal BMP7 inhibitor or infer SCI function.	curated_primary_route	LITEXP:001019
M21B-LITEXP-1020	M21B-DOWNSTREAM:00331	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE11485	TWSG1/Tsukushi	M21B-E000846	NODE01290	BMP2 ligand target								Glycosylated TWSG1-BMP2 binding and extracellular BMP-modulation output	TWSG1-BMP2-binding	primary_literature_route_expansion	primary_binding_and_explant_functional_output	M21B-E000846;M21B-EVID-000563;M21B-DOWNSTREAM-EVID:000563;PMID:21941513;PMCID:PMC3170884	M21B-DOWNSTREAM-EVID:000563	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1020	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	mouse; Xenopus	Recombinant mouse and Xenopus TWSG1 glycoforms with BMP2 co-immunoprecipitation, SPR, glycosylation mutants and mandibular-explant Msx2 assays	extracellular glycosylation-dependent TWSG1-BMP2 binding and BMP-modulation output	no SCI transfer inferred; primary craniofacial developmental models only	TWSG1-BMP2 binding and glycosylation dependence are retained; the source does not establish a single productive receptor mechanism or terminal TF route	BMP2 co-immunoprecipitation, SPR, glycosylation/exon-deletion mutants and mandibular-explant Msx2 readout	unknown	composite_primary_evidence	PMID:21941513; PMCID:PMC3170884	Primary: Glycosylation of Twisted Gastrulation is Required for BMP Binding and Activity during Craniofacial Development; PMID:21941513; PMCID:PMC3170884.	Primary-supported claim: Glycosylated TWSG1 binds BMP2 and modulates BMP activity, whereas glycosylation-defective forms lose binding and inhibitory activity in the reported biochemical and mandibular-explant assays.	Preserve species, glycoform and craniofacial context; do not assign a single productive receptor mechanism or infer SCI function.	curated_primary_route	LITEXP:001020
M21B-LITEXP-1021	M21B-DOWNSTREAM:00332	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|secreted_protein_or_release	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE02138	CHRD/Chordin	M21B-E000848	NODE01294	BMP4 ligand target								Chordin-BMP4 soluble sequestration and BMP-receptor-access inhibition	CHRD-BMP4-antagonism	primary_literature_route_expansion	primary_binding_and_developmental_output	M21B-E000848;M21B-EVID-000564;M21B-DOWNSTREAM-EVID:000564;M21B-DOWNSTREAM-EVID:000565;PMCID:PMC3070603;PMCID:PMC2280033	M21B-DOWNSTREAM-EVID:000564	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1021	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	Xenopus	Xenopus Chordin/BMP4 biochemical binding and embryonic explant/dorsoventral-patterning assays	secreted Chordin cysteine-rich domains bind BMP4 and limit access to BMP receptors	no SCI transfer inferred; primary vertebrate developmental model only	Chordin-BMP4 binding, receptor competition and developmental antagonism are retained; Chordin is a soluble antagonist, not a productive receptor relay	radiolabeled ligand binding, competition, cross-linking, Scatchard analysis and embryonic explant assays	inhibitory	composite_primary_evidence	PMCID:PMC3070603; PMCID:PMC2280033	Primary locators: PMCID:PMC3070603; PMCID:PMC2280033.	Primary-supported claim: Chordin binds BMP4 with high affinity and inhibits BMP-receptor access and BMP activity in the reported biochemical and Xenopus developmental assays.	Promote as secreted antagonist binding/sequestration and receptor competition; preserve Xenopus Chordin/BMP4 context and do not infer productive receptor signaling or SCI function.	curated_primary_route	LITEXP:001021
M21B-LITEXP-1022	M21B-DOWNSTREAM:00333	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE11579	USAG1/SOSTDC1	M21B-E000850	NODE01302	BMP7 ligand target								USAG1-BMP7 neutralization and renal epithelial-protection output	USAG1-BMP7-antagonism	primary_literature_route_expansion	primary_binding_and_in_vivo_functional_output	M21B-E000850;M21B-EVID-000566;M21B-DOWNSTREAM-EVID:000566;PMCID:PMC1307562	M21B-DOWNSTREAM-EVID:000566	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1022	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	mouse	Mouse distal-tubule and renal-injury models with USAG1/BMP7 neutralization, phospho-Smad1/5/8 and tubular-injury readouts	secreted USAG1 binds BMP7 and interferes with BMP-receptor engagement; renal epithelial-protection output	no SCI transfer inferred; primary renal-injury model only	USAG1-BMP7 binding/neutralization and renal protection are retained; the downstream BMP signaling chain and target genes remain unresolved	USAG1 deficiency, BMP7 neutralization, phospho-Smad1/5/8 and renal tubular injury assays	inhibitory	composite_primary_evidence	PMCID:PMC1307562	Primary: USAG-1, a novel BMP antagonist expressed in the kidney, accelerates tubular injury; PMCID:PMC1307562.	Primary-supported claim: USAG1 binds BMP7 and interferes with receptor engagement, reducing BMP7-dependent renal epithelial protection in the reported mouse injury models.	Preserve USAG1/SOSTDC1 naming and kidney-injury context; do not infer a productive BMP receptor relay or SCI function.	curated_primary_route	LITEXP:001022
M21B-LITEXP-1023	M21B-DOWNSTREAM:00334	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|secreted_protein_or_release	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE02069	CER1/Cerberus	M21B-E000851	NODE01294	BMP4 ligand target								Full-length Cerberus-BMP4 neutralization and neural-induction output	CER1-BMP4-antagonism	primary_literature_route_expansion	primary_binding_and_developmental_output	M21B-E000851;M21B-EVID-000567;M21B-DOWNSTREAM-EVID:000567;PMCID:PMC2323273	M21B-DOWNSTREAM-EVID:000567	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1023	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	Xenopus	Xenopus Cerberus/BMP4 secreted-protein binding, competition and animal-cap neural-induction assays	secreted full-length Cerberus binds and neutralizes BMP4 in solution; developmental neural-induction output	no SCI transfer inferred; primary Xenopus developmental model only	Full-length Cerberus-BMP4 binding and neutralization are retained; processed Cerberus forms have distinct ligand-binding behavior and no productive receptor route is inferred	secreted-protein co-immunoprecipitation, quantitative binding, competition and animal-cap neural-induction assays	inhibitory	composite_primary_evidence	PMCID:PMC2323273	Primary: The head inducer Cerberus is a multifunctional antagonist of Nodal, BMP and Wnt signals; PMCID:PMC2323273.	Primary-supported claim: Full-length Cerberus binds BMP4 with subnanomolar affinity and neutralizes BMP4 activity in the reported Xenopus biochemical and animal-cap assays.	Preserve full-length versus processed Cerberus and Xenopus developmental context; do not infer a productive receptor relay or SCI function.	curated_primary_route	LITEXP:001023
M21B-LITEXP-1024	M21B-DOWNSTREAM:00335	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04432	GREM2/PRDC	M21B-E000857	NODE01290	BMP2 ligand target								PRDC/GREM2-BMP2 binding and BMP-responsive reporter inhibition	GREM2-BMP2-antagonism	primary_literature_route_expansion	primary_binding_and_reporter_output	M21B-E000857;M21B-EVID-000568;M21B-DOWNSTREAM-EVID:000568;M21B-DOWNSTREAM-EVID:000569;PMID:22381466;PMCID:PMC3319168;PMID:15039429	M21B-DOWNSTREAM-EVID:000568	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1024	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	mouse; rat	Recombinant mouse PRDC/GREM2 with SPR/direct-binding assays, BMP-responsive luciferase reporter cells and rat granulosa-cell BMP comparator assays	secreted PRDC/GREM2 binds BMP2 and prevents BMP-responsive receptor signaling; reporter output	no SCI transfer inferred; primary biochemical, reporter and reproductive-cell models only	PRDC/GREM2-BMP2 binding and reporter inhibition are retained; the soluble antagonist edge is not promoted to a productive receptor, intracellular or TF chain	SPR, direct-binding assays and BMP-responsive luciferase reporter assays	inhibitory	composite_primary_evidence	PMID:22381466; PMCID:PMC3319168; PMID:15039429	Primary locators: PMID:22381466; PMCID:PMC3319168; PMID:15039429.	Primary-supported claim: PRDC/GREM2 directly binds BMP2 and inhibits BMP-responsive reporter signaling in the reported SPR and cell-based assays.	Promote as secreted BMP2 antagonist binding/function; preserve PRDC/GREM2 naming and do not infer productive receptor signaling or SCI.	curated_primary_route	LITEXP:001024
