node_id	role	role_source	role_evidence
NODE11140	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11141	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11142	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11143	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11144	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11145	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11146	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11147	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11148	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11149	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11150	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11151	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11152	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11153	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11154	ligand	register_ligand_receptor_layer	edge=M23B-E000848; evidence=M23B-EVID-001147
NODE11154	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11155	ligand	register_ligand_receptor_layer	edge=M20B-E002399; evidence=M20B-EVID-002399
NODE11155	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11156	receptor	register_ligand_receptor_layer	edge=M20B-E001818; evidence=M20B-EVID-001818 || edge=M20B-E001827; evidence=M20B-EVID-001827;M20B-EVID-005239-P2-FUNC;M20B-EVID-005239-P2-RELAY
NODE11156	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11157	receptor	register_ligand_receptor_layer	edge=M20B-E001819; evidence=M20B-EVID-001819 || edge=M20B-E001828; evidence=M20B-EVID-001828
NODE11157	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11158	receptor	register_ligand_receptor_layer	edge=M20B-E001820; evidence=M20B-EVID-001820 || edge=M20B-E001829; evidence=M20B-EVID-001829;M20B-EVID-005242-P2-RELAY
NODE11158	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11159	receptor	register_ligand_receptor_layer	edge=M20B-E001803; evidence=M20B-EVID-001803
NODE11159	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11160	receptor	register_ligand_receptor_layer	edge=M20B-E001804; evidence=M20B-EVID-001804
NODE11160	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11161	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11162	ligand	register_ligand_receptor_layer	edge=M23B-E000452; evidence=M23B-EVID-000632 || edge=M23B-E000454; evidence=M23B-EVID-000634 || edge=M23B-E000456; evidence=M23B-EVID-000636
NODE11162	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11163	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11164	ligand	register_ligand_receptor_layer	edge=M23B-E000462; evidence=M23B-EVID-000642
NODE11164	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11165	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11166	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11167	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11168	receptor	register_ligand_receptor_layer	edge=M23B-E000097; evidence=M23B-EVID-000159
NODE11168	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11169	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11170	receptor	register_ligand_receptor_layer	edge=M23B-E000844; evidence=M23B-EVID-001139
NODE11170	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11171	receptor	register_ligand_receptor_layer	edge=M23B-E000740; evidence=M23B-EVID-000995
NODE11171	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11172	ligand	register_ligand_receptor_layer	edge=M23B-E000576; evidence=M23B-EVID-000789
NODE11172	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11173	receptor	register_ligand_receptor_layer	edge=M23B-E000940; evidence=M23B-EVID-001285 || edge=M23B-E000994; evidence=M23B-EVID-001339
NODE11173	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11174	receptor	register_ligand_receptor_layer	edge=M23B-E000605; evidence=M23B-EVID-000828
NODE11174	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11175	receptor	register_ligand_receptor_layer	edge=M23B-E000818; evidence=M23B-EVID-001109 || edge=M23B-E000826; evidence=M23B-EVID-001117
NODE11175	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11176	receptor	register_ligand_receptor_layer	edge=M23B-E000989; evidence=M23B-EVID-001334
NODE11176	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11177	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11178	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11179	receptor	register_ligand_receptor_layer	edge=M24B-E000101; evidence=M24B-EVID-000143
NODE11179	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11180	ligand	register_ligand_receptor_layer	edge=M23B-E000917; evidence=M23B-EVID-001262
NODE11180	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11181	ligand	register_ligand_receptor_layer	edge=M23B-E000105; evidence=M23B-EVID-000173
NODE11181	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11182	receptor	register_ligand_receptor_layer	edge=M23B-E000105; evidence=M23B-EVID-000173
NODE11182	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11183	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11184	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11185	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11186	receptor	register_ligand_receptor_layer	edge=M20B-E001797; evidence=M20B-EVID-001797;M20B-EVID-005354-P2-RELAY;M20B-EVID-005355-P2-FUNC
NODE11186	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11187	receptor	register_ligand_receptor_layer	edge=M20B-E001798; evidence=M20B-EVID-001798;M20B-EVID-005236-P2-RELAY
NODE11187	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11188	ligand	register_ligand_receptor_layer	edge=M23B-E000920; evidence=M23B-EVID-001265
NODE11188	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11189	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11190	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11191	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11192	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE11193	ligand	register_ligand_receptor_layer	edge=M23B-E001023; evidence=M23B-EVID-001376
