expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-1025	M21B-DOWNSTREAM:00336	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04432	GREM2/PRDC	M21B-E000858	NODE01294	BMP4 ligand target								PRDC/GREM2-BMP4 binding and BMP-responsive reporter inhibition	GREM2-BMP4-antagonism	primary_literature_route_expansion	primary_binding_and_reporter_output	M21B-E000858;M21B-EVID-000801;M21B-DOWNSTREAM-EVID:000570;PMID:22381466;PMCID:PMC3319168;PMID:15039429	M21B-DOWNSTREAM-EVID:000570	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1025	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	mouse; rat	Recombinant mouse PRDC/GREM2 with SPR/direct-binding assays, BMP-responsive luciferase reporter cells and rat granulosa-cell BMP4 context	secreted PRDC/GREM2 binds BMP4 before productive receptor engagement; reporter inhibition output	no SCI transfer inferred; primary biochemical, reporter and reproductive-cell models only	PRDC/GREM2-BMP4 binding and reporter inhibition are retained as soluble antagonism; no productive receptor, intracellular or TF route is inferred	SPR, direct-binding and BMP-responsive luciferase reporter assays	inhibitory	composite_primary_evidence	PMID:22381466; PMCID:PMC3319168; PMID:15039429	Primary locators: PMID:22381466; PMCID:PMC3319168; PMID:15039429.	Primary-supported claim: PRDC/GREM2 directly binds BMP4 and inhibits BMP-responsive reporter signaling in the reported SPR and cell-based assays.	Promote as secreted BMP4 antagonist binding/function; preserve PRDC/GREM2 naming and do not infer productive receptor signaling or SCI function.	curated_primary_route	LITEXP:001025
M21B-LITEXP-1026	M21B-DOWNSTREAM:00337	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE11456	TSKU/Tsukushi	M21B-E000860	NODE01294	BMP4 ligand target								Tsukushi-BMP4 antagonism with organizer, dorsalization and neural-induction output	TSKU-BMP4-antagonism	primary_literature_route_expansion	primary_binding_and_developmental_output	M21B-E000860;M21B-EVID-000803;M21B-DOWNSTREAM-EVID:000571;PMID:15363410	M21B-DOWNSTREAM-EVID:000571	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1026	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	Xenopus; chick	Chick Tsukushi expression and siRNA organizer assays; Xenopus recombinant/expressed TSK with BMP4 dorsalization, neural induction and TSK-BMP/chordin complex assays	secreted TSK binds BMP4 and forms a TSK-BMP-chordin extracellular complex; developmental output	no SCI transfer inferred; primary chick and Xenopus developmental models only	TSK-BMP4 binding and developmental antagonism are retained; ternary-complex context is explicit and no productive receptor, intracellular or TF route is inferred	co-immunoprecipitation, embryo mRNA injection, organizer assays, dorsalization and neural-induction readouts	inhibitory	composite_primary_evidence	PMID:15363410	Primary locator: PMID:15363410; the primary study reports Tsukushi as a secreted BMP inhibitor that binds BMP4 and cooperates with Chordin.	Primary-supported claim: Tsukushi directly binds BMP4 and blocks BMP activity, including organizer, dorsalization and neural-induction readouts in chick and Xenopus systems.	Promote as secreted BMP4-associated antagonism; preserve the TSK-Chordin ternary-complex and chick/Xenopus developmental boundaries and do not infer a productive receptor relay or SCI function.	curated_primary_route	LITEXP:001026
M21B-LITEXP-1027	M21B-DOWNSTREAM:00338	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE06326	LEFTY/Lefty	M21B-E000864	NODE08143	NODAL								Lefty-Nodal antagonism with reduced Nodal receptor/reporting output	LEFTY-NODAL-antagonism	primary_literature_route_expansion	primary_binding_and_reporter_output	M21B-E000864;M21B-EVID-000807;M21B-DOWNSTREAM-EVID:000572;PMID:15062104	M21B-DOWNSTREAM-EVID:000572	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1027	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	mammalian cell culture	Mammalian recombinant Lefty/Nodal systems with solution interaction, activin-receptor competition and Nodal reporter/signaling assays	secreted Lefty interacts with Nodal and blocks access to activin-receptor complexes; reporter output	no SCI transfer inferred; primary biochemical and mammalian cell models only	Lefty-Nodal extracellular antagonism and EGF-CFC coreceptor context are retained; no productive Nodal receptor, intracellular or TF route is inferred	solution binding, activin-receptor binding competition and Nodal reporter assays	inhibitory	composite_primary_evidence	PMID:15062104	Primary locator: PMID:15062104; Lefty proteins interact with Nodal and inhibit Nodal signaling by receptor-access competition.	Primary-supported claim: Lefty interacts with Nodal in solution and blocks Nodal binding to activin receptors, reducing Nodal signaling/reporting in the reported mammalian assays.	Promote as extracellular Nodal antagonism/sequestration; preserve Lefty diffusion and EGF-CFC coreceptor context, with no productive receptor or SCI inference.	curated_primary_route	LITEXP:001027
M21B-LITEXP-1028	M21B-DOWNSTREAM:00339	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE02782	DCN/Decorin	M21B-E000867	NODE03103	EGFR								Decorin-EGFR binding, receptor dimerization/autophosphorylation and MAPK/p21 output	DECORIN-EGFR-interaction	primary_literature_route_expansion	primary_receptor_proximal_and_activation_output	M21B-E000867;M21B-EVID-000810;M21B-DOWNSTREAM-EVID:000573;PMID:9988678;PMID:12105206	M21B-DOWNSTREAM-EVID:000573	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1028	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mammalian cell culture	Purified/recombinant decorin and EGFR preparations with binding assays plus carcinoma-cell EGFR phosphorylation, MAPK and p21 assays	soluble decorin binds EGFR and produces receptor-proximal activation output; downstream relay unresolved	no SCI transfer inferred; primary biochemical and carcinoma-cell models only	Decorin-EGFR binding and receptor response are retained; MAPK/p21 are text-level outputs and are not promoted to named intracellular or TF nodes	radioligand/competition binding, EGFR-domain mapping, receptor dimerization/autophosphorylation, MAPK and p21 assays	activating	composite_primary_evidence	PMID:9988678; PMID:12105206	Primary locators: PMID:9988678; PMID:12105206. The direct EGFR ligand study is PMID:9988678.	Primary-supported claim: Decorin directly binds EGFR and is associated with receptor dimerization/autophosphorylation and MAPK/p21 responses in the reported biochemical and carcinoma-cell assays.	Promote as decorin-EGFR binding and receptor-proximal output; preserve soluble decorin, EGFR-domain and carcinoma-cell context, and do not infer a complete intracellular, TF or SCI route.	curated_primary_route	LITEXP:001028
M21B-LITEXP-1029	M21B-DOWNSTREAM:00350	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE06592	Lumican/LUM	M21B-E000890	NODE05729	ITGA2:ITGB1 alpha2-beta1 integrin								Lumican-alpha2beta1 migration inhibition with reduced FAK phosphorylation output	LUM-alpha2beta1-migration-inhibition	primary_literature_route_expansion	primary_binding_and_cellular_functional_output	M21B-E000890;M21B-EVID-000833;M21B-DOWNSTREAM-EVID:000593;PMID:20705068	M21B-DOWNSTREAM-EVID:000593	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1029	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; hamster	Human A375 melanoma cells with ITGA2 knockdown and CHO cells expressing ITGA2; recombinant lumican core with integrin binding, migration and FAK assays	lumican core binds alpha2beta1 integrin at the cell surface; migration and FAK output	no SCI transfer inferred; primary melanoma and CHO-cell models only	Direct lumican-core/alpha2beta1 binding and migration inhibition are retained; FAK is a receptor-proximal readout and no complete intracellular or TF route is inferred	ITGA2 knockdown/transfection, solid-phase alpha2beta1 and I-domain binding, migration and FAK phosphorylation assays	inhibitory	composite_primary_evidence	PMID:20705068	Primary locator: PMID:20705068; lumican directly binds alpha2beta1 and inhibits migration with reduced FAK phosphorylation.	Primary-supported claim: Lumican directly binds alpha2beta1 integrin and inhibits migration with a reduced pFAK/FAK ratio in the reported melanoma and integrin-transfected cell assays.	Promote as direct lumican-core/alpha2beta1 binding with inhibitory migration function; preserve cation-independent core-protein and tumor-cell context and do not infer a complete signaling cascade or SCI function.	curated_primary_route	LITEXP:001029
M21B-LITEXP-1030	M21B-DOWNSTREAM:00353	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|secreted_protein_or_release	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04718	Histone H4/HIST1H4	M21B-E000897	NODE11154	TLR4:MD2								Extracellular histone H4-TLR4:MD2 chemokine-release and leukocyte-recruitment output	H4-TLR4-MD2-DAMP-signaling	primary_literature_route_expansion	primary_binding_and_secreted_output	M21B-E000897;M21B-EVID-000840;M21B-DOWNSTREAM-EVID:000599;PMCID:PMC4672907	M21B-DOWNSTREAM-EVID:000599	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1030	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	human; mouse	Human whole blood and monocytes exposed to calf-thymus histones or synthetic H4; TLR4/MD2 SPR, blockade, CXCL9/CXCL10 release and mouse air-pouch recruitment assays	extracellular H4 engages TLR4-MD2 on monocytes; chemokine release and leukocyte recruitment output	no SCI transfer inferred; primary blood/monocyte and mouse inflammatory models only	Free extracellular H4-TLR4-MD2 binding and chemokine output are retained; downstream IFN-gamma dependence is not promoted to an intracellular or TF chain	SPR, TLR4 blockade/CLI-095, chemokine release, TLR4-dependent air-pouch leukocyte recruitment and immunostaining	activating	composite_primary_evidence	PMCID:PMC4672907	Primary locator: PMCID:PMC4672907; extracellular H4 binds TLR4/MD2 and induces CXCL9/CXCL10 release with TLR4-dependent recruitment.	Primary-supported claim: Extracellular histone H4 binds TLR4/MD2 on monocytes and is associated with CXCL9/CXCL10 release and TLR4-dependent leukocyte recruitment in the reported ex vivo and mouse assays.	Promote only for extracellular free-histone preparations and the TLR4-MD2/monocyte chemokine layer; preserve free histone versus nucleosome/NET form, preparation and endotoxin controls, dose limits, and no SCI inference.	curated_primary_route	LITEXP:001030
M21B-LITEXP-1031	M21B-DOWNSTREAM:00354	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE10236	SFTPA/surfactant protein A	M21B-E000898	NODE11092	TLR2								SP-A-TLR2 binding with attenuated peptidoglycan-induced NF-kappaB/TNF output	SFTPA-TLR2-PGN-antagonism	primary_literature_route_expansion	primary_binding_and_reporter_output	M21B-E000898;M21B-EVID-000841;M21B-DOWNSTREAM-EVID:000601;PMID:11724772	M21B-DOWNSTREAM-EVID:000601	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1031	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	human; rat	Human U937 cells expressing TLR2, rat alveolar macrophages and soluble recombinant TLR2 domain with SP-A/peptidoglycan binding and NF-kappaB/TNF assays	SP-A binds the extracellular TLR2 domain and attenuates peptidoglycan-associated receptor output	no SCI transfer inferred; primary immune-cell and lung macrophage models only	Inhibitory SP-A/TLR2 modulation is retained; PGN is a required co-ligand context and no productive TLR2, intracellular or TF route is inferred	soluble TLR2 binding, TLR2-transfected NF-kappaB reporter, PGN challenge and TNF secretion assays	inhibitory	composite_primary_evidence	PMID:11724772	Primary locator: PMID:11724772; SP-A directly binds TLR2 and attenuates PGN-induced NF-kappaB activity and TNF secretion.	Primary-supported claim: SP-A directly binds TLR2 and attenuates peptidoglycan-induced NF-kappaB reporter activity and TNF secretion in the reported U937 and alveolar-macrophage assays.	Promote as inhibitory SP-A/TLR2 modulation rather than productive TLR2 activation; preserve collectin preparation, PGN co-ligand and lung/macrophage context and do not infer SCI function.	curated_primary_route	LITEXP:001031
M21B-LITEXP-1032	M21B-DOWNSTREAM:00355	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE10236	SFTPA/surfactant protein A	M21B-E000900	NODE11154	TLR4:MD2								SP-A-TLR4:MD2 binding with attenuated smooth-LPS-induced inflammatory output	SFTPA-TLR4-MD2-LPS-antagonism	primary_literature_route_expansion	primary_binding_and_functional_inhibition_output	M21B-E000900;M21B-EVID-000843;M21B-DOWNSTREAM-EVID:000602;PMID:16754682	M21B-DOWNSTREAM-EVID:000602	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1032	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human	Human recombinant SP-A with soluble TLR4/MD2, solid-phase/immunoprecipitation/BIAcore assays and TLR4/MD2-expressing cells challenged with smooth LPS	supratrimeric SP-A binds TLR4/MD2 and attenuates smooth-LPS receptor output	no SCI transfer inferred; primary biochemical and inflammatory-cell models only	SP-A-TLR4-MD2 binding and LPS antagonism are retained; NF-kappaB/TNF effects remain functional readouts and are not promoted to intracellular or TF nodes	solid-phase binding, immunoprecipitation, BIAcore, Ca2+/oligomerization comparisons and LPS-induced NF-kappaB/TNF inhibition	inhibitory	composite_primary_evidence	PMID:16754682	Primary locator: PMID:16754682; supratrimeric SP-A directly interacts with TLR4/MD2 and attenuates smooth-LPS signaling.	Primary-supported claim: Supratrimeric SP-A directly binds TLR4 and MD-2 and attenuates smooth-LPS-induced NF-kappaB activation and TNF secretion in the reported biochemical and cell assays.	Promote as supratrimeric SP-A modulation of the TLR4-MD2 LPS complex, not productive TLR4 activation; preserve CRD, Ca2+, oligomerization, smooth-LPS and preparation boundaries.	curated_primary_route	LITEXP:001032
M21B-LITEXP-1033	M21B-DOWNSTREAM:00372	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04809	HSP90-OVA peptide complex	M21B-E000924	NODE10635	SREC-I/SCARF1								HSP90-OVA-SREC-I binding, internalization, c-Src activation and cross-presentation output	HSP90-SREC1-cross-presentation	primary_literature_route_expansion	primary_binding_and_activation_output	M21B-E000924;M21B-EVID-000867;M21B-DOWNSTREAM-EVID:000628;PMID:20686127;PMCID:PMC4109054	M21B-DOWNSTREAM-EVID:000628	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1033	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse	Mouse dendritic-cell and antigen-presentation systems with SREC-I/SCARF1, HSP90-OVA complexes, receptor binding/internalization, c-Src and CD8 cross-presentation assays	HSP90-chaperoned OVA peptide complexes bind SREC-I and enter an endocytic route with c-Src activation and cross-presentation output	no SCI transfer inferred; primary antigen-presentation models only	Only HSP90-chaperoned OVA peptide-complex uptake is retained; c-Src and endocytosis are reported outputs but are not promoted to a complete intracellular route	receptor binding, internalization, Cdc42/dynamin perturbation, c-Src phosphorylation and CD8 cross-presentation assays	unknown	composite_primary_evidence	PMID:20686127; PMCID:PMC4109054	Primary locators: PMID:20686127; PMCID:PMC4109054; HSP90-OVA complexes bind SREC-I and support c-Src-dependent antigen cross-presentation.	Primary-supported claim: HSP90-OVA peptide complexes bind SREC-I/SCARF1, are internalized, activate associated c-Src and support efficient CD8 cross-presentation in the reported APC assays.	Promote only for HSP90-chaperoned OVA peptide-complex uptake/cross-presentation through SREC-I; do not generalize to free HSP90, omit client-antigen dependence, or infer inflammatory/SCI receiver weighting.	curated_primary_route	LITEXP:001033
M21B-LITEXP-1034	M21B-DOWNSTREAM:00379	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE02363	COL5A3/alpha4(V) collagen	M21B-E000937	NODE04327	GPC1/glypican-1								Alpha4(V)-collagen-GPC1 Schwann adhesion, ECM incorporation and myelination output	Alpha4Vcollagen-GPC1-Schwann-myelination	primary_literature_route_expansion	primary_binding_and_cellular_functional_output	M21B-E000937;M21B-EVID-000880;M21B-DOWNSTREAM-EVID:000636;PMID:16407548;PMCID:PMC6674409;DOI:10.1523/JNEUROSCI.2544-05.2006	M21B-DOWNSTREAM-EVID:000636	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1034	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	rat	Rat Schwann-cell and dorsal-root-ganglion neuron cocultures with alpha4(V)-NTD adhesion, GPC1/alpha4(V) siRNA, ECM incorporation and myelination assays	alpha4(V)-collagen NTD binds heparan sulfate on GPC1 at the Schwann-cell surface; adhesion and myelination output	no SCI transfer inferred; primary peripheral-nerve models only	Alpha4(V)-collagen/GPC1 adhesion and Schwann-cell myelination function are retained; GPI-anchored GPC1 has no cytoplasmic domain and no intracellular or TF relay is inferred	alpha4(V)-NTD binding and adhesion, GPC1/alpha4(V) siRNA suppression, spreading, ECM incorporation, MBP and myelination assays	unknown	composite_primary_evidence	PMID:16407548; PMCID:PMC6674409; DOI:10.1523/JNEUROSCI.2544-05.2006	Primary locators: PMID:16407548; PMCID:PMC6674409; DOI:10.1523/JNEUROSCI.2544-05.2006.	Primary-supported claim: Alpha4(V) collagen binds GPC1-associated heparan sulfate and is required with GPC1 for Schwann-cell adhesion, ECM incorporation and myelination in the reported coculture and knockdown assays.	Promote at alpha4(V)-collagen NTD/heparan-sulfate GPC1 adhesion and Schwann-cell function; preserve unusual collagen nomenclature, GPI-anchored GPC1/no cytoplasmic domain, and peripheral-nerve rather than CNS/SCI context.	curated_primary_route	LITEXP:001034
