queue_id	batch_id	priority	candidate_class	upstream_signal_or_release_feature	target_or_receptor_system	protease_activation_or_processing_logic	proximal_relay_to_validate	downstream_tf_or_program_target	evidence_layers_to_extract	species_context	cell_type_or_model_context	source_origin	source_record_id	stable_source_locator	search_boundary	status	notes
M24A-Q0001	M24A-B001	P1	category_gap_target	activated protein C	PAR1/EPCR	protease-activated cytoprotective PAR1 signaling	protease-activated cytoprotective PAR1 signaling	endothelial barrier, NF-kB, neuroprotection	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-coagulation_PAR	none identified; targeted PubMed/PMC/primary-paper search required	primary APC-PAR1/EPCR search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0002	M24A-B001	P1	category_gap_target	bradykinin	BDKRB1/BDKRB2	kallikrein-kinin generation and receptor activation	kallikrein-kinin generation and receptor activation	Gq/PLC/Ca2+/ERK, vascular pain/inflammation	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-kinin_B1_B2	none identified; targeted PubMed/PMC/primary-paper search required	primary kinin receptor and SCI-context search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0003	M24A-B001	P1	category_gap_target	C3a/C5a cleavage products	C3aR/C5aR1/C5aR2	convertase cleavage -> anaphylatoxin receptor	convertase cleavage -> anaphylatoxin receptor	NF-kB/MAPK, neutrophil/endothelial/glial state	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-complement_anaphylatoxin	none identified; targeted PubMed/PMC/primary-paper search required	primary complement cleavage and SCI-context search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0004	M24A-B001	P1	category_gap_target	factor Xa	PAR2	protease cleavage of PAR2	protease cleavage of PAR2	ERK/NF-kB and vascular permeability	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-coagulation_PAR	none identified; targeted PubMed/PMC/primary-paper search required	primary factor-Xa/PAR2 search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0005	M24A-B001	P1	category_gap_target	thrombin	PAR1/PAR3/PAR4	proteolytic receptor tethered-ligand unmasking	proteolytic receptor tethered-ligand unmasking	Rho/ERK/NF-kB, vascular and glial response	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-coagulation_PAR	none identified; targeted PubMed/PMC/primary-paper search required	primary thrombin-PAR search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0006	M24A-B001	P1	cellchat_complement_candidate	C3	C3ar1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:C3_C3AR1	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0007	M24A-B001	P1	cellchat_complement_candidate	C3a	C3ar1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:3641:31:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=complement_family
M24A-Q0008	M24A-B001	P1	cellchat_complement_candidate	C3a	C5ar1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:3641:32:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0009	M24A-B001	P1	cellchat_complement_candidate	C4a	C3ar1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:C4A_C3AR1	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0010	M24A-B001	P1	cellchat_complement_candidate	C5a	C3ar1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:3576:31:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
