expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-1035	M21B-DOWNSTREAM:00388	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE05788	ITGA5:ITGB1/alpha5beta1 integrin	M21B-E000948	NODE00275	ADGRE5/CD97								Alpha5beta1-CD97 endothelial attachment, migration, invasion and angiogenesis output	Alpha5beta1-CD97-endothelial-adhesion	primary_literature_route_expansion	primary_binding_and_cellular_functional_output	M21B-E000948;M21B-EVID-000891;M21B-DOWNSTREAM-EVID:000646;PMID:15576472;DOI:10.1182/blood-2004-07-2878	M21B-DOWNSTREAM-EVID:000646	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1035	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human CD97 extracellular domain/soluble CD97 with HUVEC attachment, migration, invasion and DIVAA angiogenesis assays; alpha5beta1 blocking and integrin-dependent tests	cell-surface alpha5beta1 counterreceptor engagement of CD97; endothelial functional output	no SCI transfer inferred; primary endothelial and angiogenesis models only	Alpha5beta1-CD97 counterreceptor attachment and endothelial function are retained; no autonomous CD97 intracellular relay or TF endpoint is inferred	soluble CD97 attachment/migration/invasion, alpha5beta1 blockade and purified-protein DIVAA angiogenesis assays	unknown	composite_primary_evidence	PMID:15576472; DOI:10.1182/blood-2004-07-2878	Primary: CD97 binds alpha5beta1 and supports integrin-dependent endothelial migration, invasion and angiogenesis; PMID:15576472.	Primary-supported claim: Alpha5beta1 is a high-affinity cellular counterreceptor for CD97, and the interaction is associated with endothelial attachment, migration, invasion and angiogenesis in the reported assays.	Promote only at alpha5beta1-CD97 counterreceptor attachment/function; preserve soluble CD97 and endothelial assay context, with no autonomous CD97 relay or SCI inference.	curated_primary_route	LITEXP:001035
M21B-LITEXP-1036	M21B-DOWNSTREAM:00389	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE05889	ITGAV:ITGB3/alphavbeta3 integrin	M21B-E000949	NODE00275	ADGRE5/CD97								AlphaVbeta3-CD97 contributory endothelial attachment, migration and invasion output	Alphavbeta3-CD97-endothelial-adhesion	primary_literature_route_expansion	primary_binding_and_cellular_functional_output	M21B-E000949;M21B-EVID-000892;M21B-DOWNSTREAM-EVID:000648;PMID:15576472;DOI:10.1182/blood-2004-07-2878	M21B-DOWNSTREAM-EVID:000648	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1036	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human CD97 extracellular domain/soluble CD97 with HUVEC attachment, migration, invasion and DIVAA angiogenesis assays; alphaVbeta3 and alpha5beta1 blocking comparisons	cell-surface alphaVbeta3 contributes to CD97 counterreceptor attachment; endothelial functional output	no SCI transfer inferred; primary endothelial and angiogenesis models only	AlphaVbeta3 is retained as a contributory rather than exclusive CD97 counterreceptor; no autonomous CD97 intracellular relay or TF endpoint is inferred	integrin blocking/attachment comparisons, HUVEC migration/invasion and purified-protein angiogenesis assays	unknown	composite_primary_evidence	PMID:15576472; DOI:10.1182/blood-2004-07-2878	Primary: alphaVbeta3 contributes to CD97-dependent endothelial attachment alongside the stronger alpha5beta1 interaction; PMID:15576472.	Primary-supported claim: AlphaVbeta3 contributes to CD97-mediated endothelial attachment and integrin-dependent migration/invasion in the reported blocking and functional assays.	Promote only at contributory alphaVbeta3-CD97 counterreceptor attachment; preserve the weaker/contributory assignment and endothelial context, with no exclusive receptor or SCI inference.	curated_primary_route	LITEXP:001036
M21B-LITEXP-1037	M21B-DOWNSTREAM:00395	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE08343	NRXN1alpha/beta (SS4−)	M21B-E000965	NODE00286	ADGRL1/Latrophilin-1								SS4-negative neurexin-1-latrophilin-1 transsynaptic adhesion output	NRXN1-ADGRL1-transsynaptic-adhesion	primary_literature_route_expansion	primary_binding_and_cellular_functional_output	M21B-E000965;M21B-EVID-000908;M21B-DOWNSTREAM-EVID:000660;PMID:22262843;PMCID:PMC3308797	M21B-DOWNSTREAM-EVID:000660	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1037	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Recombinant and HEK293 neurexin/ADGRL1 systems with extracellular-domain binding, splice-site mapping and cell-adhesion assays	trans-cellular SS4-negative neurexin-latrophilin extracellular adhesion; synaptic organization output	no SCI transfer inferred; primary synaptic adhesion models only	SS4-negative neurexin-ADGRL1 binding and trans-cell adhesion are retained; no autonomous latrophilin GPCR relay or TF endpoint is inferred	saturation binding, deletion mapping, SS4 splice-variant comparison and mixed-cell aggregation/adhesion assays	unknown	composite_primary_evidence	PMID:22262843; PMCID:PMC3308797	Primary: SS4-negative neurexin isoforms bind the ADGRL1/CIRL1 olfactomedin domain and support intercellular adhesion; PMCID:PMC3308797.	Primary-supported claim: SS4-negative neurexin-1 isoforms bind ADGRL1/latrophilin-1 with high affinity and form a stable intercellular adhesion complex, whereas SS4 insertion abolishes the interaction in the reported assays.	Promote only for SS4-negative neurexin-ADGRL1 extracellular/trans-cell adhesion; preserve isoform, splice-site and synaptic context, with no autonomous GPCR relay or SCI inference.	curated_primary_route	LITEXP:001037
M21B-LITEXP-1038	M21B-DOWNSTREAM:00403	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|secreted_protein_or_release	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE02256	CLU/Clusterin (ApoJ)	M21B-E000984	NODE00695	ApoER2/LRP8								Mature clusterin-ApoER2 binding/internalization with Dab1, PI3K-Akt, n-cofilin and SVZ neurogenesis output	CLU-ApoER2-endocytic-Dab1-relay	primary_literature_route_expansion	primary_binding_and_endocytic_functional_output	M21B-E000984;M21B-EVID-000927;M21B-DOWNSTREAM-EVID:000673;PMID:24381170;PMCID:PMC3924281	M21B-DOWNSTREAM-EVID:000673	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1038	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	mouse	Recombinant ApoER2 domains, receptor-expressing cells, mature secreted clusterin and mouse SVZ explants with internalization, Dab1/PI3K-Akt/n-cofilin and neuroblast-chain assays	secreted mature clusterin binds ApoER2/LRP8 and is internalized; receptor-proximal signaling and neurogenesis output	no SCI transfer inferred; primary SVZ/neurogenesis comparator model only	Clusterin-ApoER2 binding/uptake and Dab1-associated output are retained, but the intracellular relay is not promoted to a named causal chain because the queue lacks a resolved intermediate edge	ligand-binding-domain binding, receptor-dependent internalization, Dab1 phosphorylation, PI3K/Akt and n-cofilin assays, clusterin blockade in SVZ explants	unknown	composite_primary_evidence	PMID:24381170; PMCID:PMC3924281	Primary: clusterin binds and is internalized by ApoER2, activates Dab1/PI3K-Akt/n-cofilin, and supports SVZ neurogenesis-related function; PMID:24381170.	Primary-supported claim: Mature secreted clusterin binds ApoER2/LRP8, is internalized, induces Dab1 phosphorylation with PI3K/Akt and n-cofilin activation, and contributes to SVZ explant proliferation/neuroblast-chain formation.	Promote mature processed clusterin-ApoER2 binding/uptake and bounded relay/function; preserve endocytic-cargo and SVZ limits and do not infer a complete intracellular/TF chain or SCI function.	curated_primary_route	LITEXP:001038
M21B-LITEXP-1039	M21B-DOWNSTREAM:00404	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|secreted_protein_or_release	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE02256	CLU/Clusterin (ApoJ)	M21B-E000985	NODE11745	VLDLR								Mature clusterin-VLDLR binding/internalization with Dab1, PI3K-Akt, n-cofilin and SVZ neurogenesis output	CLU-VLDLR-endocytic-Dab1-relay	primary_literature_route_expansion	primary_binding_and_endocytic_functional_output	M21B-E000985;M21B-EVID-000928;M21B-DOWNSTREAM-EVID:000677;PMID:24381170;PMCID:PMC3924281	M21B-DOWNSTREAM-EVID:000677	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1039	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	mouse	Recombinant VLDLR domains, VLDLR-expressing cells, mature secreted clusterin and mouse SVZ explants with binding, internalization, Dab1/PI3K-Akt/n-cofilin and neuroblast-chain assays	secreted mature clusterin binds VLDLR and is internalized; receptor-proximal signaling and neurogenesis output	no SCI transfer inferred; primary SVZ/neurogenesis comparator model only	Clusterin-VLDLR binding/uptake and Dab1-associated output are retained, but the intracellular relay is not promoted to a named causal chain because the queue lacks a resolved intermediate edge	VLDLR ligand-binding-domain binding, receptor-dependent internalization, Dab1 phosphorylation, PI3K/Akt and n-cofilin assays, clusterin blockade in SVZ explants	unknown	composite_primary_evidence	PMID:24381170; PMCID:PMC3924281	Primary: clusterin binds and is internalized by VLDLR and activates Dab1/PI3K-Akt/n-cofilin-associated output; PMID:24381170.	Primary-supported claim: Mature secreted clusterin binds VLDLR, is internalized, induces Dab1 phosphorylation with PI3K/Akt and n-cofilin activation, and contributes to SVZ explant proliferation/neuroblast-chain formation.	Promote exact clusterin-VLDLR binding/uptake and bounded relay/function; keep VLDLR distinct from APOE-VLDLR, preserve SVZ limits, and do not infer a complete intracellular/TF chain or SCI function.	curated_primary_route	LITEXP:001039
M21B-LITEXP-1040	M21B-DOWNSTREAM:00410	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE04667	HGF (cleaved two-chain form)	M21B-E000167	NODE06927	MET receptor	NODE03894	GAB1						HGF-MET pY1349/Y1356-GAB1 association/phosphorylation, Shp2-Erk2 and epithelial morphogenesis output	MET-pY1349-GAB1	primary_literature_route_expansion	primary_receptor_proximal_and_activation_output	M21B-E000167;M21B-E001029;M21B-EVID-000972;M21B-DOWNSTREAM-EVID:000686;PMID:10871282;PMCID:PMC2175135	M21B-DOWNSTREAM-EVID:000686	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1040	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mammalian cell systems	Mammalian c-Met systems with receptor docking-site mutants, Gab1 association/phosphorylation, Erk2, Shp2 and epithelial morphogenesis assays	HGF-MET receptor activation; MET bipartite pY1349/pY1356 docking; cytoplasmic GAB1 relay and Erk/morphogenesis output	no SCI transfer inferred; primary epithelial morphogenesis models only	GAB1 is retained as the receptor-proximal intracellular continuation; the primary requires the bipartite Y1349/Y1356 site and Grb2 contribution, so no isolated pY1349 universal rule or TF endpoint is inferred	c-Met docking-site mutants, association mapping, Gab1 phosphorylation, Shp2 interaction and Erk2/morphogenesis assays	unknown	composite_primary_evidence	PMID:10871282; PMCID:PMC2175135	Primary: GAB1 associates with the activated c-Met bipartite Y1349/Y1356 docking site and couples to Shp2/MAPK-dependent morphogenesis; PMID:10871282.	Primary-supported claim: Activated c-Met recruits GAB1 through the bipartite Y1349/Y1356 docking region, with GAB1/Shp2 association linked to Erk2 activation and epithelial morphogenesis.	Promote the bounded GAB1 docking/relay branch; preserve the bipartite docking-site and Grb2 contribution, and do not infer a terminal TF or SCI function.	curated_primary_route	LITEXP:001040
M21B-LITEXP-1041	M21B-DOWNSTREAM:00413	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE04047	GDNF	M21B-E000322	NODE04068	GFRA1:RET receptor complex	NODE09065	PLCG1						GDNF-GFRA1:RET pY1015-PLCgamma1 calcium/ERK/CaMKII and cortical migration output	RET-pY1015-PLCG1	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000322;M21B-E001036;M21B-EVID-000979;M21B-DOWNSTREAM-EVID:000695;PMID:22355350;PMCID:PMC3280273	M21B-DOWNSTREAM-EVID:000695	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1041	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse	GDNF/GFRalpha1/RET signaling in embryonic neocortical progenitors with RET Y1015 mutation, PLCgamma silencing, calcium/ERK/CaMKII and in-utero migration assays	GDNF-GFRA1:RET receptor complex; RET pY1015-PLCG1 branch; calcium/ERK/CaMKII and migration output	no SCI transfer inferred; primary embryonic cortical progenitor model only	PLCG1 is retained as the pY1015 intracellular branch; GFRalpha1 coreceptor and embryonic neocortex context remain explicit, with no terminal TF assigned	RET Y1015 mutation, PLCgamma siRNA, calcium buffering/PLC inhibition, ERK/CaMKII phosphorylation and cortical migration assays	unknown	composite_primary_evidence	PMID:22355350; PMCID:PMC3280273	Primary: RET Tyr1015 and PLCgamma are required for GDNF-induced calcium/ERK/CaMKII signaling and cortical progenitor migration; PMID:22355350.	Primary-supported claim: In GDNF/GFRalpha1/RET signaling, RET Tyr1015 and PLCgamma support calcium/ERK/CaMKII responses and embryonic cortical progenitor migration.	Promote the bounded RET pY1015-PLCG1 branch; preserve GFRalpha1 and embryonic neocortex context and do not infer terminal transcription or SCI function.	curated_primary_route	LITEXP:001041
M21B-LITEXP-1042	M21B-DOWNSTREAM:00417	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE00554	ANGPT1	M21B-E000169	NODE10919	TEK/Tie2 receptor complex	NODE09005	PIK3R1/p85						Tie2 pY1101-p85/PI3K association with PI3P, Akt-PH translocation and Akt activation output	Tie2-pY1101-PI3K	primary_literature_route_expansion	primary_receptor_proximal_and_activation_output	M21B-E000169;M21B-E001040;M21B-EVID-000983;M21B-DOWNSTREAM-EVID:000705;PMID:9632797;PMCID:PMC108997	M21B-DOWNSTREAM-EVID:000705	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1042	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Autophosphorylated human Tie2 kinase constructs, endothelial-cell lysate association, yeast two-hybrid, fTie2-expressing NIH 3T3 cells and PI3K/Akt readouts	Tie2 receptor docking at pY1101; PIK3R1/p85 association; PI3P generation, Akt-PH membrane translocation and Akt output	no SCI transfer inferred; primary endothelial/engineered-cell vascular models only	The pY1101-p85/PI3K branch is retained as receptor-proximal evidence; the primary notes that an adaptor-mediated bridge cannot be fully excluded and no TF endpoint is assigned	Tie2 Y1101F mutation, p85 association, PI3K lipid assays, cellular phosphoinositides, Akt-PH translocation and Akt activation assays	unknown	composite_primary_evidence	PMID:9632797; PMCID:PMC108997	Primary: Tie2 Y1101 is the major p85 association site and is required for Tie2-associated PI3K and Akt activation; PMID:9632797.	Primary-supported claim: Tie2 pY1101 associates with PI3K p85, and Y1101 mutation reduces PI3K lipid production, Akt-PH membrane translocation and Akt activation in the reported assays.	Promote the bounded Y1101-associated PI3K branch; do not label it an unqualified direct binary interaction, and preserve engineered-cell/endothelial context with no TF or SCI inference.	curated_primary_route	LITEXP:001042
M21B-LITEXP-1043	M21B-DOWNSTREAM:00418	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE00554	ANGPT1	M21B-E000169	NODE10919	TEK/Tie2 receptor complex	NODE04426	GRB2						Tie2 pY1100/pY1101-GRB2 docking with endothelial survival and migration output	Tie2-pY1101-GRB2	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000169;M21B-E001041;M21B-EVID-000984;M21B-DOWNSTREAM-EVID:000708;PMID:10521483	M21B-DOWNSTREAM-EVID:000708	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1043	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Human/mouse Tek/Tie2 docking-site mutants, yeast two-hybrid and phosphotyrosine-dependent association assays with Ang1-stimulated endothelial survival/migration systems	Tie2 C-terminal pY1100/pY1101 multifunctional docking region; GRB2 adaptor association; endothelial survival/migration output	no SCI transfer inferred; primary endothelial vascular models only	GRB2 is retained as a bounded Tie2 docking branch; species-dependent Y1100/Y1101 numbering remains explicit and no unique downstream TF endpoint is assigned	Tie2 phosphosite mutants, yeast two-hybrid/co-immunoprecipitation, SH2 association and Ang1-stimulated endothelial survival/migration assays	unknown	composite_primary_evidence	PMID:10521483	Primary: Ang1-stimulated Tek/Tie2 recruits Grb2 at a multifunctional C-terminal docking site associated with endothelial survival and migration; PMID:10521483.	Primary-supported claim: Phosphotyrosine-dependent GRB2 association with the Tek/Tie2 C-terminal docking region is linked to Ang1-stimulated endothelial survival and migration in the reported systems.	Promote the bounded Tie2-GRB2 docking/function branch; preserve species-dependent Y1100/Y1101 numbering and do not infer a unique downstream GRB2 relay, TF or SCI function.	curated_primary_route	LITEXP:001043
M21B-LITEXP-1044	M21B-DOWNSTREAM:00419	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE00554	ANGPT1	M21B-E000169	NODE10919	TEK/Tie2 receptor complex	NODE04429	GRB7						Tie2 pY1100/pY1101-GRB7 docking with endothelial survival, migration and phosphorylation output	Tie2-pY1101-GRB7	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000169;M21B-E001042;M21B-EVID-000985;M21B-DOWNSTREAM-EVID:000709;PMID:10521483	M21B-DOWNSTREAM-EVID:000709	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1044	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Human/mouse Tek/Tie2 docking-site mutants, yeast two-hybrid and phosphotyrosine-dependent association assays with Ang1-stimulated endothelial survival/migration systems	Tie2 C-terminal pY1100/pY1101 multifunctional docking region; GRB7 adaptor association; endothelial survival/migration output	no SCI transfer inferred; primary endothelial vascular models only	GRB7 is retained as a bounded Tie2 docking branch; species-dependent Y1100/Y1101 numbering remains explicit and no unique downstream TF endpoint is assigned	Tie2 phosphosite mutants, yeast two-hybrid/co-immunoprecipitation, SH2 association and Ang1-stimulated endothelial survival/migration assays	unknown	composite_primary_evidence	PMID:10521483	Primary: Ang1-stimulated Tek/Tie2 recruits Grb7 at a multifunctional C-terminal docking site associated with endothelial survival and migration; PMID:10521483.	Primary-supported claim: Phosphotyrosine-dependent GRB7 association with the Tek/Tie2 C-terminal docking region is linked to Ang1-stimulated endothelial survival and migration in the reported systems.	Promote the bounded Tie2-GRB7 docking/function branch; preserve species-dependent Y1100/Y1101 numbering and do not infer a unique downstream GRB7 relay, TF or SCI function.	curated_primary_route	LITEXP:001044
