b_edge_id	source_entity	relation_type	target_entity	pathway_name	evidence_layer	source_a_edge_id	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	exportable	consolidation_note
M20B-E000001	12oxoLTB4-PTGR1	engages	Ltb4r1	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0001	low_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: low_evidence; source LR manifest preserved.
M20B-E000002	12oxoLTB4-PTGR1	engages	Ltb4r2	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0002	no_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: no_evidence; source LR manifest preserved.
M20B-E000003	22HC-CYP11A1	engages	Nr1h4	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0003	low_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: low_evidence; source LR manifest preserved.
M20B-E000004	22HC-CYP3A4	engages	Nr1h4	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0004	low_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: low_evidence; source LR manifest preserved.
M20B-E000005	2AG-DAGLA	engages	Cnr1	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0005	no_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: no_evidence; source LR manifest preserved.
M20B-E000006	2AG-DAGLA	engages	Cnr2	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0006	low_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: low_evidence; source LR manifest preserved.
M20B-E000007	2AG-DAGLA	engages	Gpr55	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0007	low_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: low_evidence; source LR manifest preserved.
M20B-E000008	2AG-DAGLB	engages	Cnr1	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0008	no_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: no_evidence; source LR manifest preserved.
M20B-E000009	2AG-DAGLB	engages	Cnr2	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0009	low_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: low_evidence; source LR manifest preserved.
M20B-E000010	2AG-DAGLB	engages	Gpr55	module20a_frozen_ligand_receptor	boundary	M20A-CELLCHAT-REMAINING-0010	low_evidence	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	low	exclude	false	Frozen Module 20A classification: low_evidence; source LR manifest preserved.
