review_id	pair_key	pair_label_canonical	b_edge_id	b_primary_evidence_id	a_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	decision_basis
M20A-EXT-2360	lgi1 adam23	Lgi1 Adam23	M20B-E004135	M20B-EVID-004135-P2-DIRECT	M20A-MEDHIGH003-EVID-0001	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2361	lgi1 rtn4r	Lgi1 Rtn4r	M20B-E004136	M20B-EVID-004136-P2-DIRECT	M20A-MEDHIGH003-EVID-0002	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2363	lgi2 adam23	Lgi2 Adam23	M20B-E004138	M20B-EVID-004138-P2-DIRECT	M20A-MEDHIGH003-EVID-0003	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2365	lgi3 adam23	Lgi3 Adam23	M20B-E004140	M20B-EVID-004140-P2-DIRECT	M20A-MEDHIGH003-EVID-0004	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2368	lgi4 adam22	Lgi4 Adam22	M20B-E004143	M20B-EVID-004143-P2-DIRECT	M20A-MEDHIGH003-EVID-0005	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2410	lrpap1 lrp2	Lrpap1 Lrp2	M20B-E004185	M20B-EVID-004185-P2-DIRECT	M20A-MEDHIGH003-EVID-0006	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2415	lrrc4b ptprf	Lrrc4b Ptprf	M20B-E004190	M20B-EVID-004190-P2-DIRECT	M20A-MEDHIGH003-EVID-0007	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2427	ltf lrp1	Ltf Lrp1	M20B-E004202	M20B-EVID-004202-P2-DIRECT	M20A-MEDHIGH003-EVID-0008	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2449	mdk ncl	Mdk Ncl	M20B-E004224	M20B-EVID-004224-P2-DIRECT	M20A-MEDHIGH003-EVID-0009	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2450	mdk notch2	Mdk Notch2	M20B-E004225	M20B-EVID-004225-P2-DIRECT	M20A-MEDHIGH003-EVID-0010	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2451	mdk ptprz1	Mdk Ptprz1	M20B-E004226	M20B-EVID-004226-P2-DIRECT	M20A-MEDHIGH003-EVID-0011	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2452	mdk sdc1	Mdk Sdc1	M20B-E004227	M20B-EVID-004227-P2-DIRECT	M20A-MEDHIGH003-EVID-0012	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; adhesion, co-receptor, sorting, proteoglycan, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred.
