review_id	pair_key	pair_label_canonical	b_edge_id	b_primary_evidence_id	a_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	decision_basis
M20A-EXT-2423	ltf ager	Ltf Ager	M20B-E004198	M20B-EVID-004198-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0001	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2442	mbl2 lrp1	Mbl2 Lrp1	M20B-E004217	M20B-EVID-004217-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0002	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2445	mdk itga4_itgb1	Mdk ITGA4_ITGB1	M20B-E004220	M20B-EVID-004220-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0003	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2446	mdk itga6_itgb1	Mdk ITGA6_ITGB1	M20B-E004221	M20B-EVID-004221-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0004	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2454	mdk sdc3	Mdk Sdc3	M20B-E004229	M20B-EVID-004229-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0005	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2457	mdk tspan1	Mdk Tspan1	M20B-E004232	M20B-EVID-004232-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0006	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2475	mmp12 plaur	Mmp12 Plaur	M20B-E004250	M20B-EVID-004250-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0007	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2480	mmp2 fgfr1	Mmp2 Fgfr1	M20B-E004255	M20B-EVID-004255-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0008	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2482	mmp7 cd151	Mmp7 Cd151	M20B-E004257	M20B-EVID-004257-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0009	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
M20A-EXT-2483	mmp7 cd44	Mmp7 Cd44	M20B-E004258	M20B-EVID-004258-P2-DIRECT	M20A-LOWDIRECTHIGH013-EVID-0010	low	false	low	high	high	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance.
