review_id	pair_key	pair_label_canonical	b_edge_id	b_primary_evidence_id	a_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	decision_basis
M20A-EXT-0099	fgf18 fgfr4	Fgf18 Fgfr4	M20B-E001874	M20B-EVID-005263-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0001	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-0106	fgf21 fgfr1	Fgf21 Fgfr1	M20B-E001881	M20B-EVID-005244-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0002	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-0110	fgf23 fgfr4	Fgf23 Fgfr4	M20B-E001885	M20B-EVID-005245-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0003	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-0126	fgf8 fgfr3	Fgf8 Fgfr3	M20B-E001901	M20B-EVID-005274-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0004	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-0762	alb lrp2	Alb Lrp2	M20B-E002537	M20B-EVID-002537-P2-FUNC	M20A-NONDIRECTHIGH002-EVID-0005	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-1112	cd200 cd200r1	Cd200 Cd200r1	M20B-E002887	M20B-EVID-005295-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0006	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-2629	ntf3 ntrk2	Ntf3 Ntrk2	M20B-E004404	M20B-EVID-004404-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0007	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-2647	nts ntsr1	Nts Ntsr1	M20B-E004422	M20B-EVID-004422-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0008	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-2648	nts ntsr2	Nts Ntsr2	M20B-E004423	M20B-EVID-004423-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0009	medium	true	high	high	high	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-2667	oxt avpr1a	Oxt Avpr1a	M20B-E004442	M20B-EVID-004442-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0010	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
M20A-EXT-2668	oxt avpr1b	Oxt Avpr1b	M20B-E004443	M20B-EVID-004443-P2-RELAY	M20A-NONDIRECTHIGH002-EVID-0011	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or downstream/function evidence was adjudicated high in Module 20B. High applies only to the preserved non-direct evidence layer; it does not establish binary binding, a terminal TF, SCI relevance, or an outcome beyond the cited record. Species, complex, isoform, ligand-form, assay, and model limitations remain explicit.
