review_id	pair_key	pair_label_canonical	staging_candidate_id	b_edge_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	a_evidence_id	decision_basis
M20A-EXT-0017	slit2 robo2	Slit2 Robo2	20B-STAGE-0001	M20B-E001792	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0001	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0018	slitrk1 ptprs	Slitrk1 Ptprs	20B-STAGE-0002	M20B-E001793	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0002	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0023	amh amhr2_bmpr1b	Amh AMHR2_BMPR1B	20B-STAGE-0003	M20B-E001798	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0003	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0024	areg egfr_erbb2	Areg EGFR_ERBB2	20B-STAGE-0004	M20B-E001799	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0004	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0028	bmp10 acvrl1_acvr2a	Bmp10 ACVRL1_ACVR2A	20B-STAGE-0005	M20B-E001803	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0005	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0029	bmp10 acvrl1_bmpr2	Bmp10 ACVRL1_BMPR2	20B-STAGE-0006	M20B-E001804	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0006	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0031	bmp2 bmpr1a_acvr2a	Bmp2 BMPR1A_ACVR2A	20B-STAGE-0007	M20B-E001806	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0007	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0032	bmp2 bmpr1a_acvr2b	Bmp2 BMPR1A_ACVR2B	20B-STAGE-0008	M20B-E001807	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0008	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0033	bmp2 bmpr1a_bmpr2	Bmp2 BMPR1A_BMPR2	20B-STAGE-0009	M20B-E001808	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0009	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0037	bmp4 bmpr1a_acvr2a	Bmp4 BMPR1A_ACVR2A	20B-STAGE-0010	M20B-E001812	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0010	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0039	bmp4 bmpr1a_bmpr2	Bmp4 BMPR1A_BMPR2	20B-STAGE-0011	M20B-E001814	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0011	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0054	bmp6 acvr1_bmpr2	Bmp6 ACVR1_BMPR2	20B-STAGE-0012	M20B-E001829	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0012	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0057	bmp6 bmpr1a_bmpr2	Bmp6 BMPR1A_BMPR2	20B-STAGE-0013	M20B-E001832	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0013	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0060	btc egfr_erbb2	Btc EGFR_ERBB2	20B-STAGE-0014	M20B-E001835	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0014	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0061	btc erbb2_erbb4	Btc ERBB2_ERBB4	20B-STAGE-0015	M20B-E001836	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0015	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0078	ccl3 ccr1	Ccl3 Ccr1	20B-STAGE-0016	M20B-E001853	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0016	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0080	egf egfr_erbb2	Egf EGFR_ERBB2	20B-STAGE-0017	M20B-E001855	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0017	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
