review_id	pair_key	pair_label_canonical	b_edge_id	b_primary_evidence_id	a_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	decision_basis
M20A-EXT-2473	mif egfr	Mif Egfr	M20B-E004248	M20B-EVID-004248-P2-DIRECT	M20A-MEDHIGH008-EVID-0001	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2677	pcsk9 cd81	Pcsk9 Cd81	M20B-E004452	M20B-EVID-004452-P2-DIRECT	M20A-MEDHIGH008-EVID-0002	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2684	pdcd1lg2 pdcd1	Pdcd1lg2 Pdcd1	M20B-E004459	M20B-EVID-004459-P2-DIRECT	M20A-MEDHIGH008-EVID-0003	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2762	plg plgrkt	Plg Plgrkt	M20B-E004537	M20B-EVID-004537-P2-DIRECT	M20A-MEDHIGH008-EVID-0004	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2808	prl prlr	Prl Prlr	M20B-E004583	M20B-EVID-004583-P2-DIRECT	M20A-MEDHIGH008-EVID-0005	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2816	prok1 prokr1	Prok1 Prokr1	M20B-E004591	M20B-EVID-004591-P2-DIRECT	M20A-MEDHIGH008-EVID-0006	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2817	prok1 prokr2	Prok1 Prokr2	M20B-E004592	M20B-EVID-004592-P2-DIRECT	M20A-MEDHIGH008-EVID-0007	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2818	prok2 prokr1	Prok2 Prokr1	M20B-E004593	M20B-EVID-004593-P2-DIRECT	M20A-MEDHIGH008-EVID-0008	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2819	prok2 prokr2	Prok2 Prokr2	M20B-E004594	M20B-EVID-004594-P2-DIRECT	M20A-MEDHIGH008-EVID-0009	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2822	pros1 tyro3	Pros1 Tyro3	M20B-E004597	M20B-EVID-004597-P2-DIRECT	M20A-MEDHIGH008-EVID-0010	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2905	pyy npy1r	Pyy Npy1r	M20B-E004680	M20B-EVID-004680-P2-DIRECT	M20A-MEDHIGH008-EVID-0011	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2956	rspo1 lrp6	Rspo1 Lrp6	M20B-E004731	M20B-EVID-004731-P2-DIRECT	M20A-MEDHIGH008-EVID-0012	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2959	rspo2 lgr4	Rspo2 Lgr4	M20B-E004734	M20B-EVID-004734-P2-DIRECT	M20A-MEDHIGH008-EVID-0013	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2968	rspo3 rnf43	Rspo3 Rnf43	M20B-E004743	M20B-EVID-004743-P2-DIRECT	M20A-MEDHIGH008-EVID-0014	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2970	rspo3 znrf3	Rspo3 Znrf3	M20B-E004745	M20B-EVID-004745-P2-DIRECT	M20A-MEDHIGH008-EVID-0015	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3038	sema3a nrp1_plxna1	Sema3a NRP1_PLXNA1	M20B-E004813	M20B-EVID-004813-P2-DIRECT	M20A-MEDHIGH008-EVID-0016	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3039	sema3a nrp1_plxna2	Sema3a NRP1_PLXNA2	M20B-E004814	M20B-EVID-004814-P2-DIRECT	M20A-MEDHIGH008-EVID-0017	medium	true	medium	high	high	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was adjudicated high in Module 20B. High applies only to the tested molecular engagement or preserved complex; ligand form, domain, receptor topology, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
