candidate_id	source_a_status	b_status	layer1_status	layer2_status	layer3_status	species_posture	injury_context_posture	next_gap
M20A-CELLCHAT-REMAINING-0001	reviewed	low_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0002	reviewed	no_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0003	reviewed	low_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0004	reviewed	low_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0005	reviewed	no_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0006	reviewed	low_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0007	reviewed	low_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0008	reviewed	no_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0009	reviewed	low_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0010	reviewed	low_evidence	boundary	not_inferred	not_inferred	mouse_release_scope	SCI-relevant candidate universe	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
