review_id	pair_key	pair_label_canonical	b_edge_id	b_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_evidence_confidence	new_edge_confidence	new_evidence_confidence	evidence_register_ids	decision_basis
M20A-CELLCHAT-REMAINING-0450	egf egfr	Egf Egfr	M20B-E000450	M20B-EVID-000450	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0001	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-CELLCHAT-REMAINING-0452	ereg egfr	Ereg Egfr	M20B-E000452	M20B-EVID-000452	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0002	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-CELLCHAT-REMAINING-1250	hbegf egfr	Hbegf Egfr	M20B-E001250	M20B-EVID-001250	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0003	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-CELLCHAT-REMAINING-1251	hbegf erbb4	Hbegf Erbb4	M20B-E001251	M20B-EVID-001251	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0004	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0006	ccl2 ccr2	Ccl2 Ccr2	M20B-E001781	M20B-EVID-001781	high	true	high	high	high	M20A-EXT1-EVID-009;M20A-EXT1-EVID-010	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0015	slit1 robo1	Slit1 Robo1	M20B-E001790	M20B-EVID-001790	high	true	high	high	high	M20A-EXT1-EVID-021;M20A-EXT1-EVID-022	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0016	slit2 robo1	Slit2 Robo1	M20B-E001791	M20B-EVID-001791	high	true	high	high	high	M20A-EXT1-EVID-023	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0021	wnt5a mcam	Wnt5a Mcam	M20B-E001796	M20B-EVID-001796	high	true	high	high	high	M20A-EXT1-EVID-028;M20A-EXT1-EVID-029	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0026	artn gfra3_ret	Artn GFRA3_RET	M20B-E001801	M20B-EVID-001801	high	true	high	high	high	M20A-EXT8-EVID-002	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0027	bdnf ntrk2	Bdnf Ntrk2	M20B-E001802	M20B-EVID-001802	high	true	high	high	high	M20A-EXT8-EVID-004	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
