review_id	pair_key	pair_label_canonical	b_edge_id	b_primary_evidence_id	a_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	decision_basis
M20A-EXT-2884	ptn alk	Ptn Alk	M20B-E004659	M20B-EVID-004659-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0001	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-2981	rtn4 ngfr	Rtn4 Ngfr	M20B-E004756	M20B-EVID-004756-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0002	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-2989	s100a1 tlr4	S100a1 Tlr4	M20B-E004764	M20B-EVID-004764-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0003	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3008	saa1 fpr2	Saa1 Fpr2	M20B-E004783	M20B-EVID-004783-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0004	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3015	saa2 fpr2	Saa2 Fpr2	M20B-E004790	M20B-EVID-004790-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0005	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3019	saa2 tlr2	Saa2 Tlr2	M20B-E004794	M20B-EVID-004794-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0006	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3088	sema4d cd72	Sema4d Cd72	M20B-E004863	M20B-EVID-004863-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0007	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3097	sema5b plxna1	Sema5b Plxna1	M20B-E004872	M20B-EVID-004872-P2-FUNC	M20A-NONDIRECTHIGH004-EVID-0008	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3103	sema7a plxnc1	Sema7a Plxnc1	M20B-E004878	M20B-EVID-004878-P2-FUNC	M20A-NONDIRECTHIGH004-EVID-0009	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3360	trf tfr2	Trf Tfr2	M20B-E005135	M20B-EVID-005135-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0010	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3361	trf tfrc	Trf Tfrc	M20B-E005136	M20B-EVID-005136-P2-FUNC	M20A-NONDIRECTHIGH004-EVID-0011	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3403	uts2b sstr5	Uts2b Sstr5	M20B-E005178	M20B-EVID-005178-P2-FUNC	M20A-NONDIRECTHIGH004-EVID-0012	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3428	vegfa nrp2	Vegfa Nrp2	M20B-E005203	M20B-EVID-005338-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0013	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
M20A-EXT-3502	wnt5a ror1	Wnt5a Ror1	M20B-E005277	M20B-EVID-005342-P2-RELAY	M20A-NONDIRECTHIGH004-EVID-0014	medium	true	medium	high	medium	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit.
