evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch007_regulator_znf766	znf766	ZNF766	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF766 target set contains queued ADAM9, ADGRB3, ADIPOR1, and ADORA3; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF766_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_znf322	znf322	ZNF322	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF322 target set contains queued ANGPT2, APLP1, APLP2, and APOE; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF322_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_zbtb44	zbtb44	ZBTB44	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZBTB44 target set contains queued ACVR1, ADAM22, ADGRL1, and ADIPOR1; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZBTB44_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_znf518a	znf518a	ZNF518A	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human occupancy-resource records	ChIP-Atlas/ReMap-style target association and ENCODE factor-targeted experiment metadata	Public regulatory resources establish ZNF518A as a profiled regulator, but no queued ACKR2, ADA, ADAM17, or ADO edge had matched functional validation.	queued-pair direction not established	https://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/SRX1389376.5.html	https://www.encodeproject.org/experiments/ENCSR159GFL/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_foxd2	foxd2	FOXD2	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human FOXD2 binding-profile/target-set resources	GTRD-derived target set and validated FOXD2 DNA-binding profile	The FOXD2 target-set resource contains queued CD44 and CD9; ACTR2 and CHRNA7 were not validated by a matched functional study.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/FOXD2_TARGET_GENES.html	https://jaspar.elixir.no/matrix/MA0847.2/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_znf22	znf22	ZNF22	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human brain endothelial-cell blood-tumor-barrier model	ZNF22 perturbation, ChIP-qPCR, and promoter luciferase assays	ZNF22 was reported to bind and repress nonqueued tight-junction genes ZO1, OCLN, and CLDN5; no queued ANXA2, CHL1, EREG, or F3 relationship was validated.	queued-pair direction not established	https://pmc.ncbi.nlm.nih.gov/articles/PMC9742255/	https://www.frontiersin.org/journals/molecular-neuroscience/articles/10.3389/fnmol.2022.1027942/pdf	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_znf8	znf8	ZNF8	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF8 target set contains queued ADGRL2, ADIPOR2, BMP5, and BMPR1A; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/cards/ZNF8_TARGET_GENES		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_znf75a	znf75a	ZNF75A	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human K-562 and MCF-7 occupancy datasets	ReMap ChIP-seq catalogue	ReMap lists human ZNF75A occupancy datasets, but no queued ACTR2, ADAM17, ADIPOR1, or APLP2 edge had matched functional validation.	queued-pair direction not established	https://remap2022.univ-amu.fr/target_page/ZNF75A%3A9606		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_znf589	znf589	ZNF589	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization and curated gene annotation	The ZNF589 target set contains queued ADAM9 and CD22; ADCYAP1 and ADGRB3 were not confirmed in the fetched set. No queued functional edge was validated.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF589_TARGET_GENES.html	https://www.ncbi.nlm.nih.gov/gene/51385	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch007_regulator_znf140	znf140	ZNF140	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD/JASPAR regulatory resources	GTRD promoter occupancy and motif-predicted target catalogues	The GTRD-derived ZNF140 target set contains queued ADA, ANXA2, and APLP1; APP itself was not confirmed as a target (only APP-DT appeared in the fetched page). No queued functional edge was validated.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF140_TARGET_GENES.html	https://maayanlab.cloud/Harmonizome/gene_set/ZNF140/JASPAR%2BPredicted%2BHuman%2BTranscription%2BFactor%2BTargets%2B2025	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
