path_expression	route_tier	missing_layers	intracellular_status	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	input_evidence_type	route_linkage_status	causal_status	traversal_status	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	source_scope	curation_status	expansion_id	source_queue_id	known_layers	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	output_label	pathway_name	output_evidence_type	evidence_ids	source_evidence_record_id	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	primary_locator	citation_note	evidence_summary	limitations	route_evidence_id
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0575	M21B-DOWNSTREAM:00716	ligand|receptor|intracellular_continuation|reporter_readout	NODE06340	Leukotriene E4/LTE4	M21B-E001576	NODE08607	OXGR1/GPR99	M21B-E003373	NODE04282	GNAQ/GNA11	LTE4-OXGR1/GPR99-GNAQ/GNA11 reporter activation output	LTE4-OXGR1-GPCR	composite_primary_receptor_gprotein_route_output	M21B-E001576;M21B-EVID-001519;M21B-DOWNSTREAM-EVID:001198;M21B-E003373;M21B-EVID-003316;PMID:23504326;PMID:41413034;PMCID:PMC12714840	M21B-DOWNSTREAM-EVID:001198	reporter_readout	human; mouse	Human OXGR1/GPR99 in HeLa cells with LTE4 reporter and IP1 assays, plus receptor-null mouse vascular-permeability models	Extracellular LTE4 engagement of OXGR1/GPR99 with the bounded GNAQ/GNA11 continuation and reporter/IP1 output	No SCI transfer inferred; primary model context only	Primary evidence supports LTE4-dependent OXGR1/GPR99 reporter and vascular-permeability responses; the existing graph edge supplies a bounded GNAQ/GNA11 continuation without asserting a TF or target gene.	LTE4 reporter, IP1 accumulation, receptor-mutant, binding and receptor-null vascular-permeability assays	activating	PMID:23504326; PMID:41413034; PMCID:PMC12714840	Primary LTE4/OXGR1 receptor-output and receptor-Gq structural studies	Primary evidence supports LTE4-dependent OXGR1/GPR99 reporter activation and an LTE4-bound OXGR1-Gq branch; the existing edge supplies the bounded GNAQ/GNA11 continuation.	Preserve the provisional third-receptor nomenclature, LTE4 preference and receptor-null/heterologous limits; do not generalize alpha-ketoglutarate, SCI or terminal-TF output.	LITEXP:000575
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0576	M21B-DOWNSTREAM:00717	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE01225	Beta-endorphin/beta-END	M21B-E001577	NODE08565	OPRM1/MOR1 mu-opioid receptor	M21B-E001838	NODE04268	GNAI	Beta-endorphin-OPRM1/MOR1-GNAI cAMP inhibition output	Beta-endorphin-OPRM1-GPCR	composite_primary_receptor_gprotein_route_output	M21B-E001577;M21B-EVID-001520;M21B-DOWNSTREAM-EVID:001199;M21B-E001838;M21B-EVID-001781;PMID:12513698;PMID:29899455	M21B-DOWNSTREAM-EVID:001199	second_messenger_readout	mouse; as stated in primary model/assay	Cloned mu-opioid receptor-expressing cells with beta-endorphin concentration-response and forskolin-stimulated cAMP inhibition; agonist-bound mouse MOR-Gi structural system	Extracellular beta-endorphin engagement of OPRM1/MOR1 with the bounded GNAI continuation and cAMP-inhibition output	No SCI transfer inferred; primary model context only	Primary evidence supports beta-endorphin activity at cloned OPRM1/MOR1 with cAMP inhibition; the existing graph edge supplies the bounded GNAI continuation without asserting a TF or target gene.	Mu-opioid receptor ligand concentration-response, forskolin-stimulated cAMP inhibition and receptor-Gi cryo-EM/coupling-interface assays	inhibitory	PMID:12513698; PMID:29899455	Primary beta-endorphin/MOR cAMP and MOR-Gi coupling studies	Primary evidence supports beta-endorphin agonist activity at cloned MOR with inhibition of forskolin-stimulated cAMP; the existing edge supplies the bounded GNAI continuation.	Preserve beta-endorphin processing/isoform, cloned-cell and DAMGO structural context; opioid agonists can show biased signaling, so do not claim exclusivity, SCI transfer or terminal-TF effects.	LITEXP:000576
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0577	M21B-DOWNSTREAM:00718	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE03184	Endomorphin-1	M21B-E001578	NODE08565	OPRM1/MOR1 mu-opioid receptor	M21B-E001838	NODE04268	GNAI	Endomorphin-1-OPRM1/MOR1-GNAI adenylate-cyclase inhibition output	Endomorphin1-OPRM1-GPCR	composite_primary_receptor_gprotein_route_output	M21B-E001578;M21B-EVID-001521;M21B-DOWNSTREAM-EVID:001200;M21B-E001838;M21B-EVID-001781;PMID:11404430;PMCID:PMC6762737;PMID:29899455	M21B-DOWNSTREAM-EVID:001200	second_messenger_readout	human; rat; mouse	Cloned mu-opioid receptor-expressing HEK293 cells with endomorphin-1 inhibition of forskolin-stimulated cAMP, rat globus-pallidus behavioral comparator, and agonist-bound mouse MOR-Gi structural system	Extracellular endomorphin-1 engagement of OPRM1/MOR1 with the bounded GNAI continuation and cAMP-inhibition output	No SCI transfer inferred; primary model context only	Primary evidence supports endomorphin-1 inhibition of adenylate cyclase through cloned MOR with antagonist-sensitive behavioral support; the existing graph edge supplies the bounded GNAI continuation without asserting a TF or target gene.	Endomorphin-1 concentration-response, forskolin-stimulated cAMP inhibition, naloxone/CTOP blockade and receptor-Gi coupling assays	inhibitory	PMID:11404430; PMCID:PMC6762737; PMID:29899455	Primary endomorphin-1/MOR cAMP and MOR-Gi coupling studies	Primary evidence supports endomorphin-1 inhibition of adenylate cyclase in cloned MOR-expressing cells with antagonist-sensitive motor effects; the existing edge supplies the bounded GNAI continuation.	Preserve the proposed endogenous-ligand status, partial-agonist/desensitization limits and rat behavioral comparator; do not infer universal opioid coupling, SCI transfer or terminal-TF effects.	LITEXP:000577
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0578	M21B-DOWNSTREAM:00719	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE06928	Met-enkephalin	M21B-E001579	NODE08565	OPRM1/MOR1 mu-opioid receptor	M21B-E001838	NODE04268	GNAI	Met-enkephalin-OPRM1/MOR1-GNAI cAMP inhibition output	Met-enkephalin-OPRM1-GPCR	composite_primary_receptor_gprotein_route_output	M21B-E001579;M21B-EVID-001522;M21B-DOWNSTREAM-EVID:001201;M21B-E001838;M21B-EVID-001781;PMID:11404430;PMCID:PMC6762737;PMID:29899455	M21B-DOWNSTREAM-EVID:001201	second_messenger_readout	human; mouse; rat	Cloned mu-opioid receptor-expressing HEK293 cells with Met-enkephalin concentration-response and forskolin-stimulated cAMP inhibition; comparator opioid assays and agonist-bound mouse MOR-Gi structural system	Extracellular Met-enkephalin engagement of OPRM1/MOR1 with the bounded GNAI continuation and cAMP-inhibition output	No SCI transfer inferred; primary model context only	Primary evidence supports Met-enkephalin inhibition of forskolin-stimulated cAMP through cloned MOR; the existing graph edge supplies the bounded GNAI continuation without asserting a TF or target gene.	Met-enkephalin concentration-response, forskolin-stimulated cAMP inhibition, comparator opioid assays and receptor-Gi coupling assays	inhibitory	PMID:11404430; PMCID:PMC6762737; PMID:29899455	Primary Met-enkephalin/MOR cAMP and MOR-Gi coupling studies	Primary evidence supports Met-enkephalin inhibition of forskolin-stimulated cAMP in cloned MOR-expressing cells; the existing edge supplies the bounded GNAI continuation.	Preserve peptide processing and receptor-variant/cell-context boundaries; do not infer universal opioid coupling, SCI transfer or terminal-TF effects.	LITEXP:000578
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0579	M21B-DOWNSTREAM:00741	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE00136	Acetylcholine	M21B-E001611	NODE02141	CHRM2/M2 muscarinic receptor	M21B-E001857	NODE04268	GNAI	Acetylcholine-CHRM2/M2-GNAI forskolin-stimulated cAMP inhibition output	Acetylcholine-M2-muscarinic	composite_primary_receptor_gprotein_route_output	M21B-E001611;M21B-EVID-001554;M21B-DOWNSTREAM-EVID:001229;M21B-E001857;M21B-EVID-001800;PMID:8382764;PMID:2172674;PMID:1650470	M21B-DOWNSTREAM-EVID:001229	second_messenger_readout	mouse; rat; human comparator	Recombinant rat or human M2 receptor systems in fibroblast/CHO cells; acetylcholine or muscarinic agonist stimulation, pertussis-toxin-sensitive Gi/o signaling and forskolin-stimulated cAMP assays	Extracellular acetylcholine engagement of CHRM2/M2 with the bounded GNAI continuation and cAMP-inhibition output	No SCI transfer inferred; recombinant receptor model context only	Primary receptor-coupling studies support M2-dependent Gi/o-linked inhibition of forskolin-stimulated cAMP; the queue’s review is retained as context, and the existing edge supplies the bounded GNAI continuation without asserting a TF or target gene.	Muscarinic agonist binding, pertussis-toxin sensitivity and forskolin-stimulated cAMP inhibition in recombinant receptor cell systems	inhibitory	PMID:2172674; PMID:1650470; PMID:8382764	Primary M2 Gi/o-coupling studies with the queue’s muscarinic review retained as context	Primary studies support M2 muscarinic receptor coupling to inhibitory Gi/o signaling with forskolin-stimulated cAMP inhibition; the existing edge supplies the bounded GNAI continuation.	Preserve receptor subtype, agonist, transformed-cell and receptor-reserve context; do not infer a single Gi isoform, universal muscarinic mechanism, SCI effect or terminal-TF output.	LITEXP:000579
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0580	M21B-DOWNSTREAM:00742	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE00136	Acetylcholine	M21B-E001612	NODE02144	CHRM4/M4 muscarinic receptor	M21B-E003976	NODE04271	GNAI/O/Z	Acetylcholine-CHRM4/M4-GNAI/O/Z forskolin-stimulated cAMP inhibition output	Acetylcholine-M4-muscarinic	composite_primary_receptor_gprotein_route_output	M21B-E001612;M21B-EVID-001555;M21B-DOWNSTREAM-EVID:001230;M21B-E003976;M21B-EVID-003919;PMID:8382764;PMID:15655507;PMID:1650470	M21B-DOWNSTREAM-EVID:001230	second_messenger_readout	mouse; human comparator	Recombinant human or mammalian M4 receptor systems in CHO cells; acetylcholine or muscarinic agonist stimulation, Gi/o coupling and forskolin-stimulated cAMP assays	Extracellular acetylcholine engagement of CHRM4/M4 with the bounded GNAI/O/Z continuation and cAMP-inhibition output	No SCI transfer inferred; recombinant receptor model context only	Primary receptor-coupling studies support M4-dependent Gi/o-linked inhibition of forskolin-stimulated cAMP; the queue’s review is retained as context, and the existing edge supplies the bounded GNAI/O/Z continuation without asserting a TF or target gene.	Muscarinic agonist binding, Gi/o coupling, receptor internalization and forskolin-stimulated cAMP inhibition in recombinant M4 cell systems	inhibitory	PMID:15655507; PMID:1650470; PMID:8382764	Primary M4 Gi/o-coupling studies with the queue’s muscarinic review retained as context	Primary studies support M4 muscarinic receptor coupling to Gi/o-linked inhibition of forskolin-stimulated cAMP; the existing edge supplies the bounded GNAI/O/Z continuation.	Preserve CHRM4/M4, agonist, transformed-cell and receptor-reserve context; do not infer universal coupling, SCI effect or terminal transcription.	LITEXP:000580
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0581	M21B-DOWNSTREAM:00756	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE11614	UTP	M21B-E001643	NODE08707	P2Y2/P2RY2	M21B-E001847	NODE04282	GNAQ/GNA11	UTP-P2Y2/P2RY2-GNAQ/GNA11 calcium mobilization output	UTP-P2Y2-GPCR	composite_primary_receptor_gprotein_route_output	M21B-E001643;M21B-EVID-001586;M21B-DOWNSTREAM-EVID:001244;M21B-E001847;M21B-EVID-001790;PMID:10839197	M21B-DOWNSTREAM-EVID:001244	second_messenger_readout	human; mouse	Human and murine P2Y2/P2RY2-expressing 1321N1 astrocytoma cells and human A431 cells; UTP stimulation, intracellular calcium mobilization and homologous desensitization assays	Extracellular UTP engagement of P2Y2/P2RY2 with the bounded GNAQ/GNA11 continuation and calcium output	No SCI transfer inferred; primary model context only	Primary evidence supports UTP-dependent activation of human and murine P2Y2 with calcium mobilization; the existing graph edge supplies the bounded GNAQ/GNA11 continuation without asserting a TF or target gene.	UTP concentration-response, intracellular calcium mobilization and homologous receptor-desensitization assays	activating	PMID:10839197	Primary human/murine P2Y2 UTP signaling and desensitization study	Primary evidence supports UTP-dependent P2Y2 calcium mobilization in human and murine systems; the existing edge supplies the bounded GNAQ/GNA11 continuation.	Preserve ATP/UTP co-agonism, species-specific P2Y2 behavior and receptor-desensitization context; do not infer universal coupling, SCI transfer or terminal gene expression.	LITEXP:000581
ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	intracellular_continuation|transcription_factor	not_assayed								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	direct_edge	curated_primary_route	M21B-LITEXP-0582	M21B-DOWNSTREAM:00784	ligand|receptor|phosphorylation_or_activation_readout	NODE06320	LEAP2	M21B-E001692	NODE04101	GHSR1A				LEAP2-GHSR1A antagonism and inhibited receptor activation output	LEAP2-GHSR1A-antagonism	primary_receptor_antagonism_output	M21B-E001692;M21B-EVID-001635;M21B-DOWNSTREAM-EVID:001283;PMID:29233536;PMID:30666806	M21B-DOWNSTREAM-EVID:001283	phosphorylation_or_activation_readout	human; mouse; rat	Human and rodent LEAP2/GHSR1A systems with receptor binding and activation assays, ghrelin competition, heterologous receptor cells and mouse/rat metabolic, growth-hormone and feeding models	Extracellular LEAP2 binding to GHSR1A with inhibition of ghrelin-dependent receptor activation output	No SCI transfer inferred; primary model context only	Primary evidence supports LEAP2 as an endogenous competitive/slow-dissociating GHSR1A antagonist that inhibits ghrelin-dependent activation. The route is retained as output evidence only; no LEAP2-to-effector continuation is asserted.	LEAP2/GHSR1A binding and activation assays, ghrelin competition, receptor-expression systems and in-vivo food-intake/GH response models	inhibitory	PMID:29233536; PMID:30666806	Primary LEAP2/GHSR1A antagonist and receptor-binding mechanism studies	Primary evidence supports LEAP2 antagonism of GHSR1A and inhibition of ghrelin-dependent activation; no intracellular relay or terminal gene expression is asserted.	Preserve peptide form, competitive/slow-dissociation behavior and ghrelin-opposed context; do not treat LEAP2 as an agonist or infer SCI relevance or terminal-TF effects.	LITEXP:000582
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0583	M21B-DOWNSTREAM:00787	ligand|receptor|intracellular_continuation|secreted_protein_or_release	NODE11570	Urocortin-1	M21B-E001695	NODE02471	CRHR1/CRH receptor 1	M21B-E001824	NODE04283	GNAS	Urocortin-1-CRHR1-GNAS ACTH secretion output	Urocortin1-CRHR1-GPCR	composite_primary_receptor_gprotein_route_output	M21B-E001695;M21B-EVID-001638;M21B-DOWNSTREAM-EVID:001291;M21B-E001824;M21B-EVID-001767;PMID:7477349;PMID:17057757	M21B-DOWNSTREAM-EVID:001291	secreted_protein_or_release	rat; human comparator	Rat Urocortin-1 discovery and synthetic-peptide assays; transfected type-1 CRF receptor systems and pituitary ACTH secretion, with CRHR1 coupling comparator systems	Extracellular Urocortin-1 engagement of CRHR1 with the bounded GNAS continuation and ACTH secretion output	No SCI transfer inferred; primary model context only	Primary evidence supports Urocortin-1 binding and activation of CRHR1 with ACTH release; the existing graph edge supplies the bounded GNAS continuation without asserting a TF or target gene.	Urocortin-1 receptor binding/activation, synthetic-peptide and in-vitro/in-vivo ACTH secretion assays	activating	PMID:7477349; PMID:17057757	Primary Urocortin-1/CRHR1 ACTH-output and CRHR1-Gs coupling studies	Primary evidence supports Urocortin-1 activation of CRHR1 with ACTH secretion; the existing edge supplies the bounded GNAS continuation.	Preserve peptide/receptor subtype and stress-neuroendocrine comparator limits; do not infer universal coupling, SCI transfer or terminal-TF effects.	LITEXP:000583
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0584	M21B-DOWNSTREAM:00788	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	NODE11570	Urocortin-1	M21B-E001696	NODE02475	CRHR2/CRH receptor 2	M21B-E003359	NODE04283	GNAS	Urocortin-1-CRHR2-GNAS c-Fos/cellular activation output	Urocortin1-CRHR2-GPCR	composite_primary_receptor_gprotein_route_output	M21B-E001696;M21B-EVID-001639;M21B-DOWNSTREAM-EVID:001292;M21B-E003359;M21B-EVID-003302;PMID:7477349;PMID:32004470;DOI:10.1016/j.molcel.2020.01.013	M21B-DOWNSTREAM-EVID:001292	phosphorylation_or_activation_readout	rat; human	Rat Urocortin-1 discovery and synthetic-peptide assays with CRHR2-enriched brain-region c-Fos responses; UCN1-bound human CRHR2/CRF2R-Gs structural system	Extracellular Urocortin-1 engagement of CRHR2 with the bounded GNAS continuation and cellular activation/c-Fos output	No SCI transfer inferred; primary model context only	Primary evidence supports Urocortin-1 binding and activation at CRHR2 with c-Fos cellular activation; the existing graph edge supplies the bounded GNAS continuation without asserting c-Fos as a target-gene claim.	Urocortin-1 receptor binding/activation, c-Fos induction and UCN1-bound CRHR2-Gs structural coupling assays	activating	PMID:7477349; PMID:32004470; DOI:10.1016/j.molcel.2020.01.013	Primary Urocortin-1/CRHR2 activation and CRHR2-Gs structural studies	Primary evidence supports Urocortin-1 activation of CRHR2 with c-Fos cellular activation; the existing edge supplies the bounded GNAS continuation.	Preserve higher relative CRHR2 affinity, receptor-enriched CNS and structural-system context; do not infer exclusive receptor usage, SCI transfer or terminal-TF effects.	LITEXP:000584
