external_regulon_id	external_record_key	target_normalized_symbol	target_normalized_symbol_key	membership_basis	regulatory_effect	membership_status	confidence_tier	export_priority
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000025:252d257a00aa	CYP1B1	cyp1b1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000154:4e2781fcd786	CYP1A1	cyp1a1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000651:b27e5b4c207f	MYC	myc	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000797:96a815b914a7	UGT1A6	ugt1a6	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003115:cafe0a0ce7c6	CYP1A2	cyp1a2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003280:0ddad8a1c62b	FOS	fos	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:007095:e5be64b60350	ASAP1	asap1	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:007096:20043accf42e	ERG	erg	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:007097:112f4de9228c	VGLL4	vgll4	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000040:e6a08e715046	KLK3	klk3	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000305:525994af622d	MYC	myc	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000351:49a9f7a4c91b	CDKN1A	cdkn1a	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000683:be4a4193cb40	MME	mme	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000852:a38bfd521de3	JUN	jun	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001041:fd475fdcdd10	AKT1	akt1	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001226:1c3d78a56f13	GTF2F1	gtf2f1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001253:089743b48c92	IGHG1	ighg1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001392:6c3b5590dcfa	NCOA2	ncoa2	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001513:855397b63e82	SCAP	scap	inferred_regulatory	activating_target	candidate	uncertain	exclude
