mapping_id	source_registry	source_version	species_context	identity_role	source_symbol	normalized_symbol	normalized_symbol_key	identity_decision	identity_reason	mscidblit_entity_id	frozen_entity_match_status	frozen_canonical_name	frozen_gene_symbol	frozen_organism_scope	frozen_tf_role_present	frozen_target_role_present
1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	A2M	A2M	a2m	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11155	mapped_unique	A2m	A2m	\N	f	f
2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	A4GALT	A4GALT	a4galt	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	AAK1	AAK1	aak1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
4	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	AARS1	AARS1	aars1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
5	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	AATK	AATK	aatk	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
6	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCA1	ABCA1	abca1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11207	mapped_unique	Abca1	Abca1	\N	f	f
7	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCA13	ABCA13	abca13	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
8	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCA2	ABCA2	abca2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
9	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCA3	ABCA3	abca3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
10	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCA4	ABCA4	abca4	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
