verification_id	external_record_key	priority_tf_symbol	species_context	target_normalized_symbol	verification_scope	reference_pmid	reference_locator	reference_title	verification_status	evidence_class	verified_effect	cell_type_context	compartment_context	stimulus_context	confidence_tier	limitations	notes
TF_IDENTITY:TP53:human	\N	TP53	human	\N	tf_identity	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008486	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008486	TP53	human	BCL2	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008526	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008526	TP53	human	CTNNB1	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008585	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008585	TP53	human	MAP4	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008586	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008586	TP53	human	MCL1	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008599	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008599	TP53	human	MYC	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000017:388c9b080ad0	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000017:388c9b080ad0	TP53	human	BCL2	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000147:9c5fedd0e285	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000147:9c5fedd0e285	TP53	human	MYC	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000289:6b7017c18c68	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000289:6b7017c18c68	TP53	human	MAP4	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002254:e7277fda3ff7	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002254:e7277fda3ff7	TP53	human	CTNNB1	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	primary_reference_verified	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
