external_regulon_id	source_registry	source_version	species_context	tf_normalized_symbol	tf_normalized_symbol_key	regulon_name	definition_status	membership_semantics	source_record_count	materialized_member_count	export_priority	limitations
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ahr	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	AHR	ahr	OmniPath_DoRothEA public regulon: AHR (human)	candidate	public_source_membership	9	9	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	AR	ar	OmniPath_DoRothEA public regulon: AR (human)	candidate	public_source_membership	157	157	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|arid3a	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ARID3A	arid3a	OmniPath_DoRothEA public regulon: ARID3A (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|arnt	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ARNT	arnt	OmniPath_DoRothEA public regulon: ARNT (human)	candidate	public_source_membership	8	8	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ascl1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ASCL1	ascl1	OmniPath_DoRothEA public regulon: ASCL1 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|atf1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ATF1	atf1	OmniPath_DoRothEA public regulon: ATF1 (human)	candidate	public_source_membership	29	29	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|atf2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ATF2	atf2	OmniPath_DoRothEA public regulon: ATF2 (human)	candidate	public_source_membership	26	26	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|atf3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ATF3	atf3	OmniPath_DoRothEA public regulon: ATF3 (human)	candidate	public_source_membership	10	10	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|atf4	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ATF4	atf4	OmniPath_DoRothEA public regulon: ATF4 (human)	candidate	public_source_membership	34	34	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|atf5	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ATF5	atf5	OmniPath_DoRothEA public regulon: ATF5 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|atf6	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ATF6	atf6	OmniPath_DoRothEA public regulon: ATF6 (human)	candidate	public_source_membership	11	11	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|atoh1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ATOH1	atoh1	OmniPath_DoRothEA public regulon: ATOH1 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|bach1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	BACH1	bach1	OmniPath_DoRothEA public regulon: BACH1 (human)	candidate	public_source_membership	29	29	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|bach2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	BACH2	bach2	OmniPath_DoRothEA public regulon: BACH2 (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|batf	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	BATF	batf	OmniPath_DoRothEA public regulon: BATF (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|bcl6	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	BCL6	bcl6	OmniPath_DoRothEA public regulon: BCL6 (human)	candidate	public_source_membership	6	6	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|bhlhe40	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	BHLHE40	bhlhe40	OmniPath_DoRothEA public regulon: BHLHE40 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|bmal1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	BMAL1	bmal1	OmniPath_DoRothEA public regulon: BMAL1 (human)	candidate	public_source_membership	10	10	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|bmal2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	BMAL2	bmal2	OmniPath_DoRothEA public regulon: BMAL2 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
