transition_id	source_form_id	target_form_id	source_node_id	target_node_id	source_form_type	target_form_type	transition_type	relation_type	traversal_status	causal_status	evidence_status	source_label	target_label	evidence_ids	notes
TRN:00001	GENE:NODE01295	PROTEIN:NODE01295	NODE01295	NODE01295	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Bmp2	Bmp2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00002	GENE:NODE02344	PROTEIN:NODE02344	NODE02344	NODE02344	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Col1a2	Col1a2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00003	GENE:NODE03837	PROTEIN:NODE03837	NODE03837	NODE03837	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	FST	FST		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00004	GENE:NODE05283	PROTEIN:NODE05283	NODE05283	NODE05283	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	IL10	IL10		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00005	GENE:NODE05510	PROTEIN:NODE05510	NODE05510	NODE05510	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Il6	Il6		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00006	GENE:NODE10673	PROTEIN:NODE10673	NODE10673	NODE10673	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Sst	Sst		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00007	GENE:NODE11719	PROTEIN:NODE11719	NODE11719	NODE11719	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Vegfa	Vegfa		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00008	GENE:NODE05510	PROTEIN:NODE05231	NODE05510	NODE05231	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Il6	IL-6		Explicit register-label mapping between the IL6 target-gene form and the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00009	GENE:NODE05512	PROTEIN:NODE05231	NODE05512	NODE05231	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL6 inflammatory target gene	IL-6		Explicit register-label mapping from the IL6 inflammatory target-gene label to the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00010	GENE:NODE01191	PROTEIN:NODE01181	NODE01191	NODE01181	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Bdnf promoter IV	Bdnf		Explicit mapping from the Bdnf promoter-IV target-gene label to the BDNF ligand form; this does not assert expression, translation, secretion, transport, or receptor activation.
TRN:00011	GENE:NODE05367	PROTEIN:NODE05366	NODE05367	NODE05366	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL1B (pro-IL-1β)	Il1b		Explicit mapping from the IL1B/pro-IL-1β target-gene label to the IL-1β ligand form; maturation, secretion, transport, and receptor activation remain conditional on output evidence.
TRN:00012	GENE:NODE11002	PROTEIN:NODE10997	NODE11002	NODE10997	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Tgfb1 promoter	Tgfb1		Explicit mapping from the Tgfb1 promoter target-gene label to the TGFB1 ligand form; this does not assert expression, latent complex processing, secretion, activation, or receptor binding.
TRN:00013	GENE:NODE10290	PROTEIN:NODE10289	NODE10290	NODE10289	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Shh MACS1 long-range enhancer	Shh		Explicit mapping from the Shh MACS1 enhancer target-gene label to the SHH ligand form; this does not assert expression, processing, secretion, transport, or receptor activation.
