review_priority_rank	review_priority_score	ligand_label	receptor_label	route_record_count	unique_evidence_id_count	output_annotated_route_count	tf_annotated_route_count	intracellular_annotated_route_count	missing_intracellular_count	missing_tf_count	route_tiers	selection_note
1	484	IL21	IL21R:IL2RG receptor complex	28	17	23	26	0	28	2	ligand_receptor_entry_only:2;ligand_receptor_tf_annotation_missing_intracellular_and_output:3;ligand_receptor_tf_output_annotation_missing_intracellular:3;ligand_receptor_tf_target_missing_intracellular:20	Workflow prioritization only; mSCS determines route plausibility and confidence.
2	406	TGFA/TGF-alpha	EGFR receptor	28	7	16	0	24	4	28	ligand_receptor_entry_only:2;ligand_receptor_intracellular_claim_unresolved:10;ligand_receptor_intracellular_output_missing_tf:14;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
3	352	SRPX2/sushi-repeat-containing protein X-linked 2	C1Q/complement component 1q	24	12	12	0	20	4	24	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
4	340	CYBC1/EROS	P2RX7/P2X7 ATP-gated receptor	23	13	10	0	22	1	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:12;ligand_receptor_intracellular_output_missing_tf:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
5	340	HSP90AA1/HSP90alpha	P2RX7/P2X7 ATP-gated receptor	23	13	10	0	22	1	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:12;ligand_receptor_intracellular_output_missing_tf:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
6	338	NaCalr/Necator americanus calreticulin-like protein	C1Q/complement component 1q	23	12	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
7	338	OvCALR/Opisthorchis viverrini calreticulin	C1Q/complement component 1q	23	12	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
8	324	BmCRT/Brugia malayi calreticulin	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
9	324	CAA/Schistosoma mansoni circulating anodic antigen	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
10	324	Chondroadherin/CHAD	C1q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
11	324	EmCRT/Echinococcus multilocularis calreticulin	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
12	324	Fibromodulin/FMOD	C1q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
13	324	HcGAPDH/Haemonchus contortus glyceraldehyde-3-phosphate dehydrogenase	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
