review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	review_notes
M20A-CELLCHAT-REMAINING-0193	anxa1 fpr2_lxa4	Anxa1 FPR2_LXA4	non_ligand_receptor	NA	not applicable	invalid receptor/ligand notation	FPR2 is the receptor and lipoxin A4 is a distinct ligand; the submitted FPR2_LXA4 token conflates a receptor with a ligand and is not an exact ligand/receptor pair.	ANXA1-FPR2 and LXA4-FPR2 are separate relationships; the composite token cannot be promoted.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0234	cadm3 nectin3	Cadm3 Nectin3	no_evidence	NA	human/mouse literature reviewed	no qualifying exact-pair evidence	No qualifying direct CADM3–nectin-3 binding or functional assay was located; reported nectin-3 edges involve other immunoglobulin-family partners.	CADM1–nectin-3 and nectin-1/2–nectin-3 evidence does not transfer to CADM3.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0236	calca calcr_ramp2	Calca CALCR_RAMP2	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0237	calca calcr_ramp3	Calca CALCR_RAMP3	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0239	calca calcrl_ramp2	Calca CALCRL_RAMP2	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0240	calca calcrl_ramp3	Calca CALCRL_RAMP3	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0242	calcb calcr_ramp2	Calcb CALCR_RAMP2	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0243	calcb calcr_ramp3	Calcb CALCR_RAMP3	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0245	calcb calcrl_ramp2	Calcb CALCRL_RAMP2	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
M20A-CELLCHAT-REMAINING-0246	calcb calcrl_ramp3	Calcb CALCRL_RAMP3	promote_low	PMID:29059473;PMID:24199627;PMID:32219220;https://www.guidetopharmacology.org/GRAC/PharmacologySearchForward?accTypes=hgncId&numInts=all&order=rank&searchAcc=9844&species=Human&submitAcc=Search+pharmacology+data	human and rat recombinant/heterologous systems	direct receptor pharmacology with complex dependence	Mature CGRP-family peptide was tested on recombinant CTR- or CLR-containing RAMP2/RAMP3 complexes with cAMP readouts; binding/activation and receptor-complex pharmacology are reported, including AMY2/AMY3 activity.	CALCA/CALCB genes encode precursors, whereas assays use processed mature peptide; these complexes are lower-preference/context-dependent than canonical CLR-RAMP1 and species/isoform differences remain.	Re-searched from scratch in PubMed, Europe PMC, and authoritative primary/pharmacology sources; no expression-only, pathway-only, or search-snippet evidence used.
