ordinal	review_id	pair_key	verdict	source_locators	species_support	assay_or_result	limitations
108	M20A-CELLCHAT-REMAINING-1339	klk14 f2rl1	medium	https://pubmed.ncbi.nlm.nih.gov/21907696/	human;human HT29 cells	KLK14 induces PAR2/F2RL1-dependent calcium, ERK, and proliferation responses; PAR2 blocking antibody reduces the response.	Proteolytic activation is receptor-dependent function rather than equilibrium binding.
109	M20A-CELLCHAT-REMAINING-1343	klk4 f2rl1	medium	https://doi.org/10.1074/jbc.M709493200	human;human prostate cancer cells	The JBC study shows KLK4 initiates intracellular signaling through PAR2/F2RL1, with co-expression and receptor-dependent signaling assays.	The active ligand is proteolytically generated KLK4 and the mechanism is cleavage/activation, not conventional reversible binding.
110	M20A-CELLCHAT-REMAINING-1344	klk5 f2rl1	medium	https://pubmed.ncbi.nlm.nih.gov/40753921/	human;recombinant PAR2 reporter system	Mature KLK5 activates recombinant PAR2/F2RL1 in receptor reporter assays with direct protease activity measurements.	Activity depends on mature enzyme preparation and receptor cleavage-site context.
111	M20A-CELLCHAT-REMAINING-1345	klk6 f2r	medium	https://pubmed.ncbi.nlm.nih.gov/18778305/	human;rat;neurons and astrocytes	Kallikrein-6 produces PAR1/F2R-dependent calcium and signaling responses in neural cells, with pharmacologic and receptor-dependent controls.	The study emphasizes receptor-dependent signaling rather than direct binding and includes cell-type-specific PAR responses.
112	M20A-CELLCHAT-REMAINING-1346	klk6 f2rl1	medium	https://pubmed.ncbi.nlm.nih.gov/18778305/	human;rat;neurons and astrocytes	The cited study reports kallikrein-6 signaling through PAR2/F2RL1 in astrocyte assays alongside PAR1-dependent effects.	Cell-type and assay differences separate PAR1 and PAR2 responses; no stable binding measurement is required for this receptor-dependent verdict.
113	M20A-CELLCHAT-REMAINING-1347	klk7 f2rl1	medium	https://pubmed.ncbi.nlm.nih.gov/40753921/	human;recombinant PAR2 reporter system	Mature KLK7 activates recombinant PAR2/F2RL1 in reporter assays with direct protease activity measurements.	Activity depends on mature enzyme preparation and receptor cleavage-site context.
114	M20A-CELLCHAT-REMAINING-1349	l1cam l1cam	high	https://pubmed.ncbi.nlm.nih.gov/10934197/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3406286/	human;mouse;recombinant and neural cell systems	Primary L1CAM studies demonstrate homophilic L1CAM binding and cell adhesion, with neural functional consequences.	L1CAM can also engage heterophilic partners; this verdict is specifically for the homophilic interaction.
115	M20A-CELLCHAT-REMAINING-1355	lgals9 cd44	medium	https://pubmed.ncbi.nlm.nih.gov/25065622/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4219323/	human;mouse;regulatory T cells	Galectin-9/CD44 interaction is tested in regulatory T-cell systems and linked to receptor-associated stability and suppressive function.	Glycosylation and CD44 isoform context can affect the interaction.
116	M20A-CELLCHAT-REMAINING-1356	lgals9 havcr2	manual_review	https://pubmed.ncbi.nlm.nih.gov/22186414/;https://pubmed.ncbi.nlm.nih.gov/33547304/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7864927/	human;mouse;recombinant and immune-cell systems	Binding assays with TIM-3/HAVCR2 extracellular domains and immune-cell functional studies support Galectin-9 engagement of TIM-3 and downstream apoptosis or inhibitory signaling.	Reported activity depends on receptor glycosylation and species/construct; later literature disputes some TIM-3 receptor interpretations.
117	M20A-CELLCHAT-REMAINING-1358	lgals9 p4hb	medium	https://pubmed.ncbi.nlm.nih.gov/21278242/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3127870/	human;mouse;cell-surface protein systems	Affinity chromatography and protein-disulfide-isomerase identification show Galectin-9 binding to cell-surface P4HB and regulation of the redox environment.	P4HB is a multifunctional surface-associated protein rather than a canonical signaling receptor in all contexts.
118	M20A-CELLCHAT-REMAINING-1359	lgals9 ptprc	medium	https://pubmed.ncbi.nlm.nih.gov/30120234/	human;mouse;B-cell systems	Galectin-9 affinity experiments identify CD45/PTPRC association and B-cell signaling studies connect the interaction to modulation of the BCR signal.	CD45 isoform and cell-surface glycosylation context are not uniform across assays.
119	M20A-CELLCHAT-REMAINING-1360	lif lifr_il6st	high	https://pubmed.ncbi.nlm.nih.gov/8662595/;https://pubmed.ncbi.nlm.nih.gov/36930708/	human;mouse;recombinant receptor systems	Biochemical and structural studies show LIF binding LIFR and recruitment of gp130/IL6ST to form the signaling receptor complex.	Species and receptor stoichiometry vary across structural and cellular assays.
120	M20A-CELLCHAT-REMAINING-1367	lrfn5 ptprd	medium	https://pubmed.ncbi.nlm.nih.gov/27225731/;https://doi.org/10.1038/srep26676	human;mouse;rat;neuronal cultures	SALM5/LRFN5 binds LAR-family receptor tyrosine phosphatases including PTPRD in splice-dependent interaction assays and regulates synapse development/function.	Binding and function depend on extracellular splice inserts and neuronal context.
121	M20A-CELLCHAT-REMAINING-1368	lrfn5 ptprf	medium	https://pubmed.ncbi.nlm.nih.gov/27225731/;https://doi.org/10.1038/srep26676	human;mouse;rat;neuronal cultures	SALM5/LRFN5 interaction studies include PTPRF/LAR and connect the complex to presynaptic differentiation and synaptic function.	Binding depends on receptor splice isoform and extracellular domain composition.
122	M20A-CELLCHAT-REMAINING-1369	lrfn5 ptprs	medium	https://pubmed.ncbi.nlm.nih.gov/27225731/;https://doi.org/10.1038/srep26676	human;mouse;rat;neuronal cultures	SALM5/LRFN5 binds PTPRS in splice-dependent interaction assays and affects synapse development and AMPA-related function.	Binding depends on receptor splice insert and neuronal assay context; the packet DOI itself is mismatched.
123	M20A-CELLCHAT-REMAINING-1375	lta1b2 ltbr	high	https://pubmed.ncbi.nlm.nih.gov/7594541/;https://pubmed.ncbi.nlm.nih.gov/8171323/	mouse;recombinant proteins;lymphoid cells	Primary studies show membrane lymphotoxin-alpha1beta2 binding LTbetaR/LTBR using receptor-Fc and cellular assays, with receptor signaling consequences.	The ligand is a membrane-anchored heterotrimer and receptor binding is sensitive to oligomeric presentation.
124	M20A-CELLCHAT-REMAINING-1400	madcam1 itga4_itgb7	medium	https://pubmed.ncbi.nlm.nih.gov/7687523/	mouse;lymphocytes;recombinant MAdCAM-1	Alpha4beta7 integrin mediates lymphocyte binding to purified or cell-expressed MAdCAM-1, with blocking antibodies and divalent-cation activation controls.	The principal evidence is adhesion/cell binding rather than an isolated equilibrium affinity measurement.
125	M20A-CELLCHAT-REMAINING-1404	mif cd74_cd44	medium	https://pubmed.ncbi.nlm.nih.gov/17045821/	human;mouse;recombinant and cellular systems	MIF binds CD74, and CD44 is required for MIF-induced ERK activation in transfected and cellular assays, supporting the CD74/CD44 receptor complex.	CD74 is the binding chain and CD44 is a signaling co-receptor; the composite is not a single covalent receptor.
126	M20A-CELLCHAT-REMAINING-1405	mpz mpz	high	https://pubmed.ncbi.nlm.nih.gov/7686552/;https://pubmed.ncbi.nlm.nih.gov/17915947/;https://pmc.ncbi.nlm.nih.gov/articles/PMC2119647/	human;mouse;rat;recombinant myelin protein	P0/MPZ biochemical and structural studies demonstrate homophilic adhesion/oligomerization and define interfaces affected by glycosylation and mutation.	Assays include oligomerization and myelin adhesion contexts rather than a conventional soluble receptor assay.
127	M20A-CELLCHAT-REMAINING-1408	mstn tgfbr1_acvr2b	high	https://pubmed.ncbi.nlm.nih.gov/14517293/;https://pmc.ncbi.nlm.nih.gov/articles/PMC230332/	human;mouse;recombinant receptor and myoblast systems	Radioligand binding and affinity labeling identify ACVR2B as a myostatin receptor; coexpression with TGFBR1/ALK5 forms the signaling complex and induces Smad2/3 phosphorylation.	The assayed ligand is mature processed myostatin dimer and receptor stoichiometry/latent-complex processing vary by system.
128	M20A-CELLCHAT-REMAINING-1437	nectin1 cd96	high	PMID:30759143; PMCID:PMC6373967	human	Human nectin-1/PVRL1 and CD96 ectodomains were tested by ELISA and SPR, with the CD96 site mapped to the nectin-1 V domain; transfected K562/NK-92 assays provided receptor-dependent function.	The paper directly assays human proteins; mouse CD96-nectin-1 binding is discussed from prior work rather than tested here.
129	M20A-CELLCHAT-REMAINING-1438	nectin1 nectin3	high	PMID:12011057	human	Purified nectin ectodomains were compared by kinetic binding assays and cell assays; nectin-1/nectin-3 is an exact V-to-V heterophilic adhesion interaction with measured affinity.	Affinity depends on nectin isoform presentation and cis/trans context.
130	M20A-CELLCHAT-REMAINING-1439	nectin1 nectin4	medium	PMID:12011057	human	Purified nectin ectodomains were compared by kinetic binding assays and cell assays; nectin-1/nectin-4 is an exact V-to-V heterophilic adhesion interaction with measured affinity.	Affinity is substantially weaker than nectin-1/nectin-3 and depends on ectodomain presentation.
131	M20A-CELLCHAT-REMAINING-1442	nectin3 nectin2	high	PMID:10744716; PMID:12011057	human	The cited nectin primary study explicitly reports nectin-3 binding nectin-2, and the ectodomain/cell adhesion work supports a direct heterophilic trans interaction.	Nectin/PVR nomenclature and affinity depend on species and ectodomain orientation.
132	M20A-CELLCHAT-REMAINING-1443	nectin3 pvr	medium	PMID:10744716; PMID:12011057	human	The primary nectin study explicitly reports nectin-3 binding PVR/CD155 in the heterophilic nectin trans-interaction network.	The cited work is primarily biochemical/adhesion evidence and does not establish immune-receptor signaling for this pair.
133	M20A-CELLCHAT-REMAINING-1445	negr1 negr1	high	PMID:25057311; PMCID:PMC8997467	human;mouse	NEGR1 homophilic binding was tested with soluble NEGR1-Fc on NEGR1-expressing cells, alongside cell aggregation and glycosylation-mutant assays.	The strongest direct binding assay uses human NEGR1; GPI anchoring and glycosylation affect surface delivery and interaction strength.
134	M20A-CELLCHAT-REMAINING-1451	nrg1 erbb2_erbb3	high	PMID:16978839; PMID:18478032	human	NRG1 stimulation was tested in cells expressing ERBB2/ERBB3; receptor heterodimerization and reciprocal receptor phosphorylation were directly measured, with ERBB3 identified as the ligand-binding partner and ERBB2 as the kinase partner.	NRG1 isoform and ERBB splice-form context can change potency and dimer behavior.
135	M20A-CELLCHAT-REMAINING-1452	nrg1 erbb2_erbb4	high	PMID:16978839; PMID:18478032	human	NRG1 stimulation was tested in cells expressing ERBB2/ERBB4; heterodimerization and receptor phosphorylation were directly measured, including ERBB2 trans-phosphorylation by ERBB4.	NRG1 isoform and ERBB splice-form context can change potency and dimer behavior.
136	M20A-CELLCHAT-REMAINING-1453	nrg1 erbb3	medium	PMID:16978839; PMID:18478032	human	The primary study identifies NRG1 as a ligand of ERBB3 and measures NRG1-dependent signaling in ERBB2/ERBB3 cells, including receptor phosphorylation.	The assayed signaling receptor is in an ERBB2/ERBB3 heterodimer rather than an isolated ERBB3 chain.
137	M20A-CELLCHAT-REMAINING-1454	nrg1 erbb4	medium	PMID:16978839; PMID:18478032	human	The primary study identifies NRG1 as a ligand of ERBB4 and measures NRG1-dependent signaling in ERBB2/ERBB4 cells, including receptor phosphorylation.	ERBB4 isoform and kinase-status context affects the measured phosphorylation pattern.
138	M20A-CELLCHAT-REMAINING-1455	nrg1 itga6_itgb4	medium	PMID:20682778	human	NRG1 EGF-like domain binding to integrin alpha6beta4 was tested directly by cell adhesion/ELISA-type assays and linked by mutagenesis to ternary integrin-NRG1-ERBB3 signaling.	This is an auxiliary integrin/co-receptor interaction, not a replacement for canonical ERBB ligand binding.
139	M20A-CELLCHAT-REMAINING-1456	nrg1 itgav_itgb3	medium	PMID:20682778	human	NRG1 EGF-like domain binding to integrin alphavbeta3 was tested by recombinant binding, cell adhesion, and SPR; binding-site mutation reduced NRG1-induced ERBB3 phosphorylation and signaling.	This is an auxiliary integrin/co-receptor interaction, not a replacement for canonical ERBB ligand binding.
140	M20A-CELLCHAT-REMAINING-1457	nrg2 erbb3	medium	PMID:9168115; DOI:10.1038/387512a0	human;mouse	The primary Nature study states that the NRG2 EGF-like domain binds ErbB3 and changes ErbB receptor tyrosine-phosphorylation profiles in cell assays.	NRG2 alpha/beta isoforms can differ in potency and the submitted symbol does not specify an isoform.
141	M20A-CELLCHAT-REMAINING-1458	nrg2 erbb4	high	PMID:9168115; PMID:17945187; PMCID:PMC2094732	human;mouse	NRG2 EGF-like domain binding to ErbB4 is reported in the primary Nature study; NRG2beta ErbB4 phosphorylation and IL-3-independent functional coupling are directly tested in the follow-up study.	NRG2 alpha and beta have different ErbB4 affinity and efficacy.
142	M20A-CELLCHAT-REMAINING-1464	nrxn1 clstn3	high	PMID:25352602; PMID:32434929; PMCID:PMC4263861; PMCID:PMC7335786	mouse	Calsyntenin-3 directly binds Nrxn1 alpha and beta ectodomains in solid-phase, SPR, pulldown, and cell-surface assays; splice-site-4-positive Nrxn1 variants also rescue Clstn3 synaptogenic function.	Binding and synaptogenic activity depend on Nrxn isoform and splice site 4; the 2020 paper notes prior methodological disagreement.
143	M20A-CELLCHAT-REMAINING-1467	nrxn1 lrrtm2	high	PMID:20064388; PMID:30262834	human;mouse	The cited primary studies directly test LRRTM2 binding to neurexin-1, including affinity/cell adhesion work and a crystal structure of the Nrxn1beta-LRRTM2 complex.	Binding requires neurexin splice-site-4-negative variants in the characterized LRRTM2 system and depends on isoform presentation.
144	M20A-CELLCHAT-REMAINING-1473	nrxn2 clstn3	medium	PMID:25352602; PMID:32434929; PMCID:PMC4263861; PMCID:PMC7335786	mouse	The 2020 primary study directly tests Nrxn2beta with SS4-positive variants in rescue of Clstn3 synaptogenic activity, while direct biochemical binding is shown most explicitly for Nrxn1 alpha/beta.	Exact Nrxn2 evidence is receptor-dependent synaptogenic function rather than the strongest direct ectodomain binding panel.
145	M20A-CELLCHAT-REMAINING-1487	ocln ocln	high	PMID:23923978; PMCID:PMC3924802	human	Human occludin extracellular loop 2 was shown to form homophilic trans and cis associations using mutational and biochemical interaction assays.	The assay addresses occludin oligomerization/adhesion and does not imply exclusivity among tight-junction molecules.
146	M20A-CELLCHAT-REMAINING-1493	pcdha12 pcdha12	medium	PMID:35253643; PMID:28743640	mouse	The 2022 primary study includes alpha12 ectodomain in the direct SPR/AUC trans-interaction panel and reports strictly homophilic cPcdh binding.	Evidence is recombinant ectodomain trans homodimerization rather than a cell-specific functional assay.
147	M20A-CELLCHAT-REMAINING-1496	pcdha4 pcdha4	medium	PMID:35253643; PMID:28743640	mouse	The 2022 primary study includes alpha4 ectodomain in the direct SPR/AUC trans-interaction panel and reports strictly homophilic cPcdh binding.	Evidence is recombinant ectodomain trans homodimerization rather than a cell-specific functional assay.
148	M20A-CELLCHAT-REMAINING-1501	pcdha7 pcdha7	medium	PMID:35253643; PMID:28743640	mouse	The 2022 primary study uses alpha7 as a coated trans-interaction surface and includes it in the direct SPR/AUC homophilic panel, with interface-mutant validation.	Evidence is recombinant ectodomain binding, with cell aggregation used for selected comparator mutants.
149	M20A-CELLCHAT-REMAINING-1505	pcdhac2 pcdhac2	medium	PMID:35253643; PMID:28743640	mouse	The 2022 primary study includes alphaC2 in the C-type SPR panel and reports binding only to its cognate partner, with trans-interface evidence.	Evidence is recombinant ectodomain trans homodimerization rather than a cell-specific functional assay.
150	M20A-CELLCHAT-REMAINING-1539	pcdhb6 pcdhb6	medium	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	SPR of mouse Pcdh-beta6 ectodomain showed homophilic EC1-4 trans binding; cPcdh studies support cell-surface adhesion mechanism.	Construct-level ectodomain evidence is mouse and does not establish soluble signaling or human/mouse cross-species interaction.
151	M20A-CELLCHAT-REMAINING-1544	pcdhb8 pcdhb8	medium	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	SPR of mouse Pcdh-beta8 ectodomain showed strict homophilic EC1-4 trans binding; the interaction is a direct adhesion assay.	Construct-level ectodomain evidence is mouse and does not establish soluble signaling or human/mouse cross-species interaction.
152	M20A-CELLCHAT-REMAINING-1549	pcdhga12 pcdhga12	medium	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	SPR directly included mouse Pcdh-alpha12 and showed strict homophilic trans binding; clustered-protocadherin cell-adhesion studies support the mechanism.	Mouse ectodomain construct evidence; no soluble signaling or human/mouse cross-species interaction was shown.
153	M20A-CELLCHAT-REMAINING-1552	pcdhga4 pcdhga4	medium	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	SPR directly included mouse Pcdh-alpha4 and showed strict homophilic trans binding; cell aggregation studies also use alpha4 constructs with a carrier for surface delivery.	Alpha4 surface display can depend on carrier/co-expression; evidence is mouse construct-level adhesion, not soluble signaling.
154	M20A-CELLCHAT-REMAINING-1555	pcdhga7 pcdhga7	medium	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	SPR directly included mouse Pcdh-alpha7 and showed strict homophilic trans binding; alpha7 homophilic cell aggregation was also observed when surface delivery was supported.	Alpha7 surface display can depend on carrier/co-expression; no soluble signaling or human/mouse cross-species binding was shown.
155	M20A-CELLCHAT-REMAINING-1556	pcdhga8 pcdhga8	medium	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	PMC4183217 directly tested same-isoform alpha8 cell aggregation; the cPcdh biophysical literature supports strict homophilic trans recognition.	Cell-surface delivery of alternate alpha isoforms can require a carrier; evidence is mouse construct-level adhesion, not signaling.
156	M20A-CELLCHAT-REMAINING-1557	pcdhga9 pcdhga9	medium	https://pubmed.ncbi.nlm.nih.gov/35253643/	mouse; human orthology not directly assayed	SPR directly included mouse Pcdh-gammaA9 and showed strict homophilic EC1-4 trans binding.	Ectodomain construct evidence is mouse and does not establish soluble signaling or human/mouse cross-species interaction.
