review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes	manual_reason
M20A-CELLCHAT-REMAINING-0193	anxa1 fpr2_lxa4	Anxa1 FPR2_LXA4	manual_review	https://pubmed.ncbi.nlm.nih.gov/16278303/;https://pubmed.ncbi.nlm.nih.gov/21254404/;https://pubmed.ncbi.nlm.nih.gov/36834844/	human;mouse;recombinant FPR2 systems	direct ANXA1-FPR2 binding;alternate FPR2 agonist context	The cited studies support ANXA1-FPR2, while LXA4 is an alternate FPR2 ligand rather than a receptor chain in the submitted notation.	The FPR2_LXA4 composite is structurally unresolved and may conflate receptor identity with a second ligand.	Manual review needed to determine whether this is intended as a ligand pair or an invalid composite. Candidate citation audit verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0234	cadm3 nectin3	Cadm3 Nectin3	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=cadm3%20nectin3;https://europepmc.org/search?query=cadm3%20nectin3;https://pubmed.ncbi.nlm.nih.gov/?term=cell+adhesion+cadm3%20nectin3	source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Cadm3 Nectin3, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=cadm3 nectin3;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pubmed.ncbi.nlm.nih.gov/?term=cell+adhesion+cadm3%20nectin3;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0236	calca calcr_ramp2	Calca CALCR_RAMP2	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calca%20calcr%20ramp2;https://europepmc.org/search?query=calca%20calcr%20ramp2;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calca CALCR_RAMP2, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calca calcr ramp2;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0237	calca calcr_ramp3	Calca CALCR_RAMP3	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calca%20calcr%20ramp3;https://europepmc.org/search?query=calca%20calcr%20ramp3;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calca CALCR_RAMP3, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calca calcr ramp3;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0239	calca calcrl_ramp2	Calca CALCRL_RAMP2	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calca%20calcrl%20ramp2;https://europepmc.org/search?query=calca%20calcrl%20ramp2;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calca CALCRL_RAMP2, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calca calcrl ramp2;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0240	calca calcrl_ramp3	Calca CALCRL_RAMP3	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calca%20calcrl%20ramp3;https://europepmc.org/search?query=calca%20calcrl%20ramp3;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calca CALCRL_RAMP3, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calca calcrl ramp3;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0242	calcb calcr_ramp2	Calcb CALCR_RAMP2	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calcb%20calcr%20ramp2;https://europepmc.org/search?query=calcb%20calcr%20ramp2;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calcb CALCR_RAMP2, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calcb calcr ramp2;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0243	calcb calcr_ramp3	Calcb CALCR_RAMP3	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calcb%20calcr%20ramp3;https://europepmc.org/search?query=calcb%20calcr%20ramp3;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calcb CALCR_RAMP3, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calcb calcr ramp3;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0245	calcb calcrl_ramp2	Calcb CALCRL_RAMP2	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calcb%20calcrl%20ramp2;https://europepmc.org/search?query=calcb%20calcrl%20ramp2;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calcb CALCRL_RAMP2, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calcb calcrl ramp2;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0246	calcb calcrl_ramp3	Calcb CALCRL_RAMP3	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=calcb%20calcrl%20ramp3;https://europepmc.org/search?query=calcb%20calcrl%20ramp3;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human; mouse; source-dependent	related exact-pair, complex, subunit, or indirect primary evidence; assay/construct unresolved	Expanded PubMed, Europe PMC, and targeted web searches found plausible related or pair-level leads for Calcb CALCRL_RAMP3, but source-level assay, receptor-complex composition, processed ligand form, or species context remains unresolved.	The submitted notation may represent a composite receptor or indirect/adhesion relationship; exact binding versus activation, mature ligand form, species/isoform, and receptor-complex scope require manual review.	aliases=calcb calcrl ramp3;processed_forms=precursor, mature, cleaved, fragment, peptide/protein or glycoform terms where applicable;receptor_context=individual subunits, heterodimers, holoreceptors, co-receptors, scavenger/decoy receptors, and composite notation screened;assays=primary binding, adhesion, receptor reconstitution, activation, receptor-dependent function, structural/biophysical, and species-context studies screened;citation_trails=backward/forward trails from primary papers and reviews screened;PubMed=queried;EuropePMC=queried;targeted_web=https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/;negative=expression, pathway, computational, review, database, family-only, processed-form-only, and noncognate hits were not transferred unless the exact submitted pair was demonstrated Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
