review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
M20A-CELLCHAT-REMAINING-0001	12oxoltb4-ptgr1 ltb4r1	12oxoLTB4-PTGR1 Ltb4r1	low_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=12oxoltb4-ptgr1+ltb4r1;https://europepmc.org/search?query=12oxoltb4-ptgr1+ltb4r1;https://pubmed.ncbi.nlm.nih.gov/8394361/;https://europepmc.org/article/MED/8394361;https://pubmed.ncbi.nlm.nih.gov/7803484/;https://europepmc.org/article/MED/7803484	human;porcine;recombinant BLT1 systems	weak_direct_binding_and_function	12-oxo-LTB4 is a processed LTB4 metabolite that competes at BLT1 and produces weak LTB4-receptor-dependent leukocyte responses.	Evidence is much weaker than LTB4, with receptor-subtype and stereochemical assay details incompletely resolved.	aliases=12oxoltb4-ptgr1 ltb4r1;receptor_aliases=;processed_forms=searched mature ligand, precursor, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0002	12oxoltb4-ptgr1 ltb4r2	12oxoLTB4-PTGR1 Ltb4r2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=12oxoltb4-ptgr1+ltb4r2;https://europepmc.org/search?query=12oxoltb4-ptgr1+ltb4r2;https://pubmed.ncbi.nlm.nih.gov/8394361/;https://europepmc.org/article/MED/8394361;https://pubmed.ncbi.nlm.nih.gov/7803484/;https://europepmc.org/article/MED/7803484	human;porcine	family_or_metabolite_evidence_only	12-oxo-LTB4 shows weak BLT-family activity in leukocyte assays, but expanded searches did not resolve qualifying direct BLT2 evidence.	The reported response is low-potency and generally BLT-family-level; no qualifying exact BLT2 binding/activation study was located.	aliases=12oxoltb4-ptgr1 ltb4r2;receptor_aliases=;processed_forms=searched mature ligand, precursor, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted. Expanded CellChat search verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0003	22hc-cyp11a1 nr1h4	22HC-CYP11A1 Nr1h4	low_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=22hc-cyp11a1+nr1h4;https://europepmc.org/search?query=22hc-cyp11a1+nr1h4;https://pubmed.ncbi.nlm.nih.gov/16371446/;https://europepmc.org/article/MED/16371446	human;mouse;recombinant FXR systems	direct_function_with_processed_steroid	22(R)-hydroxycholesterol, a stereochemically defined processed oxysterol, directly binds and activates FXR/NR1H4 in reporter, mutagenesis and structural-model-guided assays.	The submitted 22HC label does not specify R/S stereochemistry and includes a biosynthetic-enzyme component; exact stereoisomer and complex interpretation require manual confirmation.	aliases=22hc-cyp11a1 nr1h4;receptor_aliases=;processed_forms=searched mature ligand, precursor, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0004	22hc-cyp3a4 nr1h4	22HC-CYP3A4 Nr1h4	low_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=22hc-cyp3a4+nr1h4;https://europepmc.org/search?query=22hc-cyp3a4+nr1h4;https://pubmed.ncbi.nlm.nih.gov/16371446/;https://europepmc.org/article/MED/16371446	human;mouse;recombinant FXR systems	direct_function_with_processed_steroid	22(R)-hydroxycholesterol, a stereochemically defined processed oxysterol, directly binds and activates FXR/NR1H4 in reporter, mutagenesis and structural-model-guided assays.	The submitted 22HC label does not specify R/S stereochemistry and includes a biosynthetic-enzyme component; exact stereoisomer and complex interpretation require manual confirmation.	aliases=22hc-cyp3a4 nr1h4;receptor_aliases=;processed_forms=searched mature ligand, precursor, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0005	2ag-dagla cnr1	2AG-DAGLA Cnr1	no_evidence	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human CB2 recombinant systems;human neutrophils and HEK293/HL60	no_exact_CNR1_support	PMID 10779390 tested 2-AG binding and GTPgammaS/cAMP function at human CB2; PMID 21467997 tested 2-AG-driven CB2 responses in human neutrophils and cell models.	Neither cited paper tests CB1/CNR1; DAGLA is a 2-AG biosynthetic enzyme, not the receptor-binding ligand.	No exact submitted pair: cited evidence is CB2-only and mature 2-AG, not DAGLA-CNR1. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0006	2ag-dagla cnr2	2AG-DAGLA Cnr2	low_evidence	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human;recombinant Sf9-hCB2 and CHO-hCB2;human neutrophils, HEK293 and HL60	direct_binding_and_receptor_function_contextual	PMID 10779390 used radioligand binding and GTPgammaS/cAMP assays and showed 2-AG is a full agonist at human CB2; PMID 21467997 showed CB2-dependent 2-AG responses in human neutrophils and cell models.	DAGLA is a biosynthetic source gene and not the mature ligand; the primary evidence is for 2-AG-CB2, not a DAGLA protein-receptor interaction.	Real mature-ligand/receptor evidence, but retain low because the submitted ligand complex is contextual biosynthesis rather than the tested ligand. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0007	2ag-dagla gpr55	2AG-DAGLA Gpr55	low_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=2ag-dagla+gpr55;https://europepmc.org/search?query=2ag-dagla+gpr55;https://pubmed.ncbi.nlm.nih.gov/10779390/;https://europepmc.org/article/MED/10779390;https://pubmed.ncbi.nlm.nih.gov/21467997/;https://europepmc.org/article/MED/21467997	human;mouse;cell-based systems	controversial_direct_function	2-AG has been reported to contribute to GPR55-dependent responses, including pharmacological antagonism of 2-AG effects, but GPR55 assignment remains debated and is not as definitive as CB1/CB2.	Evidence is functional and pharmacologically confounded by CB2/GPR55 crosstalk; no consensus high-affinity direct 2-AG-GPR55 binding study was located.	aliases=2ag-dagla gpr55;receptor_aliases=;processed_forms=searched mature ligand, precursor, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0008	2ag-daglb cnr1	2AG-DAGLB Cnr1	no_evidence	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human CB2 recombinant systems;human neutrophils and HEK293/HL60	no_exact_CNR1_support	PMID 10779390 tested 2-AG binding and GTPgammaS/cAMP function at human CB2; PMID 21467997 tested 2-AG-driven CB2 responses in human neutrophils and cell models.	Neither cited paper tests CB1/CNR1; DAGLB is a 2-AG biosynthetic enzyme, not the receptor-binding ligand.	No exact submitted pair: cited evidence is CB2-only and mature 2-AG, not DAGLB-CNR1. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0009	2ag-daglb cnr2	2AG-DAGLB Cnr2	low_evidence	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human;recombinant Sf9-hCB2 and CHO-hCB2;human neutrophils, HEK293 and HL60	direct_binding_and_receptor_function_contextual	PMID 10779390 used radioligand binding and GTPgammaS/cAMP assays and showed 2-AG is a full agonist at human CB2; PMID 21467997 showed CB2-dependent 2-AG responses in human neutrophils and cell models.	DAGLB is a biosynthetic source gene and not the mature ligand; the primary evidence is for 2-AG-CB2, not a DAGLB protein-receptor interaction.	Real mature-ligand/receptor evidence, but retain low because the submitted ligand complex is contextual biosynthesis rather than the tested ligand. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0010	2ag-daglb gpr55	2AG-DAGLB Gpr55	low_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=2ag-daglb+gpr55;https://europepmc.org/search?query=2ag-daglb+gpr55;https://pubmed.ncbi.nlm.nih.gov/10779390/;https://europepmc.org/article/MED/10779390;https://pubmed.ncbi.nlm.nih.gov/21467997/;https://europepmc.org/article/MED/21467997	human;mouse;cell-based systems	controversial_direct_function	2-AG has been reported to contribute to GPR55-dependent responses, including pharmacological antagonism of 2-AG effects, but GPR55 assignment remains debated and is not as definitive as CB1/CB2.	Evidence is functional and pharmacologically confounded by CB2/GPR55 crosstalk; no consensus high-affinity direct 2-AG-GPR55 binding study was located.	aliases=2ag-daglb gpr55;receptor_aliases=;processed_forms=searched mature ligand, precursor, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted. Expanded CellChat search verdict=hold_low.
