ordinal	review_id	pair_key	verdict	source_locators	species_support	assay_or_result	limitations
1	M20A-CELLCHAT-REMAINING-0138	activin ab acvr1b_acvr2a	high	https://pubmed.ncbi.nlm.nih.gov/8622651/;https://pubmed.ncbi.nlm.nih.gov/15196700/;https://pubmed.ncbi.nlm.nih.gov/17040568/;https://pubmed.ncbi.nlm.nih.gov/18951876/	mouse MIN6; rat receptor constructs; no direct human cell assay identified	PMID 15196700 explicitly tests Activin AB and identifies the ActRIIA/ACVR2A plus ALK4/ACVR1B combination in Activin-dependent insulin secretion from mouse MIN6 beta cells; PMID 8622651 independently shows activin binding to type-II receptor and recruitment/activation of ACVR1B.	The exact AB result is receptor-combination signaling rather than isolated pairwise affinity; the paper uses mouse cells and receptor constructs, so the submitted human species claim is not directly supported. Type-I/type-II assembly is context dependent.
2	M20A-CELLCHAT-REMAINING-0140	activin ab acvr1c_acvr2a	high	https://pubmed.ncbi.nlm.nih.gov/8622651/;https://pubmed.ncbi.nlm.nih.gov/15196700/;https://pubmed.ncbi.nlm.nih.gov/17040568/;https://pubmed.ncbi.nlm.nih.gov/18951876/	mouse MIN6; rat ALK7/ActRIIA constructs; no direct human cell assay identified	PMID 15196700 explicitly identifies Activin AB as a ligand for ALK7/ACVR1C and shows the ActRIIA/ACVR2A plus ALK7/ACVR1C combination mediating Activin-dependent insulin secretion in mouse MIN6 beta cells; PMID 18951876 independently reports Activin AB-dependent ALK7 signaling.	The evidence is receptor-dependent function and signaling/reconstitution, not isolated AB-to-chain affinity; type-II receptor assembly is context dependent and ACVR2A is the chain explicitly tested in the exact AB/ALK7 study.
3	M20A-CELLCHAT-REMAINING-0146	adm calcrl_ramp2	high	https://pubmed.ncbi.nlm.nih.gov/27940069/;https://pubmed.ncbi.nlm.nih.gov/24199627/;https://pubmed.ncbi.nlm.nih.gov/22142144/;https://pubmed.ncbi.nlm.nih.gov/12196109/	human recombinant CALCRL/RAMP2; mouse Calcrl/Ramp genetic systems	PMID 24199627 directly tests adrenomedullin binding and cAMP responses with human CALCRL/RAMP2 constructs and mutagenesis; PMID 22142144 tests human CALCRL/RAMP2 receptor activation; PMID 27940069 tests adrenomedullin responses in mouse Calcrl/Ramp genetic systems.	Molecular evidence is exact for the CALCRL/RAMP2 complex, while mouse knockout physiology provides contextual receptor dependence rather than a clean chain-specific affinity measurement. Relative RAMP2/RAMP3 weighting is species and context dependent.
4	M20A-CELLCHAT-REMAINING-0147	adm calcrl_ramp3	high	https://pubmed.ncbi.nlm.nih.gov/27940069/;https://pubmed.ncbi.nlm.nih.gov/24199627/;https://pubmed.ncbi.nlm.nih.gov/22142144/;https://pubmed.ncbi.nlm.nih.gov/12196109/	human recombinant CALCRL/RAMP3; mouse Calcrl/Ramp genetic systems	PMID 24199627 directly tests adrenomedullin binding and cAMP responses with human CALCRL/RAMP3 constructs and mutagenesis; PMID 22142144 tests human CALCRL/RAMP3 receptor activation; PMID 27940069 tests adrenomedullin responses in mouse Calcrl/Ramp genetic systems.	Molecular evidence is exact for the CALCRL/RAMP3 complex, while mouse knockout physiology provides contextual receptor dependence rather than a clean chain-specific affinity measurement. Relative RAMP2/RAMP3 weighting is species and context dependent.
5	M20A-CELLCHAT-REMAINING-0185	amh amhr2_acvr1	high	https://pubmed.ncbi.nlm.nih.gov/20861221/;https://pubmed.ncbi.nlm.nih.gov/32333774/;https://pubmed.ncbi.nlm.nih.gov/34155118/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7286617/	human;mouse;recombinant AMH receptor systems	Processed/mature AMH binds AMHR2; AMHR2 recruits ACVR1-family type-I receptors and activates Smad signaling. ELISA, structural, mutational and cell-luciferase assays support the complex.	The procomplex requires proteolytic processing and receptor-chain composition varies by assay/species.
6	M20A-CELLCHAT-REMAINING-0192	anxa1 fpr2	high	https://pubmed.ncbi.nlm.nih.gov/16278303/;https://pubmed.ncbi.nlm.nih.gov/21254404/;https://pubmed.ncbi.nlm.nih.gov/36834844/	human;mouse;recombinant FPR2 systems	ANXA1 or its active N-terminal peptide engages FPR2/ALX in receptor-dependent anti-inflammatory and signaling assays.	ANXA1 processing and peptide form vary by assay; FPR2 is also activated by other ligands.
7	M20A-CELLCHAT-REMAINING-0195	apela aplnr	medium	https://pubmed.ncbi.nlm.nih.gov/31357423/;https://pubmed.ncbi.nlm.nih.gov/31492821/	human;mouse;zebrafish;recombinant APLNR systems	Mature Apela/ELABELA peptides activate APLNR/APJ in receptor signaling, developmental and physiological assays.	APELA is a precursor gene; mature peptide processing and isoform nomenclature differ across species.
8	M20A-CELLCHAT-REMAINING-0196	apoa1 cubn_amn	manual_review	https://pubmed.ncbi.nlm.nih.gov/10371504/;https://pubmed.ncbi.nlm.nih.gov/15845892/	human;rat;chicken/yolk-sac receptor systems	ApoA-I/HDL binds cubilin with high affinity in SPR and receptor-expressing cell assays; AMN is the cubilin trafficking/complex partner.	The bound species is ApoA-I on HDL, and CUBN is the binding subunit while AMN supports complex trafficking.
9	M20A-CELLCHAT-REMAINING-0197	apoa1 trem2_tyrobp	medium	https://pubmed.ncbi.nlm.nih.gov/26374899/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4646257/;https://pubmed.ncbi.nlm.nih.gov/27477018/	human;mouse;recombinant TREM2 systems	ApoA1 binds TREM2 in protein/dot-blot or array assays and apolipoprotein-TREM2 interactions support TREM2-dependent uptake/phagocytic function.	Binding depends on lipidation/particle presentation and TREM2 signals through the TYROBP/DAP12 adaptor.
10	M20A-CELLCHAT-REMAINING-0198	apoa2 trem2_tyrobp	medium	https://pubmed.ncbi.nlm.nih.gov/27477018/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4646257/	human;mouse;recombinant TREM2 systems	ApoA2 is included among apolipoproteins identified as TREM2 ligands in unbiased binding assays, with cellular uptake/TREM2 dependence examined in the same evidence stream.	Lipoprotein lipidation and presentation affect affinity; the exact ApoA2 preparation and adaptor contribution should be retained as context.
11	M20A-CELLCHAT-REMAINING-0199	apob apobr	high	https://pubmed.ncbi.nlm.nih.gov/10852956/	human;CHO-transfected cells	The cloned macrophage ApoB48 receptor/APOBR binds ApoB48-containing particles and mediates uptake in transfected CHO cells.	The tested ligand is ApoB48/lipoprotein particle rather than free ApoB protein.
12	M20A-CELLCHAT-REMAINING-0200	apob trem2_tyrobp	medium	https://pubmed.ncbi.nlm.nih.gov/26374899/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4646257/;https://pubmed.ncbi.nlm.nih.gov/27477018/	human;mouse;recombinant TREM2 systems	ApoB is among apolipoproteins shown to bind TREM2 in protein/dot-blot and array-based assays, with TREM2-dependent uptake evidence.	Binding depends on lipidation/particle presentation and TREM2 signals through the TYROBP/DAP12 adaptor.
13	M20A-CELLCHAT-REMAINING-0201	apoe trem2_tyrobp	medium	https://pubmed.ncbi.nlm.nih.gov/26374899/;https://pubmed.ncbi.nlm.nih.gov/27477018/;https://pubmed.ncbi.nlm.nih.gov/28320424/	human;mouse;recombinant TREM2 systems	ApoE binds TREM2 with high affinity and supports TREM2-dependent phagocytosis/uptake in biochemical and microglial assays.	ApoE isoform, lipidation and particle context affect binding; TYROBP is the signaling adaptor.
14	M20A-CELLCHAT-REMAINING-0202	app sorl1	high	https://pubmed.ncbi.nlm.nih.gov/16174740/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4319007/	human;mouse;recombinant/neuronal systems	SorLA/SORL1 binds APP695 directly by SPR and in cells; SORL1-dependent trafficking alters APP processing and Aβ production.	APP isoform and SorLA domain composition affect binding; downstream effects are trafficking rather than canonical signaling.
15	M20A-CELLCHAT-REMAINING-0204	areg egfr	medium	https://pubmed.ncbi.nlm.nih.gov/2325643/;https://pubmed.ncbi.nlm.nih.gov/19825997/	human;mouse;epithelial/carcinoma systems	Mature amphiregulin from its transmembrane precursor binds/activates EGFR and induces EGFR-dependent signaling in receptor and cell assays.	AREG is synthesized as a membrane precursor and can act juxtacrine or after shedding.
16	M20A-CELLCHAT-REMAINING-0207	b-endorphin-pomc oprm1	medium	https://pubmed.ncbi.nlm.nih.gov/9689128/;https://pubmed.ncbi.nlm.nih.gov/23348513/	human;zebrafish;recombinant/heterologous systems	Beta-endorphin binds human MOR/OPRM1 with altered affinity in the A118G variant and produces receptor-dependent GIRK activity; additional zebrafish Oprm1 work supports processed opioid context.	POMC is the precursor; mature beta-endorphin is the tested ligand and receptor variant/species affects potency.
