expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3601	M21B-DOWNSTREAM:02302	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03632	FGF3	M21B-E000373	NODE03654	FGFR1b												FGF3-FGFR1b-dependent mitogenic response			FGF3-FGFR1b-mitogenesis	validated_ligand_receptor_edge	primary_functional_output	M21B-E000373; M21B-EVID-000316; PMID:7592624	M21B-DOWNSTREAM-EVID:003668	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3601	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse; engineered receptor systems	BaF3 cells expressing individual FGF receptors and mammary epithelial cell lines	Extracellular FGF3 to plasma-membrane FGFR1b with heparin cofactor	No SCI receiver inference	Primary evidence supports FGF3 binding to FGFR1b and receptor-compatible mitogenic activity while leaving the intracellular relay unresolved.	Receptor-binding competition, BaF3 receptor-panel mitogenicity, and epithelial-cell mitogenicity assays with heparin modulation	activating	direct_edge	PMID:7592624; DOI:10.1074/jbc.270.41.24197	Primary FGF3 receptor-binding and mitogenicity study	Primary-supported claim: FGF3 binds the IIIb isoform of FGFR1 and produces a receptor-compatible mitogenic response in BaF3 and epithelial-cell assays.	Preserve the FGFR1b splice isoform, heparin dependence, and engineered-cell context; do not infer a universal FGFR1 relay or SCI function.	curated_primary_route	LITEXP:003651
M21B-LITEXP-3602	M21B-DOWNSTREAM:02304	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03641	FGF7	M21B-E000375	NODE03659	FGFR2b												FGF7-FGFR2b-dependent biological potency and mitogenic response			FGF7-FGFR2b-mitogenesis	validated_ligand_receptor_edge	primary_functional_output	M21B-E000375; M21B-EVID-000318; PMID:10950949	M21B-DOWNSTREAM-EVID:003670	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3602	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse; engineered receptor systems	Mouse FGF-family receptor-binding systems and KGFR/FGFR2b biological-potency assays	Extracellular FGF7 to the FGFR2b/KGFR plasma-membrane receptor with heparin context	No SCI receiver inference	Primary evidence supports FGF7 recognition of FGFR2b and a linked biological-potency readout while leaving the intracellular relay unresolved.	Receptor-binding competition, domain swapping, site-directed mutagenesis, and biological-potency assays	activating	direct_edge	PMID:10950949; DOI:10.1074/jbc.M003293200	Primary FGF7-FGFR2b receptor-specificity and biological-potency study	Primary-supported claim: FGF7 recognition of FGFR2b/KGFR is required for the receptor-specific biological potency measured in the primary mutagenesis study.	Preserve the FGFR2b/KGFR splice isoform and heparan-sulfate/receptor-binding context; do not infer broad FGFR2 or SCI function.	curated_primary_route	LITEXP:003652
M21B-LITEXP-3603	M21B-DOWNSTREAM:02343	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03611	FGF2	M21B-E000563	NODE03669	FGFR4												FGF2-FGFR4-dependent mitogenic response			FGF2-FGFR4-mitogenesis	validated_ligand_receptor_edge	primary_functional_output	M21B-E000563; M21B-EVID-000506; PMID:16597617; PMID:9843417	M21B-DOWNSTREAM-EVID:003709	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3603	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	engineered receptor systems	BaF3 cells expressing individual FGFRs in receptor-panel comparisons	Extracellular FGF2 to plasma-membrane FGFR4 with heparin/GAG cofactor	No SCI receiver inference	Primary receptor-panel evidence supports FGF2 activity at FGFR4 under heparin/GAG-supported conditions with a mitogenic readout; the intracellular relay remains unresolved.	FGFR receptor-panel binding and BaF3 relative-mitogenicity assays with heparin/GAG modulation	activating	direct_edge	PMID:16597617; PMCID:PMC2080618; DOI:10.1074/jbc.M601252200; PMID:9843417	Primary FGF receptor-panel specificity and mitogenicity evidence	Primary-supported claim: FGF2 activates FGFR4 in receptor-panel assays where relative mitogenic activity is the measured output.	Preserve heparin/GAG cofactor and engineered receptor-panel context; do not infer a universal FGFR4 intracellular route or CNS/SCI weighting.	curated_primary_route	LITEXP:003653
M21B-LITEXP-3604	M21B-DOWNSTREAM:02344	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03645	FGF8b	M21B-E000564	NODE03655	FGFR1c												FGF8b-FGFR1c-associated mid-hindbrain patterning			FGF8b-FGFR1c-developmental-patterning	validated_ligand_receptor_edge	primary_functional_output	M21B-E000564; M21B-EVID-000507; PMID:16384934	M21B-DOWNSTREAM-EVID:003710	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3604	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	chick; mouse developmental models	Chick embryos and murine midbrain explants with FGF8b splice-isoform and FGFR-binding comparisons	Extracellular FGF8b to plasma-membrane c-spliced FGFR context	No SCI receiver inference	Primary evidence links FGF8b receptor-binding specificity, including FGFR1c biochemical interaction, to developmental patterning readouts while leaving the intracellular relay unresolved.	SPR receptor-binding panel, FGF8b-FGFR2c structure, F32A mutant analysis, chick embryo and murine midbrain-explant patterning assays	activating	direct_edge	PMID:16384934; PMCID:PMC1356110; DOI:10.1101/gad.1365406	Primary FGF8b receptor-specificity and developmental-patterning study	Primary-supported claim: FGF8b binds the c-spliced FGFR receptor class including FGFR1c, and FGF8b receptor-binding competence is associated with mid-hindbrain patterning activity.	Preserve FGF8b versus FGF8a splice-isoform and developmental assay boundaries; do not promote this to a generalized FGFR1 intracellular or SCI pathway.	curated_primary_route	LITEXP:003654
M21B-LITEXP-3605	M21B-DOWNSTREAM:02334	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE00554	ANGPT1/Angiopoietin-1	M21B-E000505	NODE05892	ITGAV:ITGB5 integrin												ANGPT1-alphaVbeta5-dependent directional angiogenesis			ANGPT1-alphaVbeta5-retinal-angiogenesis	validated_ligand_receptor_edge	primary_functional_output	M21B-E000527; M21B-EVID-000470; PMID:24048525	M21B-DOWNSTREAM-EVID:003700	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3605	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse ischemic-retinopathy model	Retinal astrocytes and sprouting endothelial-cell environment	Extracellular ANGPT1 to astrocyte-associated alphaVbeta5 integrin	Ischemic-retinopathy comparator; no SCI transfer inferred	Primary evidence supports an ANGPT1-alphaVbeta5 branch in astrocytes that contributes to fibronectin organization and guided retinal angiogenesis while leaving the intracellular relay unresolved.	Ang1 gain/loss-of-function, intraocular Ang1 administration, integrin alphaVbeta5 perturbation, fibronectin accumulation, and retinal vascular-network assays	activating	direct_edge	PMID:24048525; DOI:10.1126/scitranslmed.3006666	Primary ANGPT1-integrin alphaVbeta5 angiogenesis study	Primary-supported claim: ANGPT1 engages an alphaVbeta5-associated signaling branch in retinal astrocytes and promotes fibronectin organization and guided angiogenesis.	Preserve the retinal astrocyte and ischemic-retinopathy context, and retain the parallel Tie2 branch; do not infer a standalone integrin relay or SCI weighting.	curated_primary_route	LITEXP:003655
M21B-LITEXP-3606	M21B-DOWNSTREAM:02336	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE11209	TNC/tenascin-C	M21B-E000536	NODE05904	ITGAV:ITGB6 integrin												TNC-alphaVbeta6-associated EMT-like cellular response			TNC-alphaVbeta6-EMT-like-response	validated_ligand_receptor_edge	primary_functional_output	M21B-E000536; M21B-EVID-000479; PMID:23958855	M21B-DOWNSTREAM-EVID:003702	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3606	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human breast-cancer cell model	MCF-7 breast-cancer cells and TNC-conjugated receptor-binding systems	Immobilized extracellular TNC to plasma-membrane alphaVbeta6 integrin	Cancer-cell comparator; no SCI transfer inferred	Primary evidence supports alphaVbeta6 binding to TNC and an EMT-like breast-cancer-cell response while leaving the intracellular relay unresolved.	TNC-conjugated bead binding, integrin neutralization, focal-adhesion localization, FAK phosphorylation, and EMT-like phenotype assays	activating	direct_edge	PMID:23958855; PMCID:PMC3759126; DOI:10.1038/oncsis.2013.27	Primary tenascin-C alphaVbeta6 receptor and EMT-like response study	Primary-supported claim: TNC binding to alphaVbeta6-associated integrin complexes contributes to focal-adhesion/FAK and EMT-like cellular responses in the tested breast-cancer model.	Preserve the RGD/metal-ion, immobilized-TNC, and human breast-cancer context; do not infer a universal alphaVbeta6 pathway or SCI output.	curated_primary_route	LITEXP:003656
M21B-LITEXP-3607	M21B-DOWNSTREAM:02338	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE08589	Osteopontin/SPP1	M21B-E000541	NODE01896	CD44												SPP1-CD44-dependent chemotaxis and attachment			SPP1-CD44-chemotaxis	validated_ligand_receptor_edge	primary_functional_output	M21B-E000541; M21B-EVID-000484; PMID:8560266	M21B-DOWNSTREAM-EVID:003704	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3607	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human and murine CD44-expressing cell systems	CD44-expressing and CD44-transfected cells with recombinant osteopontin	Soluble or presented extracellular osteopontin to plasma-membrane CD44	No SCI receiver inference	Primary evidence supports CD44 as an osteopontin receptor and reports chemotaxis/attachment outputs while leaving the intracellular relay unresolved.	CD44 transfection, recombinant osteopontin binding, anti-CD44 inhibition, chemotaxis, and attachment assays	activating	direct_edge	PMID:8560266; DOI:10.1126/science.271.5248.509	Primary osteopontin-CD44 receptor and chemotaxis study	Primary-supported claim: osteopontin ligation of CD44 induces cellular chemotaxis and distinguishes the CD44 functional response from hyaluronate-mediated aggregation.	Preserve CD44 variant/isoform and soluble-versus-immobilized osteopontin presentation; do not infer a generic CD44 intracellular route or SCI function.	curated_primary_route	LITEXP:003657
M21B-LITEXP-3608	M21B-DOWNSTREAM:02340	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE05475	IL37	M21B-E000553	NODE05375	IL1R8/SIGIRR												IL37-IL1R8-dependent suppression of inflammatory cytokine output			IL37-IL1R8-anti-inflammatory-output	validated_ligand_receptor_edge	primary_functional_output	M21B-E000553; M21B-EVID-000496; PMID:25654981; PMID:25729923	M21B-DOWNSTREAM-EVID:003706	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3608	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human macrophages; mouse dendritic cells	Human M1 macrophages and IL1R8-deficient or wild-type mouse bone-marrow-derived dendritic cells	Extracellular IL37-IL18Ralpha-IL1R8 receptor-complex context	No SCI receiver inference	Primary evidence supports an extracellular IL37 receptor-complex route requiring IL1R8 and suppressing inflammatory cytokine output while leaving the complete intracellular relay unresolved.	Recombinant IL37 binding assays, IL1R8-deficient dendritic-cell comparisons, macrophage LPS stimulation, cytokine measurements, and p38/pERK readouts	inhibitory	direct_edge	PMID:25654981; PMCID:PMC4345608; DOI:10.1073/pnas.1424626112; PMID:25729923; DOI:10.1038/ni.3103	Primary extracellular IL37-IL1R8 anti-inflammatory signaling studies	Primary-supported claim: extracellular IL37 binds an IL-18 receptor/IL1R8 system and requires IL1R8 to suppress inflammatory cytokine production and associated p38/ERK outputs.	Preserve the tripartite IL37-IL18Ralpha-IL1R8 topology and decoy/anti-inflammatory context; do not collapse IL1R8 into a standalone canonical relay or infer SCI weighting.	curated_primary_route	LITEXP:003658
M21B-LITEXP-3609	M21B-DOWNSTREAM:02326	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE08382	NTN1/netrin-1	M21B-E000466	NODE11551	UNC5A												netrin-1-UNC5A-dependent growth-cone repulsion			netrin-1-UNC5A-growth-cone-repulsion	validated_ligand_receptor_edge	primary_functional_output	M21B-E000466; M21B-EVID-000409; PMID:25123307; PMID:16554470	M21B-DOWNSTREAM-EVID:003692	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3609	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse neuronal models	Developing hippocampal and cerebellar neuronal growth cones/axons	Extracellular netrin-1 to UNC5A-containing neuronal receptor complexes	Developmental neuronal comparator; no SCI receiver inference	Primary evidence supports UNC5A-dependent netrin-1 repulsion and growth-cone collapse/turning outputs while leaving the intracellular relay unresolved.	Netrin-1 gradients, UNC5A loss or overexpression, growth-cone turning/collapse assays, and receptor-complex structural analysis	inhibitory	direct_edge	PMID:25123307; DOI:10.1016/j.neuron.2014.07.010; PMID:16554470	Primary netrin-1/UNC5A receptor-complex and repulsion studies	Primary-supported claim: UNC5A recruitment to netrin-1 receptor complexes switches neuronal guidance toward repulsion, and UNC5A-dependent growth-cone repulsion is experimentally observed.	Preserve DCC/UNC5A combinatorial receptor topology, heparan-sulfate dependence, and developmental neuronal context; do not infer CNS-injury-state or terminal-TF claims.	curated_primary_route	LITEXP:003659
M21B-LITEXP-3610	M21B-DOWNSTREAM:02319	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01712	CCL28/MEC	M21B-E000439	NODE01769	CCR3												CCL28-CCR3-associated chemotaxis and mucosal recruitment			CCL28-CCR3-chemotaxis	validated_ligand_receptor_edge	primary_functional_output	M21B-E000439; M21B-EVID-000382; PMID:12538707; PMID:17912348	M21B-DOWNSTREAM-EVID:003685	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3610	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human and mouse mucosal models	CCR3/CCR10-positive lymphocytes, mucosal plasma-cell systems, and recruited IgA-secreting cells	Extracellular CCL28 to plasma-membrane CCR3 in a chemokine-receptor context	Mucosal comparator; no SCI receiver inference	Primary evidence supports CCL28 binding/response through CCR3-containing mucosal chemokine systems and chemotaxis/recruitment outputs while leaving the intracellular relay unresolved.	CCL28 chemotaxis and receptor-expression assays with mucosal lymphocyte/plasma-cell recruitment and mouse administration models	activating	direct_edge	PMID:12538707; PMID:17912348	Primary CCL28 receptor and mucosal-recruitment studies	Primary-supported claim: CCL28 engages CCR3-containing mucosal chemokine systems and is associated with chemotaxis and mucosal IgA-secreting-cell recruitment outputs.	Preserve shared CCR10/CCR3 usage and mucosal cell context; do not infer a purified-affinity result, a universal CCR3-only relay, or CNS/SCI transfer.	curated_primary_route	LITEXP:003660
