queue_id	batch_id	priority	candidate_class	upstream_feature_or_ligand	receptor_or_adhesion_system	receptor_complex_status	receptor_proximal_branch_to_validate	downstream_tf_or_program_target	evidence_layers_to_extract	species_context	cell_type_or_model_context	source_origin	source_record_id	stable_source_locator	search_boundary	status	notes
M23A-Q1107	M23A-B032	P1	review_led_primary_candidate	chondroitin sulfate proteoglycans (CSPGs)	TLR4-dependent immune modulation and SCI neurite-growth program	Review-led candidate with primary rodent SCI evidence for CSPG-dependent immune modulation, TLR4 perturbation, and neuronal growth inhibition	CSPG-TLR4 immune modulation; macrophage/microglia inflammatory phenotype; immune-cell clearance and inflammation resolution; TLR4-independent neurite inhibition	no direct CSPG-TLR4 binding or individual proteoglycan-core assignment is asserted; intact CSPG and GAG-digestion context remain decisive	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse; rat; recombinant	rodent contusion SCI with lentiviral ChABC digestion, mouse/rat BMDM and microglial cultures, TLR4 inhibitor/knockout, and primary cortical-neuron assays	review-led SCI ECM-danger-signal literature search	EXPAND23A-REV-012	PMID:35614038; PMCID:PMC9133109; PMID:25017885; PMCID:PMC4099942	CSPG-TLR4-dependent immune-cell phenotype conversion and resolution failure are separated from TLR4-independent neuronal growth inhibition; direct binding remains unresolved	reviewed_second_pass	Promote TLR4-dependent immune relay and SCI immune/function layers; retain the direct-binding gap and CSPG preparation, digestion, cell-state, and rodent-model limits.
M23A-Q0001	M23A-B001	P1	cell_contact_adhesion_feature	scar-forming astrocyte contact	to extract from primary paper	not asserted; mechanism target only	beta1-integrin/N-cadherin adhesion relay	astrocyte scar recruitment/persistence program	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	Mouse SCI	Mouse SCI; scar-forming astrocytes	SCI primary-paper anchor from prior module	M1A-P003	PMID:36336030; DOI:10.1016/j.expneurol.2022.114264	Tracker records the beta1-integrin/N-cadherin question and immunostaining; exact relay and causal perturbation must be extracted	reviewed_first_pass	Mechanism target is not an evidence record; promote only after exact assay/perturbation extraction
M23A-Q0002	M23A-B001	P1	connectome_adhesion_candidate	Adam17	Itga6	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003062	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=guidance_ecm_family
M23A-Q0003	M23A-B001	P1	connectome_adhesion_candidate	Adam17	Itgb1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000013	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=guidance_ecm_family
M23A-Q0004	M23A-B001	P1	connectome_adhesion_candidate	Adam2	Itga6	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000017	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=guidance_ecm_family
M23A-Q0005	M23A-B001	P1	connectome_adhesion_candidate	Adam2	Itgb1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000019	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=guidance_ecm_family
M23A-Q0006	M23A-B001	P1	connectome_adhesion_candidate	Angpt1	Itgb1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000054	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0007	M23A-B001	P1	connectome_adhesion_candidate	Angptl2	Itga5	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002582	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0008	M23A-B001	P1	connectome_adhesion_candidate	Angptl2	Itgb1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002583	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0009	M23A-B001	P1	connectome_adhesion_candidate	Apoc3	Lrp1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	LRP-family-adhesion/ERK;validate-direct-binding-versus-colocalization	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003137	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family;guidance_ecm_family
