candidate_id	candidate_class	upstream_feature_or_ligand	receptor_or_adhesion_system	receptor_proximal_relay	downstream_tf_or_program	layer1_status	layer2_status	layer3_status	species_posture	SCI_context_posture	status	next_gap
M23A-Q1107	review_led_primary_candidate	chondroitin sulfate proteoglycans (CSPGs)	TLR4-dependent immune modulation and SCI neurite-growth program	CSPG-TLR4-dependent immune-cell phenotype conversion and inflammation resolution failure	TLR4-independent CSPG neuronal growth inhibition; no individual proteoglycan-core assignment or direct binding claim	reviewed_unresolved	reviewed_supported	reviewed_supported	mouse; rat; recombinant	Rodent contusion SCI and primary macrophage, microglial, and cortical-neuron assays; no direct CSPG-TLR4 binding assay	REVIEWED_SUPPORTED_WITH_LAYER_BOUNDARY	TLR4 perturbation supports immune modulation, while TLR4-knockout neuron assays preserve CSPG growth inhibition; intact CSPG, GAG digestion, cell-state, and rodent-model limits remain explicit.
M23A-Q0001	cell_contact_adhesion_feature	collagen-I-associated scar-forming astrocyte state	beta1-integrin/N-cadherin	blockade-supported adhesion relay	astrocyte scar recruitment/persistence	not_direct_binding	reviewed_supported	reviewed_supported	mouse	T9 contusion plus primary astrocytes	REVIEWED_FIRST_PASS	direct binding and FAK/SRC causality unresolved
M23A-Q0447	matrix_stiffness_feature	200 Pa versus 2000 Pa substrate stiffness	beta1-integrin/ILK	stiffness-associated beta1-integrin/ILK response	astrocyte morphology/actin/GFAP	not_direct_binding	reviewed_supported	reviewed_supported	mouse; human comparator	primary astrocytes and chronic SCI	REVIEWED_FIRST_PASS	causal receptor-specific mechanotransduction unresolved
M23A-Q0448	matrix_stiffness_feature	chronic SCI lesion/rim stiffness	no unique receptor assigned	no receptor-proximal assay	fibronectin/GFAP scar architecture	not_assessed	not_assessed	reviewed_supported	mouse	T11 contusion SCI	REVIEWED_FIRST_PASS	mechanics direction and receptor relay remain context-specific
M23A-Q0071	matricellular_ligand_feature	fibronectin EDA-positive chronic fibrotic scar	no receptor assigned	no receptor assay	fibrotic scar/locomotor program	not_assessed	not_assessed	reviewed_supported	mouse	T11 contusion SCI	REVIEWED_FIRST_PASS	integrin/receptor relay unresolved
M23A-Q0699	matrix_mechanics_feature	chronic hemisection scar softening with ECM/GAG dysregulation	no receptor assigned	no receptor assay	cavitation and ECM/GAG program	not_assessed	not_assessed	reviewed_supported	rat	T10 lateral hemisection	REVIEWED_FIRST_PASS	model/time/sample-preparation conflict with M1A-P027
M23A-Q0070	integrin_activation_feature	activated alpha9 integrin plus kindlin-1	alpha9 integrin with laminin/tenascin-C bridges	activation context; no biochemical binding	axon regeneration and sensory recovery	not_direct_binding	context_supported	reviewed_supported	rat	C4/T10 dorsal-column crush	REVIEWED_FIRST_PASS	alpha9-only and FAK/SRC tests unresolved
M23A-Q0698	matrix_glycan_feature	GlcNAc6ST1/4-dependent glycan sulfation and ECM program	no receptor assigned	no receptor assay	ECM/myeloid/repair program	not_assessed	not_assessed	reviewed_supported	mouse	T10 contusion SCI	REVIEWED_FIRST_PASS	glycan-receptor mechanism and TF endpoint unresolved
M23A-Q0051	connectome_adhesion_candidate	PECAM1	alphaVbeta3 integrin	heterophilic adhesion	leukocyte-endothelial adhesion	reviewed_supported	reviewed_supported	not_assessed	mixed mammalian	adhesion models; no SCI	REVIEWED_FIRST_PASS	alphaVbeta3 complex and SCI relevance unresolved
M23A-Q0053	connectome_adhesion_candidate	Plau	alphaMbeta2 integrin	plasminogen activation	fibrinolytic function	reviewed_supported	reviewed_supported	not_assessed	human	purified and neutrophil models; no SCI	REVIEWED_FIRST_PASS	alphaMbeta2 complex and neural relevance unresolved
M23A-Q0055	connectome_adhesion_candidate	Postn	alphaVbeta3 integrin	FAK/Akt macrophage migration relay	fibrotic scar function	not_direct_binding	reviewed_supported	reviewed_supported	mouse	contusive SCI	REVIEWED_FIRST_PASS	purified binding and alphaVbeta3 necessity unresolved
