review_id	batch_id	batch_rank	regulator_key	regulator_symbol	species_scope	source_registry	source_record_id	raw_tf_symbol	target_symbol	target_graph_modules	candidate_membership_status	exact_pair_search_url	exact_pair_status	regulator_general_evidence_status	target_cell_presence_status	binding_or_association_status	downstream_expression_or_perturbation_status	upstream_relay_status	disposition	primary_citation	corroborating_citation	excluded_near_matches	review_notes	exportable	canonical_write_performed
public_tf_evidence_batch001_r16_pair_001	public_tf_evidence_batch_001	16	zscan22	ZSCAN22	human	TFLink	tflink:human:000970:c538dd7ca1b4	ZSCAN22	ACKR3	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN22%22+AND+%22ACKR3%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pmc.ncbi.nlm.nih.gov/articles/PMC5131825/	none located	ZSCAN22 C2H2-ZF/HEK293 functional screen supports regulator capacity but not ACKR3; ACKR3 expression/function papers without ZSCAN22 were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r16_pair_002	public_tf_evidence_batch_001	16	zscan22	ZSCAN22	human	TFLink	tflink:human:000970:c538dd7ca1b4	ZSCAN22	ACTR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN22%22+AND+%22ACTR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pmc.ncbi.nlm.nih.gov/articles/PMC5131825/	none located	ZSCAN22 C2H2-ZF/HEK293 functional screen supports regulator capacity but not ACTR2; ACTR2/ARP2/3 papers without ZSCAN22 were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r16_pair_003	public_tf_evidence_batch_001	16	zscan22	ZSCAN22	human	TFLink	tflink:human:000970:c538dd7ca1b4	ZSCAN22	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN22%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pmc.ncbi.nlm.nih.gov/articles/PMC5131825/	none located	ZSCAN22 C2H2-ZF/HEK293 functional screen supports regulator capacity but not ACVR1; ACVR1 promoter studies naming other factors were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r16_pair_004	public_tf_evidence_batch_001	16	zscan22	ZSCAN22	human	TFLink	tflink:human:000970:c538dd7ca1b4	ZSCAN22	ACVR1C	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN22%22+AND+%22ACVR1C%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pmc.ncbi.nlm.nih.gov/articles/PMC5131825/	none located	ZSCAN22 C2H2-ZF/HEK293 functional screen supports regulator capacity but not ACVR1C; ACVR1C receptor studies without ZSCAN22 were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r17_pair_001	public_tf_evidence_batch_001	17	purb	PURB	mouse	TFLink	tflink:mouse:000879:a03da7ea1b30	Purb	Actr2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Purb%22+AND+%22Actr2%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pubmed.ncbi.nlm.nih.gov/12874279/	https://pubmed.ncbi.nlm.nih.gov/23724822/	Mouse Purβ studies directly support Acta2 repression, not Actr2; ARP2/3/ACTR2 studies without Purb were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r17_pair_002	public_tf_evidence_batch_001	17	purb	PURB	mouse	TFLink	tflink:mouse:000879:a03da7ea1b30	Purb	Acvr1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Purb%22+AND+%22Acvr1%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pubmed.ncbi.nlm.nih.gov/12874279/	https://pubmed.ncbi.nlm.nih.gov/23724822/	Mouse Purβ studies directly support Acta2 repression, not Acvr1; Acvr1 promoter studies naming other factors were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r17_pair_003	public_tf_evidence_batch_001	17	purb	PURB	mouse	TFLink	tflink:mouse:000879:a03da7ea1b30	Purb	Acvr1c	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Purb%22+AND+%22Acvr1c%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pubmed.ncbi.nlm.nih.gov/12874279/	https://pubmed.ncbi.nlm.nih.gov/23724822/	Mouse Purβ studies directly support Acta2 repression, not Acvr1c; YAP–Acvr1c and other receptor studies without Purb were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r17_pair_004	public_tf_evidence_batch_001	17	purb	PURB	mouse	TFLink	tflink:mouse:000879:a03da7ea1b30	Purb	Acvrl1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Purb%22+AND+%22Acvrl1%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pubmed.ncbi.nlm.nih.gov/12874279/	https://pubmed.ncbi.nlm.nih.gov/23724822/	Mouse Purβ studies directly support Acta2 repression, not Acvrl1; Sp1–ACVRL1 promoter studies without Purb were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r18_pair_001	public_tf_evidence_batch_001	18	zfhx2	ZFHX2	human	TFLink	tflink:human:001270:8ee2682df0f0	ZFHX2	A2M	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZFHX2%22+AND+%22A2M%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pmc.ncbi.nlm.nih.gov/articles/PMC5837393/	none located	Human ZFHX2/Marsili syndrome work supports ZFHX2 presence and regulatory domains in nociceptive biology, not A2M; ZHX2 (different gene) papers were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
public_tf_evidence_batch001_r18_pair_002	public_tf_evidence_batch_001	18	zfhx2	ZFHX2	human	TFLink	tflink:human:001270:8ee2682df0f0	ZFHX2	ACKR3	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZFHX2%22+AND+%22ACKR3%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	regulator-level only: https://pmc.ncbi.nlm.nih.gov/articles/PMC5837393/	none located	Human ZFHX2/Marsili syndrome work supports ZFHX2 presence and regulatory domains in nociceptive biology, not ACKR3; ACKR3 studies without ZFHX2 and ZHX2/ZFHX3 paralog papers were excluded	Database membership is not target-level evidence; no target-cell, effect direction, or relay inferred.	false	false
