node_id	canonical_name	node_type	node_subtype	gene_symbol	organism_scope	compartment	notes	canonical_label	label_variants	modules	pathways	exportable_edge_count
NODE00001	(+)-TAN-67	signaling_effector					modules=21B; pathways=TAN67-MRGPRX2-opioid-like-chemical-agonist; label_variants=(+)-TAN-67; exportable_edge_count=1	(+)-TAN-67	(+)-TAN-67	21B	TAN67-MRGPRX2-opioid-like-chemical-agonist	1
NODE00002	(3R)-3-hydroxylauric acid/3-OH-C12	signaling_effector					modules=21B; pathways=3OH-C12-GPR84-GPCR; label_variants=(3R)-3-hydroxylauric acid/3-OH-C12; exportable_edge_count=1	(3R)-3-hydroxylauric acid/3-OH-C12	(3R)-3-hydroxylauric acid/3-OH-C12	21B	3OH-C12-GPR84-GPCR	1
NODE00003	(R)-ZINC-3573	signaling_effector					modules=21B; pathways=R-ZINC3573-MRGPRX2-selective-chemical-probe; label_variants=(R)-ZINC-3573; exportable_edge_count=1	(R)-ZINC-3573	(R)-ZINC-3573	21B	R-ZINC3573-MRGPRX2-selective-chemical-probe	1
NODE00004	12(S)-HETE/12-HETER	signaling_effector					modules=21B; pathways=12S-HETE-GPR31-proangiogenic-GPCR; label_variants=12(S)-HETE/12-HETER; exportable_edge_count=1	12(S)-HETE/12-HETER	12(S)-HETE/12-HETER	21B	12S-HETE-GPR31-proangiogenic-GPCR	1
NODE00005	12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program; exportable_edge_count=1	12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program	12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program	22B	cell_state_program	1
NODE00006	17α-Hydroxypregnenolone/17-OH PREG	signaling_effector					modules=21B; pathways=17OHPREG-ADGRG1-G12-G13-anti-ferroptosis; label_variants=17α-Hydroxypregnenolone/17-OH PREG; exportable_edge_count=1	17α-Hydroxypregnenolone/17-OH PREG	17α-Hydroxypregnenolone/17-OH PREG	21B	17OHPREG-ADGRG1-G12-G13-anti-ferroptosis	1
NODE00007	17α-Hydroxyprogesterone/17OHP	signaling_effector					modules=21B; pathways=17OHP-ADGRG6-Gi-activation; label_variants=17α-Hydroxyprogesterone/17OHP; exportable_edge_count=1	17α-Hydroxyprogesterone/17OHP	17α-Hydroxyprogesterone/17OHP	21B	17OHP-ADGRG6-Gi-activation	1
NODE00008	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program; exportable_edge_count=1	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	22B	cell_state_program	1
NODE00009	2-APB	signaling_effector					modules=21B; pathways=2APB-TRPV3-ion-channel; label_variants=2-APB; exportable_edge_count=1	2-APB	2-APB	21B	2APB-TRPV3-ion-channel	1
NODE00010	2-Arachidonoylglycerol/2-AG	signaling_effector					modules=21B; pathways=2AG-CB1-GPCR;2AG-CB2-GPCR; label_variants=2-Arachidonoylglycerol/2-AG; exportable_edge_count=2	2-Arachidonoylglycerol/2-AG	2-Arachidonoylglycerol/2-AG	21B	2AG-CB1-GPCR;2AG-CB2-GPCR	2
