expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	primary_locator	citation_note	evidence_summary	limitations	curation_status	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	route_evidence_id
M21B-LITEXP-4194	M21B-DOWNSTREAM:00412	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03108	Egf	M20B-E000450	NODE03111	Egfr	M21B-E001034	NODE01609	CBL									EGFR pY1045-CBL-associated ubiquitination, endocytosis and receptor-attenuation output			EGFR-pY1045-CBL-attenuation	primary_literature_route_expansion	primary_receptor_proximal_and_trafficking_output	M20B-E000450;M21B-E001034;M21B-EVID-000977;M21B-DOWNSTREAM-EVID:000694;PMID:11823423;PMCID:PMC125825	M21B-LITEXP-4194	M21B-DOWNSTREAM-EVID:000694	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EGFR;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	translocation_or_localization_readout	PMID:11823423; PMCID:PMC125825	Primary EGFR Tyr1045/c-Cbl docking, ubiquitination and receptor-trafficking study.	Primary evidence supports ligand-activated EGFR Tyr1045 docking of c-Cbl and associated receptor ubiquitination, internalization, recycling and degradation output.	Preserve the direct Tyr1045/c-Cbl branch and distinguish c-Cbl from Grb2-assisted recruitment at other EGFR sites; intracellular relay beyond CBL, TF and target gene remain unresolved.	curated_primary_route	human	Human EGFR-expressing 32D, CHO and HEK293 transfection systems with wild-type/Y1045F EGFR, c-Cbl co-expression and EGF internalization/MAPK assays	extracellular EGF to plasma-membrane EGFR and CBL-proximal receptor-trafficking output	no SCI transfer inferred; primary model context only	Primary EGF-EGFR-CBL attenuation evidence; terminal TF and target gene unresolved	EGFR Y1045F mutation, c-Cbl co-expression, co-localization, ubiquitination, EGF internalization/recycling and MAPK assays	inhibitory	direct_edge	LITEXP:000075
M21B-LITEXP-4195	M21B-DOWNSTREAM:00421	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03322	EPO	M21B-E000497	NODE03329	EPOR	M21B-E001049	NODE09496	PTPN6/SHP1									EPO-EPOR pY429-SHP1-associated JAK2 inactivation and receptor-feedback output			EPOR-pY429-SHP1	primary_literature_route_expansion	primary_receptor_proximal_negative_feedback_output	M21B-E000497;M21B-E001049;M21B-EVID-000992;M21B-DOWNSTREAM-EVID:000713;PMID:7889566	M21B-LITEXP-4195	M21B-DOWNSTREAM-EVID:000713	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EPOR;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:7889566	Primary EPOR Tyr429/SHP1 association and JAK2-inactivation study.	Primary evidence supports EPO receptor Tyr429-dependent SHP1 association, JAK2 inactivation, receptor dephosphorylation feedback and altered growth sensitivity.	Preserve the negative-feedback branch and context-dependent SHP1 detection; distinguish it from EPOR p85/internalization branches, with no CNS/SCI inference or terminal TF claim.	curated_primary_route	human; mouse	EPO-receptor Tyr429 mutant and EPO-stimulated hematopoietic-cell assays measuring SHP1 association, JAK2 inactivation, receptor phosphorylation and growth sensitivity	extracellular EPO to plasma-membrane EPOR and Tyr429-proximal SHP1 negative-feedback output	no SCI transfer inferred; primary model context only	Primary EPO-EPOR-SHP1 negative-feedback evidence; terminal TF and target gene unresolved	EPOR Tyr429 mutation, EPO stimulation, SHP1 association, JAK2 inactivation, receptor phosphorylation and growth-sensitivity assays	inhibitory	direct_edge	LITEXP:000076
M21B-LITEXP-4196	M21B-DOWNSTREAM:00422	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE08845	PDGFB/PDGF-BB	M21B-E000182	NODE08864	PDGFRB receptor dimer	M21B-E001050	NODE09092	PLCG1									PDGFB-PDGFRB pY1021-PLCG1-associated PKD/DAG/PKC signaling output			PDGFRB-pY1021-PLCG1	primary_literature_route_expansion	primary_receptor_proximal_and_second_messenger_output	M21B-E000182;M21B-E001050;M21B-EVID-000993;M21B-DOWNSTREAM-EVID:000715;PMID:7689724;PMID:9507012	M21B-LITEXP-4196	M21B-DOWNSTREAM-EVID:000715	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:PDGFRB;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:7689724; PMID:9507012	Primary PDGFRbeta Tyr1021/PLCgamma1 docking and PKD/DAG/PKC signaling studies.	Primary evidence supports PDGFB engagement of PDGFRB, Tyr1021-dependent PLCG1 binding and PKD/DAG/PKC-associated signaling output.	Preserve receptor-tail and cell-system limits and the site-specific PLCG1 branch; no SCI function, terminal TF or target-gene inference is asserted.	curated_primary_route	human; rat	Phosphorylated PDGFRbeta receptor-tail GST constructs with Rat-2/PLCG1 lysates and receptor Y1021-mutant/A431 signaling assays	extracellular PDGF-BB to plasma-membrane PDGFRB and Tyr1021-proximal PLCG1/PKD/DAG/PKC output	no SCI transfer inferred; primary model context only	Primary PDGFB-PDGFRB-PLCG1 second-messenger evidence; terminal TF and target gene unresolved	PDGFRbeta tail GST constructs, Y1021 mutation, PLCG1 binding, PKD/DAG/PKC and receptor-signaling assays	activating	direct_edge	LITEXP:000077
M21B-LITEXP-4197	M21B-DOWNSTREAM:00433	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03108	Egf	M20B-E000450	NODE03111	Egfr	M21B-E001070	NODE10288	SHC1									EGFR pY1148-SHC1-associated Grb2/Sos-Ras signaling output			EGFR-pY1148-SHC1	primary_literature_route_expansion	primary_receptor_proximal_and_Ras_output	M20B-E000450;M21B-E001070;M21B-EVID-001013;M21B-DOWNSTREAM-EVID:000738;PMID:9544989	M21B-LITEXP-4197	M21B-DOWNSTREAM-EVID:000738	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EGFR;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:9544989	Primary EGFR Tyr1148/Shc docking and EGF-dependent Ras-signaling study.	Primary evidence supports EGFR Tyr1148 docking of SHC1 and EGF-dependent SHC phosphorylation, Grb2-Sos association and Ras activity.	Preserve major-site rather than exclusive EGFR docking semantics and Y1173 redundancy; no terminal TF, target-gene or SCI inference is asserted.	curated_primary_route	human	CHO cells expressing wild-type or single-site EGFR mutants with Shc PTB/SH2 mutants, EGF-dependent membrane translocation, phosphorylation, Grb2-Sos and Ras assays	extracellular EGF to plasma-membrane EGFR and Tyr1148-proximal SHC1/Ras output	no SCI transfer inferred; primary model context only	Primary EGF-EGFR-SHC1-Ras evidence; terminal TF and target gene unresolved	EGFR single-site mutants, Shc-domain mutants, EGF stimulation, co-immunoprecipitation, Grb2-Sos association and Ras activity assays	activating	direct_edge	LITEXP:000078
M21B-LITEXP-4198	M21B-DOWNSTREAM:00436	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03100	EFNB1/ephrin-B1	M21B-E000587	NODE03287	EPHB1	M21B-E001076	NODE07699	NCK1/Nck									ephrin-B1/EPHB1 pY594-NCK1-associated JNK and cell-attachment output			EPHB1-pY594-NCK1	primary_literature_route_expansion	primary_receptor_proximal_and_functional_output	M21B-E000587;M21B-E001076;M21B-EVID-001019;M21B-DOWNSTREAM-EVID:000743;PMID:9430661	M21B-LITEXP-4198	M21B-DOWNSTREAM-EVID:000743	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EPHB1;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:9430661	Primary EphB1 Tyr594/Nck recruitment and JNK/attachment study.	Primary evidence supports ephrin-B1 activation of EPHB1, Nck SH2 binding at Tyr594 and associated JNK and cell-attachment outputs.	Preserve the site-specific EPHB1/ephrin-B1 branch and receptor-ligand context; no SCI or terminal-TF inference is asserted.	curated_primary_route	mouse	EphB1 phosphosite mapping and mutant systems with P19 embryonal carcinoma cells stimulated by ephrin-B1/Fc and native receptor-complex, JNK and attachment assays	extracellular ephrin-B1 to plasma-membrane EPHB1 and Tyr594-proximal NCK1 output	no SCI transfer inferred; primary model context only	Primary EFNB1-EPHB1-NCK1 functional evidence; terminal TF and target gene unresolved	Tyr594 mapping, EphB1 mutants, ephrin-B1 stimulation, Nck recruitment, JNK and cell-attachment assays	activating	direct_edge	LITEXP:000079
M21B-LITEXP-4199	M21B-DOWNSTREAM:00439	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03100	EFNB1/ephrin-B1	M21B-E000369	NODE03291	EPHB2	M21B-E001082	NODE10646	SRC									ephrin-B1/EPHB2 pY611-SRC-associated kinase and neuronal output			EPHB2-pY611-SRC	primary_literature_route_expansion	primary_receptor_proximal_and_activation_output	M21B-E000369;M21B-E001082;M21B-EVID-001025;M21B-DOWNSTREAM-EVID:000752;PMID:9632142	M21B-LITEXP-4199	M21B-DOWNSTREAM-EVID:000752	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EPHB2;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:9632142	Primary EphB2 Tyr611/Src SH2 interaction and mutant-analysis study.	Primary evidence supports ephrin-B1-associated EPHB2 phosphorylation, juxtamembrane Tyr611 interaction with Src and kinase-associated output.	Preserve Tyr605/Tyr611 kinase-activation coupling and the site-specific EPHB2 branch; no isolated Tyr605 claim, SCI claim or terminal-TF inference is asserted.	curated_primary_route	chicken; human	Chicken embryonic retina phosphosite mapping, COS-cell EphB2/Src co-expression and immunoprecipitation, yeast two-hybrid and EphB2-expressing neuronal comparison systems	extracellular ephrin-B1 to plasma-membrane EPHB2 and Tyr611-proximal SRC output	no SCI transfer inferred; primary model context only	Primary EFNB1-EPHB2-SRC functional evidence; terminal TF and target gene unresolved	EphB2 phosphosite mapping, COS-cell co-expression, immunoprecipitation, yeast two-hybrid and Y611 mutagenesis assays	activating	direct_edge	LITEXP:000080
M21B-LITEXP-4200	M21B-DOWNSTREAM:00440	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03077	EFNA1/ephrin-A1	M21B-E000196	NODE03256	EPHA2	M21B-E001083	NODE11680	VAV2/VAV3									ephrin-A1/EPHA2 pY587/pY593-VAV2/VAV3-associated Rac1, migration and angiogenesis output			EPHA2-pY587-pY593-VAV2-VAV3	primary_literature_route_expansion	primary_receptor_proximal_and_migration_output	M21B-E000196;M21B-E001083;M21B-EVID-001026;M21B-DOWNSTREAM-EVID:000757;PMID:18387945;PMID:16782872	M21B-LITEXP-4200	M21B-DOWNSTREAM-EVID:000757	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EPHA2;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:18387945; PMID:16782872	Primary EphA2 phosphosite mapping, Vav2/Vav3 binding, Rac1 and endothelial migration studies.	Primary evidence supports EphA2 Tyr587/Tyr593 site-set binding of Vav2/Vav3 and associated Rac1, migration and angiogenesis outputs.	Promote only the combined Tyr587/Tyr593 site-set branch; preserve endothelial/angiogenesis context and no SCI or terminal-TF inference.	curated_primary_route	human	COS7 receptor/adaptor systems and EphA2-null endothelial-cell reconstitution with ephrin-A1 stimulation, Vav binding, Rac1, migration and angiogenesis assays	extracellular ephrin-A1 to plasma-membrane EPHA2 and Tyr587/Tyr593-proximal VAV/Rac1 output	no SCI transfer inferred; primary model context only	Primary EFNA1-EPHA2-VAV2/VAV3 functional evidence; terminal TF and target gene unresolved	EphA2 phosphosite mapping, ephrin-A1 stimulation, Vav2/Vav3 binding, Rac1, migration and angiogenesis assays	activating	direct_edge	LITEXP:000081
M21B-LITEXP-4201	M21B-DOWNSTREAM:00441	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03077	EFNA1/ephrin-A1	M21B-E000196	NODE03256	EPHA2	M21B-E001084	NODE09031	PIK3R1/p85									ephrin-A1/EPHA2 pY734-PIK3R1/p85-associated Rac1, migration and vascular-assembly output			EPHA2-pY734-PIK3R1	primary_literature_route_expansion	primary_receptor_proximal_and_migration_output	M21B-E000196;M21B-E001084;M21B-EVID-001027;M21B-DOWNSTREAM-EVID:000762;PMID:18387945	M21B-LITEXP-4201	M21B-DOWNSTREAM-EVID:000762	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EPHA2;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:18387945	Primary EphA2 Tyr734/p85 recruitment and endothelial Rac1/migration study.	Primary evidence supports EphA2 Tyr734 binding of the PI3K p85 regulatory subunit and associated Rac1, migration and vascular-assembly outputs.	Preserve direct Tyr734-p85 recruitment and bounded endothelial model context; no SCI, terminal TF or target-gene inference is asserted.	curated_primary_route	human	COS7 EphA2/p85 co-expression and EphA2-null endothelial-cell Tyr734-mutant reconstitution with ephrin-A1, Rac1, migration and vascular assays	extracellular ephrin-A1 to plasma-membrane EPHA2 and Tyr734-proximal PIK3R1/Rac1 output	no SCI transfer inferred; primary model context only	Primary EFNA1-EPHA2-PIK3R1 functional evidence; terminal TF and target gene unresolved	EphA2/p85 co-expression, immunoprecipitation, Tyr734F reconstitution, ephrin-A1 stimulation, Rac1, migration and vascular assays	activating	direct_edge	LITEXP:000082
M21B-LITEXP-4202	M21B-DOWNSTREAM:00442	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03077	EFNA1/ephrin-A1	M21B-E000196	NODE03256	EPHA2	M21B-E001085	NODE07698	NCK1									ephrin-A1/EPHA2 pY930-NCK1-associated migration output			EPHA2-pY930-NCK1	primary_literature_route_expansion	primary_receptor_proximal_and_migration_output	M21B-E000196;M21B-E001085;M21B-EVID-001028;M21B-DOWNSTREAM-EVID:000764;PMID:23358419	M21B-LITEXP-4202	M21B-DOWNSTREAM-EVID:000764	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EPHA2;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:23358419	Primary EphA2 Tyr930/Nck1 association and LAR-dependent migration study.	Primary evidence supports EphA2 Tyr930 control of Nck1 association and LAR-dependent attenuation of EphA2-mediated migration.	Preserve LAR-dependent dephosphorylation and migration context without inferring a universal EphA2 route or terminal TF/target-gene linkage.	curated_primary_route	human	293-cell EphA2 WT/Y930F transfection and Nck1 immunoprecipitation with MCF10A LAR knockdown, ephrin-A1 stimulation and migration assays	extracellular ephrin-A1 to plasma-membrane EPHA2 and Tyr930-proximal NCK1/migration output	no SCI transfer inferred; primary model context only	Primary EFNA1-EPHA2-NCK1 migration evidence; terminal TF and target gene unresolved	EphA2 WT/Y930F transfection, Nck1 immunoprecipitation, LAR knockdown, ephrin-A1 stimulation and migration assays	activating	direct_edge	LITEXP:000083
M21B-LITEXP-4203	M21B-DOWNSTREAM:00444	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE03108	Egf	M20B-E000450	NODE03111	Egfr	M21B-E001091	NODE09496	PTPN6/SHP1									EGFR pY992-SHP1-associated receptor dephosphorylation and MAPK attenuation output			EGFR-pY992-PTPN6	primary_literature_route_expansion	primary_receptor_proximal_negative_regulation_output	M20B-E000450;M21B-E001091;M21B-EVID-001034;M21B-DOWNSTREAM-EVID:000768;PMID:9733788	M21B-LITEXP-4203	M21B-DOWNSTREAM-EVID:000768	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:EGFR;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	second_messenger_readout	PMID:9733788	Primary EGFR Tyr992/SHP1 dephosphorylation and MAPK-attenuation study.	Primary evidence supports EGFR pY992-associated SHP1 dephosphorylation and attenuation of receptor-proximal MAPK signaling.	Preserve bounded pY992-SHP1 negative regulation and auxiliary Tyr1173 docking context; no universal EGFR termination, terminal TF or target-gene inference is asserted.	curated_primary_route	human	EGFR site-mutant and phosphopeptide-competition systems with SHP1 co-expression, receptor dephosphorylation and MAPK readouts	extracellular EGF to plasma-membrane EGFR and Tyr992-proximal SHP1 negative-regulation output	no SCI transfer inferred; primary model context only	Primary EGF-EGFR-SHP1 negative-regulation evidence; terminal TF and target gene unresolved	EGFR site-mutant/phosphopeptide competition, SHP1 co-expression, receptor dephosphorylation and MAPK assays	inhibitory	direct_edge	LITEXP:000084
