expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	primary_locator	citation_note	evidence_summary	limitations	curation_status	species_context	cell_type_context	effect_polarity	source_scope	route_evidence_id
M21B-LITEXP-4264	M21B-DOWNSTREAM:00071	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02888	DLL1	M21B-E000267	NODE08195	NOTCH1 receptor					DLL1-NOTCH1 calcium-dependent binding and Notch reporter output	DLL1-NOTCH1-canonical-Notch	primary_literature_route_expansion	primary_ligand_receptor_and_reporter_output	M21B-E000267;M21B-EVID-000210;M21B-DOWNSTREAM-EVID:000137;M21B-DOWNSTREAM-EVID:000138;M21B-DOWNSTREAM-EVID:000139;PMID:23839946;PMCID:PMC3757209	M21B-LITEXP-4264	M21B-DOWNSTREAM-EVID:000138	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	PMID:23839946; PMCID:PMC3757209	Primary DLL1-NOTCH1 calcium-dependent binding and Notch reporter studies.	Primary-supported claim: DLL1 is a Notch1 ligand and the cited primary study directly measures calcium-dependent DLL1-NOTCH1 binding and DLL1-dependent Notch1 reporter activation using recombinant and cell-based systems. Primary model/assay: human Notch1 EGF repeats 6-15 and DLL1/DLL4 ectodomain binding systems with plate and cell binding, truncation/mutagenesis and Notch reporter assays.	Preserve membrane presentation, calcium, ligand density and DLL1-versus-DLL4 selectivity boundaries; no SCI receiver or reverse DLL1 intracellular claim. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human Notch1 EGF repeats 6-15 and DLL1/DLL4 ectodomain binding systems; plate and cell binding, truncation/mutagenesis and Notch reporter assays	activating	direct_edge	LITEXP:000145
M21B-LITEXP-4265	M21B-DOWNSTREAM:00073	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE11779	Vitronectin/VTN	M21B-E000277	NODE05896	ITGAV:ITGB3 integrin					Vitronectin-alphaVbeta3 binding, adhesion and activation output	Vitronectin-alphaVbeta3-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000277;M21B-EVID-000220;M21B-DOWNSTREAM-EVID:000142;M21B-DOWNSTREAM-EVID:000143;PMID:9480902	M21B-LITEXP-4265	M21B-DOWNSTREAM-EVID:000142	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:9480902	Primary purified alphaVbeta3-vitronectin binding, adhesion and Mn2+-activation comparisons.	Primary-supported claim: alphaVbeta3 is a principal vitronectin receptor and purified recombinant alphaVbeta3 retains high-affinity vitronectin binding, with cell-surface and Mn2+-dependent activation comparisons. Primary model/assay: human recombinant alphaVbeta3, native placental alphaVbeta3 and M21 melanoma cells with purified-receptor binding, vitronectin adhesion, RGD inhibition and Mn2+ activation assays.	Preserve the vitronectin RGD form, alphaVbeta3 heterodimer and purified-versus-cell-surface activation-state distinction; no autonomous ITGAV relay or SCI inference. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human recombinant alphaVbeta3, native placental alphaVbeta3 and M21 melanoma cells; purified-receptor binding, vitronectin adhesion, RGD inhibition and Mn2+ activation assays	activating	direct_edge	LITEXP:000146
M21B-LITEXP-4266	M21B-DOWNSTREAM:00074	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03710	Fibronectin/FN	M21B-E000278	NODE05896	ITGAV:ITGB3 integrin					Fibronectin-alphaVbeta3 binding, melanoma-cell adhesion and spreading output	Fibronectin-alphaVbeta3-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000278;M21B-EVID-000221;M21B-DOWNSTREAM-EVID:000144;PMID:1703545	M21B-LITEXP-4266	M21B-DOWNSTREAM-EVID:000144	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:1703545	Primary purified alphaVbeta3-fibronectin binding and melanoma-cell adhesion/spreading study.	Primary-supported claim: alphaVbeta3 is an RGD-binding fibronectin receptor and the cited primary study demonstrates high-affinity fibronectin binding by purified alphaVbeta3 plus alphaVbeta3-dependent melanoma-cell adhesion and spreading. Primary model/assay: purified human alphaVbeta3, human M21 melanoma cells and alphaVbeta3-deficient variant with RGD/antibody inhibition, affinity chromatography, attachment and spreading assays.	Preserve fibronectin RGD form and the alphaVbeta3/alpha5beta1 cooperative adhesion context; no autonomous ITGAV relay or SCI inference. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Purified human alphaVbeta3 solid-phase binding; human M21 melanoma cells and alphaVbeta3-deficient variant; RGD/antibody inhibition, affinity chromatography, attachment and spreading assays	unknown	direct_edge	LITEXP:000147
M21B-LITEXP-4267	M21B-DOWNSTREAM:00075	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02343	COL1A1/collagen I	M21B-E000279	NODE05734	ITGA1:ITGB1 integrin					Collagen I GFOGER-alpha1beta1 binding and cell-adhesion output	CollagenI-alpha1beta1-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000279;M21B-EVID-000222;M21B-DOWNSTREAM-EVID:000145;PMID:10617582	M21B-LITEXP-4267	M21B-DOWNSTREAM-EVID:000145	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:10617582	Primary collagen I GFOGER-alpha1beta1 peptide-binding and adhesion study.	Primary-supported claim: collagen I GFOGER is a high-affinity ligand motif for alpha1beta1 and the cited primary work supports peptide binding and alpha1beta1-dependent cell adhesion. Primary model/assay: triple-helical collagen I GFOGER peptides, recombinant alpha1 A-domain and alpha1beta1-dependent Rugli-cell adhesion with divalent-cation binding, competition and sequence mutagenesis.	Preserve triple-helical collagen I, the GFOGER/hydroxyproline motif, alpha1beta1 heterodimer and cation dependence; no universal collagen relay or SCI inference. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Triple-helical collagen I GFOGER peptides; recombinant alpha1 A-domain and alpha1beta1-dependent Rugli-cell adhesion, cation binding, competition and sequence-mutagenesis assays	unknown	direct_edge	LITEXP:000148
M21B-LITEXP-4268	M21B-DOWNSTREAM:00076	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02343	COL1A1/collagen I	M21B-E000280	NODE05744	ITGA2:ITGB1 integrin					Collagen I GFOGER-alpha2beta1 binding and cell-adhesion output	CollagenI-alpha2beta1-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000280;M21B-EVID-000223;M21B-DOWNSTREAM-EVID:000146;PMID:10617582	M21B-LITEXP-4268	M21B-DOWNSTREAM-EVID:000146	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:10617582	Primary collagen I GFOGER-alpha2beta1 peptide-binding and adhesion study.	Primary-supported claim: collagen I GFOGER is a high-affinity ligand motif for alpha2beta1 and the cited primary work supports peptide binding and alpha2beta1-dependent platelet/HT1080-cell adhesion. Primary model/assay: triple-helical collagen I GFOGER peptides, recombinant alpha2 A-domain and alpha2beta1-dependent adhesion with divalent-cation binding, competition and sequence mutagenesis.	Preserve triple-helical collagen I, the GFOGER/hydroxyproline motif, alpha2beta1 heterodimer and cation dependence; GPVI is a separate collagen receptor and no SCI inference is added. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Triple-helical collagen I GFOGER peptides; recombinant alpha2 A-domain and alpha2beta1-dependent platelet/HT1080-cell adhesion, cation binding, competition and sequence-mutagenesis assays	unknown	direct_edge	LITEXP:000149
M21B-LITEXP-4269	M21B-DOWNSTREAM:00077	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE06262	Laminin-511	M21B-E000281	NODE05767	ITGA3:ITGB1 integrin					Laminin-511-alpha3beta1 adhesion, migration and IL-8 output	Laminin511-alpha3beta1-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_functional_output	M21B-E000281;M21B-EVID-000224;M21B-DOWNSTREAM-EVID:000147;M21B-DOWNSTREAM-EVID:000148;PMID:19752234	M21B-LITEXP-4269	M21B-DOWNSTREAM-EVID:000147	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	PMID:19752234	Primary laminin-511/alpha3beta1 mast-cell adhesion, migration and IL-8 co-stimulation study.	Primary-supported claim: alpha3beta1 is a laminin-511 receptor and the cited primary study shows alpha3beta1-dependent human mast-cell adhesion and migration on laminin-511, with IL-8 co-stimulation measured in the same model. Primary model/assay: human mast cells expressing alpha3beta1, purified laminin-511 substrate, integrin profiling, alpha3-blocking antibody, adhesion, migration and IL-8 assays.	Preserve laminin-511 isoform, alpha3beta1 heterodimer, antibody-blocking and mast-cell context; no purified-affinity constant or SCI inference. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human mast cells expressing alpha3beta1; purified laminin-511 substrate, integrin profiling, alpha3-blocking antibody, adhesion, migration and IL-8 co-stimulation assays	unknown	direct_edge	LITEXP:000150
M21B-LITEXP-4270	M21B-DOWNSTREAM:00078	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE10161	SELE/E-selectin	M21B-E000284	NODE01910	CD44/HCELL					E-selectin-CD44/HCELL binding, rolling and flow-adhesion output	E-selectin-CD44-leukocyte-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000284;M21B-EVID-000227;M21B-DOWNSTREAM-EVID:000149;M21B-DOWNSTREAM-EVID:000150;PMID:11402070;PMID:17442598	M21B-LITEXP-4270	M21B-DOWNSTREAM-EVID:000149	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:11402070; PMID:17442598	Primary CD44/HCELL glycoform, E-selectin binding, rolling and hematopoietic adhesion studies.	Primary-supported claim: CD44/HCELL is an E-selectin ligand and cited primary glycoform and loss-of-function studies support CD44-dependent E-selectin binding, rolling and hematopoietic-cell adhesion under flow. Primary model/assay: human hematopoietic progenitor and endothelial cells plus mouse neutrophil CD44-deficiency/antibody and intravital-flow systems with E-selectin-Ig isolation, glycan analysis, rolling and ligand-function assays.	Preserve CD44/HCELL glycoform identity, sialylated/fucosylated N-glycans, species and cell-state differences and E-selectin flow-adhesion context; no CD44 intracellular relay or SCI inference. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse	Human hematopoietic progenitor and endothelial cells plus mouse neutrophil CD44-deficiency/antibody and intravital-flow systems; E-selectin-Ig isolation, glycan analysis, rolling and ligand-function assays	unknown	direct_edge	LITEXP:000151
M21B-LITEXP-4271	M21B-DOWNSTREAM:00079	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE10161	SELE/E-selectin	M21B-E000285	NODE03383	ESL-1/GLG1					E-selectin-ESL-1 binding, rolling and leukocyte-adhesion output	E-selectin-ESL1-leukocyte-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000285;M21B-EVID-000228;M21B-DOWNSTREAM-EVID:000151;M21B-DOWNSTREAM-EVID:000152;PMID:7531823;PMID:17442598	M21B-LITEXP-4271	M21B-DOWNSTREAM-EVID:000151	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:7531823; PMID:17442598	Primary ESL-1/GLG1 isolation, glycosylation, E-selectin binding and neutrophil rolling studies.	Primary-supported claim: ESL-1/GLG1 is an E-selectin-selective ligand and cited primary recombinant-isolation, fucosylation, antibody-blocking and neutrophil-loss studies support E-selectin binding and leukocyte adhesion. Primary model/assay: mouse myeloid cells and E-selectin-transfected CHO cells with recombinant/fucosylated ESL-1 and mouse neutrophil ESL-1-deficiency/intravital-flow comparators; affinity isolation, adhesion, blocking and rolling assays.	Preserve the ESL-1/GLG1 fucosylated N-glycan requirement, mouse-versus-human ligand differences and selectin flow/rolling context; no FGFR signaling or intracellular ESL-1 relay is inferred. Intracellular continuation and TF remain unresolved.	curated_primary_route	mouse; rat	Mouse myeloid cells and E-selectin-transfected CHO cells with recombinant/fucosylated ESL-1 plus mouse neutrophil ESL-1-deficiency/intravital-flow comparators; affinity isolation, adhesion, blocking and rolling assays	unknown	direct_edge	LITEXP:000152
M21B-LITEXP-4272	M21B-DOWNSTREAM:00080	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01901	CD43/LEUKOSIALIN	M21B-E000287	NODE10161	SELE/E-selectin					Glycosylated CD43-E-selectin binding and leukocyte rolling output	E-selectin-CD43-leukocyte-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000287;M21B-EVID-000230;M21B-DOWNSTREAM-EVID:000153;M21B-DOWNSTREAM-EVID:000154;PMID:16339541;PMID:18714037	M21B-LITEXP-4272	M21B-DOWNSTREAM-EVID:000153	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:16339541; PMID:18714037	Primary CD43 glycoform, E-selectin precipitation and activated-cell/neutrophil rolling studies.	Primary-supported claim: cited glycoform, precipitation and knockout/flow studies show that appropriately glycosylated CD43 can bind E-selectin and contribute to activated T-cell or neutrophil rolling. Primary model/assay: mouse activated T cells and bone-marrow neutrophils, CD43-Ig from glycosyltransferase-expressing CHO cells, E-selectin-Ig precipitation, antibody/deficiency comparisons and intravital flow assays.	Preserve activated-cell glycoform and species context and CD43 antiadhesive-versus-proadhesive distinction; no universal CD43 relay or SCI inference. Intracellular continuation and TF remain unresolved.	curated_primary_route	mouse	Mouse activated T cells and bone-marrow neutrophils, CD43-Ig from glycosyltransferase-expressing CHO cells, E-selectin-Ig precipitation, antibody/deficiency comparisons and intravital flow assays	unknown	direct_edge	LITEXP:000153
M21B-LITEXP-4273	M21B-DOWNSTREAM:00081	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03191	Endoglycan/EG	M21B-E000289	NODE10169	SELP/P-selectin					Endoglycan-P-selectin binding and sialic-acid/fucose-dependent rolling output	P-selectin-endoglycan-leukocyte-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000289;M21B-EVID-000232;M21B-DOWNSTREAM-EVID:000155;PMID:18606703	M21B-LITEXP-4273	M21B-DOWNSTREAM-EVID:000155	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:18606703	Primary endoglycan/P-selectin immunoprecipitation and recombinant flow-adhesion study.	Primary-supported claim: endoglycan is a vascular-selectin ligand and the cited primary study shows immunopurified endoglycan binding P-selectin and recombinant endoglycan supporting sialic-acid/fucose-dependent rolling. Primary model/assay: human B-cell, monocyte, tonsil and recombinant endoglycan systems with P-selectin-Ig immunoprecipitation, recombinant flow adhesion, sialidase/fucosylation and EDTA controls.	Preserve endoglycan sialylation/fucosylation and divalent-cation dependence, P-selectin flow context and distinction from PSGL1; no intracellular relay or SCI inference. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human B-cell, monocyte, tonsil and recombinant endoglycan systems; P-selectin-Ig immunoprecipitation, recombinant flow adhesion, sialidase/fucosylation and EDTA controls	unknown	direct_edge	LITEXP:000154
