review_id	batch_id	batch_rank	regulator_key	regulator_symbol	species_scope	source_registry	source_record_id	raw_tf_symbol	target_symbol	target_graph_modules	candidate_membership_status	exact_pair_search_url	exact_pair_status	regulator_general_evidence_status	target_cell_presence_status	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	disposition	primary_citation	corroborating_citation	regulator_general_primary_citation	regulator_general_corroborating_citation	near_match_exclusions	review_notes	exportable	canonical_write_performed
public_tf_evidence_batch002_r6_10_pair_001	public_tf_evidence_batch_002	6	mxd3	MXD3	human	TFLink	tflink:human:000968:4a959d3229ee	MXD3	ABCA1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22MXD3%22+AND+%22ABCA1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC3393725/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4387021/	ABCA1 promoter work identifies SP1/SP3, E-box, and AP1 elements but not MXD3 (https://pmc.ncbi.nlm.nih.gov/articles/PMC16657/); ACVR1/ACVR1C receptor studies and ACKR2 studies without MXD3 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_002	public_tf_evidence_batch_002	6	mxd3	MXD3	human	TFLink	tflink:human:000968:4a959d3229ee	MXD3	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22MXD3%22+AND+%22ACKR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC3393725/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4387021/	ABCA1 promoter work identifies SP1/SP3, E-box, and AP1 elements but not MXD3 (https://pmc.ncbi.nlm.nih.gov/articles/PMC16657/); ACVR1/ACVR1C receptor studies and ACKR2 studies without MXD3 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_003	public_tf_evidence_batch_002	6	mxd3	MXD3	human	TFLink	tflink:human:000968:4a959d3229ee	MXD3	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22MXD3%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC3393725/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4387021/	ABCA1 promoter work identifies SP1/SP3, E-box, and AP1 elements but not MXD3 (https://pmc.ncbi.nlm.nih.gov/articles/PMC16657/); ACVR1/ACVR1C receptor studies and ACKR2 studies without MXD3 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_004	public_tf_evidence_batch_002	6	mxd3	MXD3	human	TFLink	tflink:human:000968:4a959d3229ee	MXD3	ACVR1C	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22MXD3%22+AND+%22ACVR1C%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC3393725/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4387021/	ABCA1 promoter work identifies SP1/SP3, E-box, and AP1 elements but not MXD3 (https://pmc.ncbi.nlm.nih.gov/articles/PMC16657/); ACVR1/ACVR1C receptor studies and ACKR2 studies without MXD3 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_005	public_tf_evidence_batch_002	7	fezf1	FEZF1	human	TFLink	tflink:human:001254:d0c7732752ee	FEZF1	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22FEZF1%22+AND+%22ACKR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC6218770/	https://pmc.ncbi.nlm.nih.gov/articles/PMC8616448/	FEZF1 developmental and Wnt-target studies did not report the queued targets; ACVR1 promoter studies naming other factors and ACKR2/ACTR2/ACVR1C studies without FEZF1 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_006	public_tf_evidence_batch_002	7	fezf1	FEZF1	human	TFLink	tflink:human:001254:d0c7732752ee	FEZF1	ACTR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22FEZF1%22+AND+%22ACTR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC6218770/	https://pmc.ncbi.nlm.nih.gov/articles/PMC8616448/	FEZF1 developmental and Wnt-target studies did not report the queued targets; ACVR1 promoter studies naming other factors and ACKR2/ACTR2/ACVR1C studies without FEZF1 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_007	public_tf_evidence_batch_002	7	fezf1	FEZF1	human	TFLink	tflink:human:001254:d0c7732752ee	FEZF1	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22FEZF1%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC6218770/	https://pmc.ncbi.nlm.nih.gov/articles/PMC8616448/	FEZF1 developmental and Wnt-target studies did not report the queued targets; ACVR1 promoter studies naming other factors and ACKR2/ACTR2/ACVR1C studies without FEZF1 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_008	public_tf_evidence_batch_002	7	fezf1	FEZF1	human	TFLink	tflink:human:001254:d0c7732752ee	FEZF1	ACVR1C	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22FEZF1%22+AND+%22ACVR1C%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC6218770/	https://pmc.ncbi.nlm.nih.gov/articles/PMC8616448/	FEZF1 developmental and Wnt-target studies did not report the queued targets; ACVR1 promoter studies naming other factors and ACKR2/ACTR2/ACVR1C studies without FEZF1 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_009	public_tf_evidence_batch_002	8	scrt1	SCRT1	human	TFLink	tflink:human:001228:ab71dc417f86	SCRT1	ABCA1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22SCRT1%22+AND+%22ABCA1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC12633387/	https://pmc.ncbi.nlm.nih.gov/articles/PMC2818459/	RIN1/SCRT1 co-expression and general neuronal repression context did not establish the queued pairs; ABCA1, ACVR1, ADAM9, and ADGRB3 studies without SCRT1 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
public_tf_evidence_batch002_r6_10_pair_010	public_tf_evidence_batch_002	8	scrt1	SCRT1	human	TFLink	tflink:human:001228:ab71dc417f86	SCRT1	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22SCRT1%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	none located	none located	https://pmc.ncbi.nlm.nih.gov/articles/PMC12633387/	https://pmc.ncbi.nlm.nih.gov/articles/PMC2818459/	RIN1/SCRT1 co-expression and general neuronal repression context did not establish the queued pairs; ABCA1, ACVR1, ADAM9, and ADGRB3 studies without SCRT1 were excluded.	Regulator-level literature is not evidence for this exact regulator-target-species pair. Database membership, motif-only evidence, co-expression, pathway inference, and cross-species matches were not used for promotion.	false	false
