review_id	batch_id	batch_rank	regulator_key	regulator_symbol	species_scope	source_registry	source_record_id	raw_tf_symbol	target_symbol	target_graph_modules	candidate_membership_status	exact_pair_search_url	exact_pair_status	regulator_general_evidence_status	cell_or_model_context	target_cell_presence_status	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	disposition	primary_citation	corroborating_citation	near_match_exclusions	review_notes	exportable	canonical_write_performed
public_tf_evidence_batch002_pair_061	public_tf_evidence_batch_002	16	znf792	ZNF792	human	TFLink	tflink:human:001269:59de33d81885	ZNF792	A2M	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF792%22+AND+%22A2M%22+AND+human	no_exact_pair_support_found_in_bounded_search	no_qualifying_regulator_literature_located	No qualifying human ZNF792-target cell model was located; broad expression, interaction, and annotation mentions were not treated as functional evidence.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			A2M expression studies and broad ZNF792 co-occurrence/annotation lists; no ZNF792-A2M binding or perturbation assay.	The exact PubMed/PMC search did not produce a qualifying pair paper. TFLink membership remains a search lead only; no target-cell, downstream, or relay claim is inferred.	false	false
public_tf_evidence_batch002_pair_062	public_tf_evidence_batch_002	16	znf792	ZNF792	human	TFLink	tflink:human:001269:59de33d81885	ZNF792	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF792%22+AND+%22ACKR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	no_qualifying_regulator_literature_located	No qualifying human ZNF792-target cell model was located; ACKR2 studies without ZNF792 were excluded.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC11535233/ (HIF1A-ACKR2 promoter regulation, not ZNF792); ACKR2 biology without ZNF792.	No exact regulator-target-species evidence was located in the bounded PubMed/PMC review. No HIF1A or receptor-level evidence was transferred to ZNF792.	false	false
public_tf_evidence_batch002_pair_063	public_tf_evidence_batch_002	16	znf792	ZNF792	human	TFLink	tflink:human:001269:59de33d81885	ZNF792	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF792%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	no_qualifying_regulator_literature_located	No qualifying human ZNF792-target cell model was located; ACVR1 pathway and promoter studies without ZNF792 were excluded.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC10966518/ (PRC2/EZH2 repression of ACVR1, not ZNF792); ACVR1 biology without ZNF792.	No exact regulator-target-species evidence was located in the bounded PubMed/PMC review. Pathway adjacency was not used as TF evidence.	false	false
public_tf_evidence_batch002_pair_064	public_tf_evidence_batch_002	16	znf792	ZNF792	human	TFLink	tflink:human:001269:59de33d81885	ZNF792	ADAM17	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF792%22+AND+%22ADAM17%22+AND+human	no_exact_pair_support_found_in_bounded_search	no_qualifying_regulator_literature_located	No qualifying human ZNF792-target cell model was located; ADAM17 sheddase studies without ZNF792 were excluded.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC3908438/ (PLK2-ADAM17 interaction/activation, not ZNF792); ADAM17 substrate and signaling studies without ZNF792.	No exact regulator-target-species evidence was located in the bounded PubMed/PMC review. Protein interaction or sheddase evidence was not converted into transcriptional regulation.	false	false
public_tf_evidence_batch002_pair_065	public_tf_evidence_batch_002	17	ascl2	ASCL2	human	TFLink	tflink:human:001045:0be97b935eac	ASCL2	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ASCL2%22+AND+%22ACKR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human trophoblast and colorectal cancer cell studies establish ASCL2 expression and transcriptional activity, but no queued ACKR2 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC11535233/ (HIF1A-ACKR2 promoter regulation, not ASCL2); ACKR2 studies without ASCL2.	ASCL2 regulator-level evidence is stored in the separate register and does not establish this exact pair.	false	false
public_tf_evidence_batch002_pair_066	public_tf_evidence_batch_002	17	ascl2	ASCL2	human	TFLink	tflink:human:001045:0be97b935eac	ASCL2	ACKR3	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ASCL2%22+AND+%22ACKR3%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human trophoblast and colorectal cancer cell studies establish ASCL2 expression and transcriptional activity, but no queued ACKR3 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC12705753/ (Osr1-Ackr3, not ASCL2); ACKR3-only studies without ASCL2.	ASCL2 has direct binding and perturbation evidence at CDX2 and other non-queued targets, but that evidence was not transferred to ACKR3.	false	false
public_tf_evidence_batch002_pair_067	public_tf_evidence_batch_002	17	ascl2	ASCL2	human	TFLink	tflink:human:001045:0be97b935eac	ASCL2	ACTR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ASCL2%22+AND+%22ACTR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human trophoblast and colorectal cancer cell studies establish ASCL2 expression and transcriptional activity, but no queued ACTR2 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			ARP2/3-ACTR2 structural and cytoskeletal studies without ASCL2; ASCL2 target studies at other genes.	No exact regulator-target-species evidence was located. ASCL2 general DNA-binding or differentiation activity does not establish ACTR2 regulation.	false	false
public_tf_evidence_batch002_pair_068	public_tf_evidence_batch_002	17	ascl2	ASCL2	human	TFLink	tflink:human:001045:0be97b935eac	ASCL2	ADA	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ASCL2%22+AND+%22ADA%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human trophoblast and colorectal cancer cell studies establish ASCL2 expression and transcriptional activity, but no queued ADA experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			ADA immune/metabolic studies without ASCL2; ASCL2 target studies at other genes.	No exact regulator-target-species evidence was located. Database membership and gene-list co-occurrence were not used for promotion.	false	false
public_tf_evidence_batch002_pair_069	public_tf_evidence_batch_002	18	osr2	OSR2	human	TFLink	tflink:human:001171:5129f1ee7e86	OSR2	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22OSR2%22+AND+%22ACKR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human fibroblast reprogramming/EMT and HEK293 tagged-protein ChIP models establish OSR2 as a regulator, but no queued ACKR2 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC11535233/ (HIF1A-ACKR2 promoter regulation, not OSR2); ACKR2 studies without OSR2.	OSR2/TGF-beta and developmental evidence is regulator- or pathway-level only; it does not establish OSR2-ACKR2.	false	false
public_tf_evidence_batch002_pair_070	public_tf_evidence_batch_002	18	osr2	OSR2	human	TFLink	tflink:human:001171:5129f1ee7e86	OSR2	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22OSR2%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human fibroblast reprogramming/EMT and HEK293 tagged-protein ChIP models establish OSR2 as a regulator, but no queued ACVR1 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC5652858/ (mouse Osr2 ChIP/target studies at non-queued genes); https://pmc.ncbi.nlm.nih.gov/articles/PMC10966518/ (ACVR1 pathway paper without OSR2).	OSR2 developmental/BMP/TGF-beta relationships are not evidence of direct ACVR1 regulation in human cells.	false	false
