expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-1095	M21B-DOWNSTREAM:00470	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE03678	FGL2/sFGL2	M21B-E005623	NODE03548	FCGR2B/FcγRIIB	M21B-E001134	NODE05588	INPP5D/SHIP1						FGL2-FcγRIIB pY292 ITIM-SHIP1 inhibitory signaling output	FCGR2B-ITIM-SHIP1-inhibitory-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-E005623;M21B-E001134;M21B-EVID-005566;M21B-EVID-001077;M21B-DOWNSTREAM-EVID:000826;PMID:9234687	M21B-DOWNSTREAM-EVID:000826	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1095	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Phosphorylated human/murine FcγRIIB1 ITIM peptide and FcγRIIB-deficient or reconstituted B-cell systems with SHIP1 SH2 binding, co-association and inhibitory signaling assays	FGL2-FcγRIIB input; FcγRIIB1 pY292 ITIM-SHIP1 docking; inhibitory B-cell signaling output	no SCI transfer inferred; B-cell and biochemical comparator models only	Promote exact FcγRIIB1 pY292-SHIP1 inhibitory ITIM docking while preserving peptide, co-crosslinking and B-cell context.	Phosphorylated FcγRIIB1 ITIM peptide, FcγRIIB-deficient or reconstituted B-cell systems, SHIP1 SH2 binding and inhibitory signaling assays	inhibitory	composite_primary_evidence	PMID:9234687	Phosphorylated FcγRIIB1 ITIM pY292 binds the SHIP1 SH2 domain and supports inhibitory B-cell signaling; PMID:9234687.	FGL2-FcγRIIB input is linked to the phosphorylated FcγRIIB1 pY292 ITIM-SHIP1 inhibitory branch in biochemical and reconstituted B-cell systems.	No terminal TF, target gene, macrophage function or SCI mechanism is inferred; do not generalize this FcγRIIB branch to other Fc receptors.	curated_primary_route	LITEXP:001095
M21B-LITEXP-1096	M21B-DOWNSTREAM:00471	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE01843	CD274/PD-L1	M21B-E000675	NODE08791	PDCD1/PD-1	M21B-E001135	NODE09450	PTPN11/SHP2						PD-L1-PD-1 pY248 ITSM-SHP2 inhibitory checkpoint output	PD1-ITSM-SHP2-inhibitory-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-E000675;M21B-E001135;M21B-EVID-000618;M21B-EVID-001078;M21B-DOWNSTREAM-EVID:000827;PMID:32184441;PMID:15240681	M21B-DOWNSTREAM-EVID:000827	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1096	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Human and murine PD-1 constructs in Jurkat and COS cells, purified SHP2 SH2 domains and Raji-PD-L1/SEE T-cell cocultures with co-IP, ITC, phosphatase and IL-2 readouts	PD-L1-PD-1 input; phosphorylated PD-1 ITSM pY248-SHP2 docking and activation; inhibitory T-cell signaling output	no SCI transfer inferred; engineered-cell and T-cell comparator models only	Preserve simultaneous TCR/PD-1 ligation, the PD-1 ITSM site and T-cell context; the route does not assign a terminal transcriptional program.	PD-1 ITSM peptides and constructs, SHP2 SH2 binding, co-immunoprecipitation, phosphatase assays and PD-L1/SEE T-cell coculture	inhibitory	composite_primary_evidence	PMID:32184441; PMID:15240681	PD-1 ITSM pY248 is the high-affinity SHP2 docking site and supports inhibitory T-cell signaling; PMID:32184441; PMID:15240681.	PD-L1-PD-1 engagement is linked to the PD-1 ITSM pY248-SHP2 inhibitory branch in biochemical, cellular and T-cell coculture systems.	No terminal TF, target gene or SCI mechanism is inferred; preserve the simultaneous-ligation and T-cell assay boundaries.	curated_primary_route	LITEXP:001096
M21B-LITEXP-1097	M21B-DOWNSTREAM:00516	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE06968	MICA	M21B-E002956	NODE06158	KLRK1/NKG2D	M21B-E001203	NODE09005	PIK3R1/p85						MICA-NKG2D-DAP10 phospho-YINM-p85 PI3K activation output	NKG2D-DAP10-YINM-PI3K-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-E002956;M21B-E001203;M21B-EVID-002899;M21B-EVID-001146;M21B-DOWNSTREAM-EVID:000907;PMID:10426994;PMID:16582911	M21B-DOWNSTREAM-EVID:000907	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1097	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Human and mouse NKG2D-DAP10 receptor systems in NK/T cells with DAP10 motif mutants, p85 association, PI3K/Akt, calcium and cytotoxicity assays	MICA-NKG2D input; DAP10 phospho-YINM-p85 recruitment; PI3K/Akt and cytotoxicity-associated output	no SCI transfer inferred; NK/T-cell comparator models only	Promote the DAP10 phospho-YINM-to-p85 recruitment arm while preserving the NKG2D-DAP10 complex and parallel Grb2/Vav1 arm.	NKG2D-DAP10 motif mutants, p85 association, PI3K/Akt, calcium and cytotoxicity assays	activating	composite_primary_evidence	PMID:10426994; PMID:16582911	Phosphorylated DAP10 YINM recruits the p85 subunit of PI3K in NKG2D-DAP10 complexes and supports NK activation; PMID:10426994; PMID:16582911.	MICA-NKG2D engagement is linked to the DAP10 phospho-YINM-p85 PI3K/Akt branch in human and mouse NK/T-cell systems.	No terminal TF, target gene or SCI function is inferred; overlapping p85 and Grb2 recruitment must not be flattened into independent simultaneous motif occupancy.	curated_primary_route	LITEXP:001097
M21B-LITEXP-1098	M21B-DOWNSTREAM:00517	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE06968	MICA	M21B-E002956	NODE06158	KLRK1/NKG2D	M21B-E001204	NODE04426	GRB2						MICA-NKG2D-DAP10 phospho-YINM-Grb2/Vav1 activation output	NKG2D-DAP10-YINM-Grb2-Vav1-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-E002956;M21B-E001204;M21B-EVID-002899;M21B-EVID-001147;M21B-DOWNSTREAM-EVID:000909;PMID:16582911;PMID:16887996	M21B-DOWNSTREAM-EVID:000909	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1098	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Human and mouse NKG2D-DAP10 receptor systems in primary and transformed NK cells with DAP10 motif mutants, Grb2/Vav1 association, calcium, cytotoxicity and synapse readouts	MICA-NKG2D input; DAP10 phospho-YINM-Grb2/Grb2-Vav1 recruitment; calcium and cytotoxicity-associated output	no SCI transfer inferred; NK-cell comparator models only	Promote the DAP10 phospho-YINM-to-Grb2/Grb2-Vav1 recruitment arm and preserve its overlap with the p85 arm.	NKG2D-DAP10 motif mutants, Grb2/Vav1 association, PI3K/Akt, calcium, cytotoxicity and immune-synapse assays	activating	composite_primary_evidence	PMID:16582911; PMID:16887996	Phosphorylated DAP10 YINM recruits Grb2 and a Grb2-Vav1 intermediate in NK cells, supporting calcium and cytotoxicity; PMID:16582911; PMID:16887996.	MICA-NKG2D engagement is linked to the DAP10 phospho-YINM-Grb2/Grb2-Vav1 branch in NK-cell motif, association and functional assays.	No terminal TF, target gene or SCI function is inferred; Grb2/Vav1 is an intermediate complex and the overlapping p85 and Grb2 arms are not asserted as independent simultaneous events.	curated_primary_route	LITEXP:001098
M21B-LITEXP-1099	M21B-DOWNSTREAM:00518	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE02035	CEACAM1	M23B-E000122	NODE02036	CEACAM1 homophilic complex	M21B-E001207	NODE09466	PTPN6/SHP1						CEACAM1 homophilic complex CEACAM1-L dual-ITIM-SHP1 inhibitory TCR output	CEACAM1-L-ITIM-SHP1-inhibitory-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M23B-E000122;M21B-E001207;M23B-EVID-000190;M21B-EVID-001150;M21B-DOWNSTREAM-EVID:000911;PMID:18424730	M21B-DOWNSTREAM-EVID:000911	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1099	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human TALL/Jurkat and primary T-cell or intestinal intraepithelial lymphocyte systems with CEACAM1-L crosslinking, ITIM mutants, SHP1 depletion, ZAP70/CD3ζ phosphorylation and cytolysis assays	CEACAM1 homophilic input; CEACAM1-L dual-ITIM-SHP1 recruitment; proximal TCR signaling and cytolysis output	no SCI transfer inferred; human T-cell comparator models only	Preserve both CEACAM1-L ITIMs as a site-set and the human T-cell crosslinking context.	CEACAM1-L crosslinking, ITIM mutants, SHP1 depletion, ZAP70/CD3ζ phosphorylation and cytolysis assays	inhibitory	composite_primary_evidence	PMID:18424730	CEACAM1-L ITIMs recruit SHP1 and inhibit proximal TCR signaling and cytolysis; PMID:18424730.	CEACAM1 homophilic engagement is linked to the CEACAM1-L dual-ITIM-SHP1 inhibitory TCR-proximal branch in human T-cell systems.	No terminal TF, target gene or SCI function is inferred; do not generalize this site-set or crosslinking result to all CEACAM1 contexts.	curated_primary_route	LITEXP:001099
M21B-LITEXP-1100	M21B-DOWNSTREAM:00524	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|gene_expression_or_transcription	transcription_factor|target_gene_expression	source_supported	NODE04737	HLA-Cw3/beta2m/peptide complex	M21B-E003117	NODE06103	KIR2DL2/CD158b	M21B-E001215	NODE09466	PTPN6/SHP1						HLA-Cw3-KIR inhibitory ITIM-SHP1 NK inhibitory output	KIR-inhibitory-ITIM-SHP1-relay	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E003117;M21B-E001215;M21B-EVID-003060;M21B-EVID-001158;M21B-DOWNSTREAM-EVID:000929;PMID:9916713	M21B-DOWNSTREAM-EVID:000929	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1100	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human	Human inhibitory-KIR mutant and phosphopeptide systems with vaccinia-mediated expression in NK cells, SHP1 immunoprecipitation and antibody-dependent cellular cytotoxicity assays	HLA-Cw3-KIR input; membrane-proximal inhibitory-KIR ITIM-SHP1 association; NK cytotoxicity inhibition output	no SCI transfer inferred; human NK comparator models only	Retain a family-level inhibitory-KIR ITIM-SHP1 branch anchored to the HLA-Cw3-KIR2DL2 input without assigning a single universal KIR residue or terminal transcriptional program.	Inhibitory-KIR mutants and phosphopeptides, SHP1 immunoprecipitation, NK expression and antibody-dependent cellular cytotoxicity assays	inhibitory	composite_primary_evidence	PMID:9916713	The membrane-proximal inhibitory-KIR ITIM is required for SHP1 association and NK cytotoxicity inhibition; PMID:9916713.	HLA-Cw3-KIR2DL2 input is linked to the membrane-proximal inhibitory-KIR ITIM-SHP1 branch in human NK-cell mutant, binding and cytotoxicity assays.	No terminal TF, target gene or SCI function is inferred; preserve the family-level KIR evidence and membrane-proximal ITIM dominance.	curated_primary_route	LITEXP:001100
M21B-LITEXP-1101	M21B-DOWNSTREAM:00525	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE04744	HLA-G1/HLA-G5	M21B-E002844	NODE06107	KIR2DL4/CD158d	M21B-E001216	NODE09450	PTPN11/SHP2						HLA-G-KIR2DL4 single-ITIM-SHP2 inhibitory NK output	KIR2DL4-single-ITIM-SHP2-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-E002844;M21B-E001216;M21B-EVID-002787;M21B-EVID-001159;M21B-DOWNSTREAM-EVID:000930;PMID:11994457	M21B-DOWNSTREAM-EVID:000930	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1101	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human KIR2DL4 and KIR3DL1 retroviral NK-cell systems with single-ITIM mutants, phosphopeptide binding and natural-cytotoxicity assays	HLA-G-KIR2DL4 input; KIR2DL4 single-ITIM-SHP2 association; inhibitory cytotoxicity-control output	no SCI transfer inferred; human NK comparator models only	Preserve the atypical KIR2DL4 single-ITIM context and its partial SHP1- and phosphotyrosine-independent inhibitory behavior.	KIR2DL4 and KIR3DL1 retroviral expression, single-ITIM mutants, phosphopeptide binding and natural-cytotoxicity assays	inhibitory	composite_primary_evidence	PMID:11994457	The phosphorylated KIR2DL4 single ITIM recruits SHP2 and contributes to inhibitory cytotoxicity control; PMID:11994457.	HLA-G-KIR2DL4 engagement is linked to a single-ITIM-SHP2 inhibitory branch in human NK-cell receptor and phosphopeptide assays.	No terminal TF, target gene or SCI function is inferred; do not treat KIR2DL4 as a canonical inhibitory KIR or generalize its branch to all KIR receptors.	curated_primary_route	LITEXP:001101
M21B-LITEXP-1102	M21B-DOWNSTREAM:00829	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE02337	COL1A1/collagen I	M21B-E000530	NODE06187	LAIR1	M21B-E001922	NODE09450	PTPN11/SHP2						Collagen I-LAIR1 phosphorylated-tail-SHP2 inhibitory output	LAIR1-ITIM-ITSM-SHP2-inhibitory-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-E000530;M21B-E001922;M21B-EVID-000473;M21B-EVID-001865;M21B-DOWNSTREAM-EVID:001367;PMID:15100296	M21B-DOWNSTREAM-EVID:001367	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1102	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse	Mouse LAIR-1 expressed in stably transfected RBL-2H3 and YT.2C2 cells with pervanadate-induced tail phosphorylation, SHP2 recruitment, receptor crosslinking, degranulation and cytotoxicity inhibition assays	Collagen I-LAIR1 input; phosphorylated LAIR1 ITIM/ITSM-tail-SHP2 recruitment; inhibitory degranulation/cytotoxicity output	no SCI transfer inferred; mouse immune comparator models only	Preserve the mouse LAIR-1 species distinction and phosphorylated-tail context; do not assign human LAIR-1 equivalence.	Pervanadate-induced tail phosphorylation, SHP2 recruitment, LAIR1 crosslinking, degranulation and cytotoxicity assays	inhibitory	composite_primary_evidence	PMID:15100296	Phosphorylated mouse LAIR-1 tail recruits SHP2 and supports inhibitory receptor function; PMID:15100296.	Collagen I-LAIR1 input is linked to the phosphorylated LAIR1 tail-SHP2 inhibitory branch in mouse receptor-expression and immune-cell assays.	No terminal TF, target gene or SCI function is inferred; the primary reports mouse LAIR-1 SHP2 recruitment and not human LAIR-1 equivalence or a single-site assignment.	curated_primary_route	LITEXP:001102
M21B-LITEXP-1103	M21B-DOWNSTREAM:00846	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|gene_expression_or_transcription	transcription_factor|target_gene_expression	source_supported	NODE01389	BST2/CD317	M21B-E001953	NODE05527	ILT7/LILRA4	M21B-E001952	NODE03533	FCER1G/FcRgamma						BST2-ILT7-FcRγ plasmacytoid-dendritic-cell IFN regulation output	ILT7-FcRgamma-pDC-regulatory-relay	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E001953;M21B-E001952;M21B-EVID-001896;M21B-EVID-001895;M21B-DOWNSTREAM-EVID:001402;PMID:18048391;DOI:10.1093/intimm/dxm127	M21B-DOWNSTREAM-EVID:001402	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1103	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human	Human primary plasmacytoid dendritic cells with ILT7/FcεRIγ co-expression and receptor-surface assays, expression analysis, antibody crosslinking and CpG-stimulated IFN-α readouts	BST2-ILT7 input; FcRγ adaptor-associated ILT7 surface/signaling layer; pDC type-I-IFN regulatory output	no SCI transfer inferred; human pDC comparator model only	Preserve human ILT7/LILRA4 and FcRγ pDC context; the route establishes adaptor-dependent surface expression and antibody-regulated IFN output rather than a physiological ligand-to-TF mechanism.	ILT7/FcεRIγ co-expression, surface assays, antibody crosslinking and CpG-stimulated IFN-α measurements in primary human pDCs	unknown	composite_primary_evidence	PMID:18048391; DOI:10.1093/intimm/dxm127	Human ILT7 is FcεRIγ-associated and antibody-regulated ILT7 signaling alters type-I-IFN production in pDCs; PMID:18048391.	BST2-ILT7 input is linked to an FcRγ-associated pDC receptor layer with IFN-α regulatory readouts in primary human pDCs.	No terminal TF, target gene or SCI mechanism is inferred; the primary does not establish a physiological ligand-specific downstream transcriptional chain.	curated_primary_route	LITEXP:001103
M21B-LITEXP-1104	M21B-DOWNSTREAM:00857	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE02035	CEACAM1	M23B-E000122	NODE02036	CEACAM1 homophilic complex	M21B-E001971	NODE09450	PTPN11/SHP2						CEACAM1 homophilic complex CEACAM1-L ITIM-SHP2 recruitment output	CEACAM1-L-ITIM-SHP2-recruitment-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M23B-E000122;M21B-E001971;M23B-EVID-000190;M21B-EVID-001914;M21B-DOWNSTREAM-EVID:001416;PMID:19948503	M21B-DOWNSTREAM-EVID:001416	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1104	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human CEACAM1-L-expressing cellular monolayers with homophilic adhesion, CEACAM1 oligomerization, phosphotyrosine-dependent co-immunoprecipitation and SHP2/c-Src recruitment assays	CEACAM1 homophilic input; CEACAM1-L pY493/pY520 site-set-SHP2 recruitment; cellular adhesion-associated signaling output	no SCI transfer inferred; human cellular-monolayer comparator model only	Use the CEACAM1-L pY493/pY520 site-set and oligomeric-state-dependent recruitment only; preserve isoform and monolayer context.	CEACAM1-L homophilic adhesion, oligomerization, phosphotyrosine-dependent co-immunoprecipitation and SHP2/c-Src recruitment assays	unknown	composite_primary_evidence	PMID:19948503	CEACAM1-L ITIM phosphorylation supports phosphotyrosine-dependent SHP2 recruitment in cellular monolayers; PMID:19948503.	CEACAM1 homophilic engagement is linked to the CEACAM1-L pY493/pY520 site-set-SHP2 recruitment branch in human monolayer assays.	No terminal TF, target gene or SCI function is inferred; do not generalize oligomeric-state-dependent SHP2 recruitment to all CEACAM1 isoforms or contexts.	curated_primary_route	LITEXP:001104
