transition_id	source_form_id	target_form_id	source_node_id	target_node_id	source_form_type	target_form_type	transition_type	relation_type	traversal_status	causal_status	evidence_status	source_label	target_label	evidence_ids	notes
TRN:00001	GENE:NODE01290	PROTEIN:NODE01290	NODE01290	NODE01290	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Bmp2	Bmp2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00002	GENE:NODE02339	PROTEIN:NODE02339	NODE02339	NODE02339	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Col1a2	Col1a2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00003	GENE:NODE03830	PROTEIN:NODE03830	NODE03830	NODE03830	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	FST	FST		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00004	GENE:NODE05275	PROTEIN:NODE05275	NODE05275	NODE05275	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	IL10	IL10		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00005	GENE:NODE05502	PROTEIN:NODE05502	NODE05502	NODE05502	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Il6	Il6		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00006	GENE:NODE10654	PROTEIN:NODE10654	NODE10654	NODE10654	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Sst	Sst		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00007	GENE:NODE11699	PROTEIN:NODE11699	NODE11699	NODE11699	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Vegfa	Vegfa		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00008	GENE:NODE05502	PROTEIN:NODE05223	NODE05502	NODE05223	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Il6	IL-6		Explicit register-label mapping between the IL6 target-gene form and the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00009	GENE:NODE05504	PROTEIN:NODE05223	NODE05504	NODE05223	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL6 inflammatory target gene	IL-6		Explicit register-label mapping from the IL6 inflammatory target-gene label to the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00010	GENE:NODE01186	PROTEIN:NODE01176	NODE01186	NODE01176	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Bdnf promoter IV	Bdnf		Explicit mapping from the Bdnf promoter-IV target-gene label to the BDNF ligand form; this does not assert expression, translation, secretion, transport, or receptor activation.
TRN:00011	GENE:NODE05359	PROTEIN:NODE05358	NODE05359	NODE05358	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL1B (pro-IL-1β)	Il1b		Explicit mapping from the IL1B/pro-IL-1β target-gene label to the IL-1β ligand form; maturation, secretion, transport, and receptor activation remain conditional on output evidence.
TRN:00012	GENE:NODE10983	PROTEIN:NODE10978	NODE10983	NODE10978	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Tgfb1 promoter	Tgfb1		Explicit mapping from the Tgfb1 promoter target-gene label to the TGFB1 ligand form; this does not assert expression, latent complex processing, secretion, activation, or receptor binding.
TRN:00013	GENE:NODE10271	PROTEIN:NODE10270	NODE10271	NODE10270	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Shh MACS1 long-range enhancer	Shh		Explicit mapping from the Shh MACS1 enhancer target-gene label to the SHH ligand form; this does not assert expression, processing, secretion, transport, or receptor activation.
