b_edge_id	source_entity	relation_type	target_entity	pathway_name	evidence_layer	source_a_edge_id	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	exportable	consolidation_note
M24B-E000001	foam-cell lipid accumulation	increases	C1q	lipid-debris-complement signaling	downstream_or_functional	M24A-E001	reviewed_first_pass	SCI plus BMDM context	foam-cell macrophages and lesion microglia	synaptic/lesion compartment	mouse	T10 forceps-clamp SCI	high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000002	C1q	promotes	synaptic engulfment	complement-linked synaptic loss	downstream_or_functional	M24A-E002	reviewed_first_pass	SCI synaptic engulfment	lesion microglia and synaptic compartment	synapse/lesion compartment	mouse	T10 forceps-clamp SCI	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000003	myelin debris	engages	TREM2	debris-sensor PI3K-AKT/DAM relay	ligand_receptor_or_direct_molecular	M24A-E003	reviewed_first_pass	early versus prolonged TREM2 activation	microglia/macrophages	debris and lesion compartment	mouse	T10 crush SCI	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000004	extracellular ATP	activates	P2X7R	purinergic excitotoxicity	ligand_receptor_or_direct_molecular	M24A-E004	reviewed_first_pass	acute SCI pharmacology	spinal neurons and peritraumatic tissue	plasma membrane and lesion	rat	impact SCI	medium	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000005	P2X7R	promotes	microglial/gliotic inflammation	purinergic secondary injury	downstream_or_functional	M24A-E005	reviewed_first_pass	systemic Brilliant Blue G intervention	microglia, astrocytes, neutrophils	lesion and inflammatory compartment	rat	thoracic weight-drop SCI	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000006	P2Y12R	promotes	CD39/CD73-adenosine-A1R relay	purinergic repair relay	receptor_proximal_or_pathway	M24A-E006	reviewed_first_pass	co-culture, ex vivo, and in-vivo nanoparticle context	microglia and neurons	microglia-neuron interface	mouse	T10 contusion SCI	high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000007	P2Y12R/adenosine	promotes	PINK1/Parkin/LC3 neuronal mitophagy	purinergic mitochondrial repair	downstream_or_functional	M24A-E007	reviewed_first_pass	P2Y12R restoration and pathway blockade	neurons and microglia	microglia-neuron interface and injured cord	mouse	T10 contusion SCI	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000008	extracellular traps/LL37	engages	P2X7R-NF-kB inflammatory relay	trap-mediated purinergic inflammation	receptor_proximal_or_pathway	M24A-E008	reviewed_first_pass	DNase I intervention plus human association	macrophages/microglia and human serum comparator	extracellular trap and cell-surface compartment	rat; human comparator	T10 contusion SCI	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000009	LTB4	activates	BLT1	LTB4-BLT1 neutrophil recruitment	ligand_receptor_or_direct_molecular	M24A-E009	reviewed_first_pass	BLT1 knockout and inflammatory assays	neutrophils, leukocytes, neuronal co-culture	vascular/lesion compartment	mouse	traumatic SCI	high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M24B-E000010	5-LO products/LTB4/PGE2	modulates	CysLT1-linked inflammatory injury	leukotriene/eicosanoid pharmacology	downstream_or_functional	M24A-E010	reviewed_first_pass	zileuton/montelukast pharmacology	neutrophils and injured spinal tissue	lesion/vascular compartment	mouse	T6-T7 clip-compression SCI	medium-high	P2	true	Direct, pathway, program, and functional layers remain distinct.
