b_evidence_id	source_a_evidence_id	b_edge_ids	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations	evidence_layer	exportable	consolidation_note
M24B-EVID-000001	M24A-B001-EVID-001	M24B-E000001;M24B-E000002	primary_research_paper	PMID:41390852; PMCID:PMC12717188	primary_experiment	mouse	contextual_support	high	Peng et al.; primary SCI lipid-complement mechanism	Foam-cell lipid accumulation increased C1q and pathological synaptic engulfment; lipid lowering and C1q blockade preserved synapses and improved motor recovery.	C1q receptor was not isolated; C1q cellular source requires cell-specific validation; bazedoxifene target specificity unresolved.	contextual_or_unresolved	true	A-layer evidence retained without directness promotion.
M24B-EVID-000002	M24A-B001-EVID-002	M24B-E000003	primary_research_paper	PMID:41660680; PMCID:PMC12884443	primary_experiment	mouse	contextual_support	medium-high	Wu et al.; primary SCI debris-sensor study	TREM2 loss impaired myelin-debris engulfment/degradation and PI3K/AKT-linked DAM activation; activation was beneficial early but harmful when prolonged.	No purified debris-TREM2 binding assay; timing is bidirectional and chronic activation increased fibrosis/inflammation.	contextual_or_unresolved	true	A-layer evidence retained without directness promotion.
M24B-EVID-000003	M24A-B001-EVID-003	M24B-E000013	primary_research_paper	PMID:34993473; PMCID:PMC8728726; DOI:10.1093/braincomms/fcab271	primary_experiment	human; mouse; rat	contextual_support	medium-high	Siddiq et al.; primary histone-DAMP study	Extracellular histone H3 inhibited neurite growth through TLR2/YB-1-associated signaling and activated protein C reversed the inhibitory effect in comparator systems.	APC benefit was not shown through PAR1; coagulation cascade was not measured; optic-nerve rescue is not direct traumatic-SCI treatment.	contextual_or_unresolved	true	A-layer evidence retained without directness promotion.
M24B-EVID-000004	M24A-B001-EVID-004	M24B-E000009	primary_research_paper	PMID:20304963; PMCID:PMC2861100	primary_experiment	mouse	direct_edge	high	Saiwai et al.; LTB4-BLT1 axis study	The LTB4-BLT1 axis amplified neutrophil recruitment and secondary injury after SCI; BLT1 loss altered inflammatory and recovery-associated outcomes.	Neutrophils also contribute to repair; BLT1 is an amplification factor rather than the sole recruitment route.	ligand_receptor_or_direct_molecular	true	A-layer evidence retained without directness promotion.
M24B-EVID-000005	M24A-B001-EVID-005	M24B-E000010	primary_research_paper	PMID:18059327; PMCID:PMC2241786	primary_experiment	mouse	pathway_membership	medium-high	Genovese et al.; 5-LO/leukotriene pharmacology after SCI	Zileuton and montelukast reduced lipid mediator-associated inflammation, neutrophil activity, tissue injury, and locomotor deficits.	Pharmacology does not isolate all 5-LO metabolites or prove an endogenous ligand-receptor edge; early mouse model only.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
M24B-EVID-000006	M24A-B001-EVID-006	M24B-E000011	primary_research_paper	PMID:32964315; DOI:10.1007/s12035-020-02118-7	primary_experiment	mouse	contextual_support	medium	Kim et al.; resolvin D3 SCI study	RvD3 promoted inflammatory resolution and neuroprotection after SCI.	Receptor-level assignment was not established in the local extraction; downstream function cannot be promoted to a direct receptor edge.	downstream_or_functional	true	A-layer evidence retained without directness promotion.
M24B-EVID-000007	M24A-B001-EVID-007	M24B-E000012	primary_research_paper	PMID:37446149; PMCID:PMC10341423	primary_experiment	rat	contextual_support	medium	Jeong et al.; RvD1 co-therapy study	RvD1 co-administration reduced inflammatory signals and supported regenerative outcomes in a combination treatment context.	Effect cannot be assigned to RvD1 alone; no receptor or proximal-relay dissection.	downstream_or_functional	true	A-layer evidence retained without directness promotion.
M24B-EVID-000008	M24A-B001-EVID-008	M24B-E000004	primary_research_paper	PMID:15258577; DOI:10.1038/nm1082	primary_experiment	rat	direct_edge	medium	Wang et al.; primary P2X7R SCI pharmacology	Sustained extracellular ATP and P2X7R antagonism were associated with calcium overload, neuronal death, histological injury, and functional deficits.	Abstract-level local extraction; PPADS is not P2X7-specific and direct receptor selectivity is bounded.	ligand_receptor_or_direct_molecular	true	A-layer evidence retained without directness promotion.
M24B-EVID-000009	M24A-B001-EVID-009	M24B-E000005	primary_research_paper	PMCID:PMC2718350	primary_experiment	rat	pathway_membership	medium-high	Systemic P2X7 antagonist study; species corrected from the Module18A row	Brilliant Blue G reduced microglial/astrocyte activation, neutrophil infiltration, tissue loss, and motor deficits after traumatic SCI.	Species discrepancy in the local Module18A row; Brilliant Blue G has multiple cellular targets and is not cell-specific.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
M24B-EVID-000010	M24A-B001-EVID-010	M24B-E000006;M24B-E000007	primary_research_paper	PMID:42002569; PMCID:PMC13221473; DOI:10.1038/s41419-026-08596-2	primary_experiment	mouse	pathway_membership	high	Tian et al.; primary P2Y12R dual-targeting study	P2Y12R restoration increased CD39/CD73-mediated ATP-to-adenosine conversion and neuronal mitophagy; blockade attenuated protection and treatment improved lesion, axon/myelin, and locomotor outcomes.	Nanoparticle targeting, cargo, ROS responsiveness, and receptor restoration confound attribution; direct ATP-P2Y12 binding is not claimed.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
