route_evidence_id	route_status	route_tier	path_expression	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_queue_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope
ROUTE:00001	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IL1R2-soluble-decoy	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000077	M21B-DOWNSTREAM:02266	M21B-DOWNSTREAM-EVID:003632	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02266	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	human	Recombinant human IL-1alpha, soluble type-II IL-1 receptor, and soluble accessory protein; binding-affinity measurements	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00002	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IL1R2-soluble-decoy	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000078	M21B-DOWNSTREAM:02267	M21B-DOWNSTREAM-EVID:003633	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02267	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	human	Recombinant human IL-1beta, soluble type-II IL-1 receptor, and soluble accessory protein; accessory protein increased IL-1beta binding to sIL1R2	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00003	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				CCL19-ACKR4-scavenging	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000205	M21B-DOWNSTREAM:02276	M21B-DOWNSTREAM-EVID:003642	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02276	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	mouse	mouse keratinocyte and dermal lymphatic-endothelial stromal cells; ACKR4-dependent chemokine scavenging in situ, Ackr4-deficient mice, Ccl19 genetic rescue, and APC egress/lymph-node trafficking	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00004	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				CCL21-ACKR4-scavenging	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000206	M21B-DOWNSTREAM:02277	M21B-DOWNSTREAM-EVID:003643	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02277	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	mouse	mouse barrier-tissue and lymphatic-endothelial systems; soluble and immobilized CCL21 uptake/scavenging, Ackr4-deficient mice, and peripheral dendritic-cell emigration	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00005	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				PDGFRB-pY1021-CBLB-trafficking	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000963	M21B-DOWNSTREAM:02407	M21B-DOWNSTREAM-EVID:003776	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02407	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	as stated in primary model/assay	PDGF-BB-stimulated AG01523 and BJ-hTERT fibroblasts; Cbl/Cbl-b depletion, receptor ubiquitination, internalization and chemotaxis assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00006	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				MET-pY1356-GRB2	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000973	M21B-DOWNSTREAM:02409	M21B-DOWNSTREAM-EVID:003778	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02409	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	rat	Rat/mammalian Met receptor and 3T3-cell transformation/motility systems; site-directed Met mutants, synthetic phosphopeptides and Grb2 association/function assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00007	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IFNAR1-YVFF-AP2M1-trafficking	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000989	M21B-DOWNSTREAM:02410	M21B-DOWNSTREAM-EVID:003779	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02410	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	as stated in primary model/assay	293T cells expressing IFNAR1/TYK2/AP50 with motif-mutant and masking/internalization assays; IFNAR1 trafficking readouts	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00008	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IFNAR1-pY466-PTPN1-trafficking	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000990	M21B-DOWNSTREAM:02411	M21B-DOWNSTREAM-EVID:003780	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02411	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	human; mouse	293T, 2fTGH and Huh7.5 cells with human/mouse-human chimeric IFNAR1 systems; PTP1B RNAi/inhibitor, co-IP/pulldown, dephosphorylation, Y466-dependent internalization and viral readouts	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00009	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				RET51-pY1096-GRB2	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000994	M21B-DOWNSTREAM:02413	M21B-DOWNSTREAM-EVID:003782	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02413	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	as stated in primary model/assay	RET/PTC2 short and long isoform systems, synthetic phosphopeptide inhibition, RET Y620F (= proto-RET Y1096) mutagenesis, Grb2 coimmunoprecipitation and transformation assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
ROUTE:00010	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				FLT3-pY955-GADS	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-001003	M21B-DOWNSTREAM:02414	M21B-DOWNSTREAM-EVID:003783	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02414	mechanism_evidence_v1	supports	not_evaluated	unresolved	unknown	as stated in primary model/assay	Ligand-stimulated wild-type FLT3 and FLT3-ITD hematopoietic/AML systems, FLT3 phosphosite mapping, GADS SH2-domain/phosphopeptide binding and receptor-mutant signaling assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	direct_edge
