review_id	pair_key	pair_label_canonical	review_priority	review_priority_rationale	original_confidence	search_status	last_worker_verdict	source_locators	support_kind	evidence_summary	limitations	disposition	decision_basis
M20A-CELLCHAT-REMAINING-0208	bag6 ncr3-ps	Bag6 Ncr3-ps	8	cellchat_remaining_discovery	low	completed_final_adjudication	reject_pair	https://pubmed.ncbi.nlm.nih.gov/?term=bag6%20ncr3-ps;https://europepmc.org/search?query=bag6%20ncr3-ps	wrong or nonfunctional submitted relationship	The submitted Bag6 Ncr3-ps relationship is not supported as a valid exact ligand-receptor pair: the receptor is a pseudogene/non-ligand partner or the evidence points to a different cognate relationship.	Evidence for a nearby family or different partner cannot be transferred; the submitted relationship is not a supported exact ligand-receptor interaction.	not_ligand_receptor	Expanded search classified the submitted relationship as wrong-pair or non-ligand-receptor.
M20A-CELLCHAT-REMAINING-0233	cadm3 epb41l1	Cadm3 Epb41l1	8	cellchat_remaining_discovery	low	completed_final_adjudication	reject_pair	https://pubmed.ncbi.nlm.nih.gov/?term=cadm3%20epb41l1;https://europepmc.org/search?query=cadm3%20epb41l1;https://pubmed.ncbi.nlm.nih.gov/?term=cell+adhesion+cadm3%20epb41l1	wrong or nonfunctional submitted relationship	The submitted Cadm3 Epb41l1 relationship is not supported as a valid exact ligand-receptor pair: the receptor is a pseudogene/non-ligand partner or the evidence points to a different cognate relationship.	Evidence for a nearby family or different partner cannot be transferred; the submitted relationship is not a supported exact ligand-receptor interaction.	not_ligand_receptor	Expanded search classified the submitted relationship as wrong-pair or non-ligand-receptor.
M20A-CELLCHAT-REMAINING-0255	ccl27a ccr3	Ccl27a Ccr3	2	cellchat_priority_signaling	low	completed_final_adjudication	reject_pair	https://pubmed.ncbi.nlm.nih.gov/?term=ccl27a%20ccr3;https://europepmc.org/search?query=ccl27a%20ccr3;https://pmc.ncbi.nlm.nih.gov/articles/PMC6120486/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4448619/	wrong or nonfunctional submitted relationship	The submitted Ccl27a Ccr3 relationship is not supported as a valid exact ligand-receptor pair: the receptor is a pseudogene/non-ligand partner or the evidence points to a different cognate relationship.	Evidence for a nearby family or different partner cannot be transferred; the submitted relationship is not a supported exact ligand-receptor interaction.	not_ligand_receptor	Expanded search classified the submitted relationship as wrong-pair or non-ligand-receptor.
M20A-CELLCHAT-REMAINING-0388	ctsg pard3	Ctsg Pard3	8	cellchat_remaining_discovery	low	completed_final_adjudication	reject_pair	https://pubmed.ncbi.nlm.nih.gov/?term=Ctsg%20Pard3; https://europepmc.org/search?query=Ctsg%20Pard3; https://pubmed.ncbi.nlm.nih.gov/?term=CTSG+PARD3	wrong receptor identity	PARD3 is a polarity/scaffold protein, not PAR3/F2RL2; the submitted Ctsg–Pard3 relationship is a gene-symbol/receptor identity error.	PAR3 is encoded by F2RL2, whereas PARD3 is a non-receptor polarity protein.	not_ligand_receptor	Expanded search classified the submitted relationship as wrong-pair or non-ligand-receptor.
M20A-CELLCHAT-REMAINING-0456	f2 pard3	F2 Pard3	8	cellchat_remaining_discovery	low	completed_final_adjudication	reject_pair	https://pubmed.ncbi.nlm.nih.gov/?term=F2%20Pard3; https://europepmc.org/search?query=F2%20Pard3; https://pubmed.ncbi.nlm.nih.gov/?term=F2+PARD3	wrong receptor identity	PARD3 is a polarity/tight-junction scaffold, not protease-activated receptor PAR3/F2RL2; thrombin/F2 evidence cannot be transferred to PARD3.	The submitted receptor symbol is not a ligand receptor.	not_ligand_receptor	Expanded search classified the submitted relationship as wrong-pair or non-ligand-receptor.
M20A-CELLCHAT-REMAINING-0557	gaba-gad1_slc6a13 gabr_a3b3e	GABA-GAD1_SLC6A13 GABR_A3B3E	8	cellchat_remaining_discovery	uncertain	completed_final_manual_adjudication	non_ligand_receptor	NA	invalid composite ligand notation	The submitted ligand token combines GABA with GAD and vesicular/transporter gene symbols; it is not the exact ligand entity used in GABA receptor assays.	GABA is the relevant transmitter, but the composite token was not substituted or promoted.	not_ligand_receptor	Focused manual re-review classified the submitted relationship as invalid ligand-receptor notation or wrong relationship.
M20A-CELLCHAT-REMAINING-0558	gaba-gad1_slc6a13 gabr_a3b3g2	GABA-GAD1_SLC6A13 GABR_A3B3G2	8	cellchat_remaining_discovery	uncertain	completed_final_manual_adjudication	non_ligand_receptor	NA	invalid composite ligand notation	The submitted ligand token combines GABA with GAD and vesicular/transporter gene symbols; it is not the exact ligand entity used in GABA receptor assays.	GABA is the relevant transmitter, but the composite token was not substituted or promoted.	not_ligand_receptor	Focused manual re-review classified the submitted relationship as invalid ligand-receptor notation or wrong relationship.
M20A-CELLCHAT-REMAINING-0559	gaba-gad1_slc6a13 gabr_a3b3q	GABA-GAD1_SLC6A13 GABR_A3B3Q	8	cellchat_remaining_discovery	uncertain	completed_final_manual_adjudication	non_ligand_receptor	NA	invalid composite ligand notation	The submitted ligand token combines GABA with GAD and vesicular/transporter gene symbols; it is not the exact ligand entity used in GABA receptor assays.	GABA is the relevant transmitter, but the composite token was not substituted or promoted.	not_ligand_receptor	Focused manual re-review classified the submitted relationship as invalid ligand-receptor notation or wrong relationship.
M20A-CELLCHAT-REMAINING-0560	gaba-gad1_slc6a13 gabr_a4b2d	GABA-GAD1_SLC6A13 GABR_A4B2D	8	cellchat_remaining_discovery	uncertain	completed_final_manual_adjudication	non_ligand_receptor	NA	invalid composite ligand notation	The submitted ligand token combines GABA with GAD and vesicular/transporter gene symbols; it is not the exact ligand entity used in GABA receptor assays.	GABA is the relevant transmitter, but the composite token was not substituted or promoted.	not_ligand_receptor	Focused manual re-review classified the submitted relationship as invalid ligand-receptor notation or wrong relationship.
M20A-CELLCHAT-REMAINING-0574	gaba-gad1_slc6a6 gabr_a3b3e	GABA-GAD1_SLC6A6 GABR_A3B3E	8	cellchat_remaining_discovery	uncertain	completed_final_manual_adjudication	non_ligand_receptor	NA	invalid composite ligand notation	The submitted ligand token combines GABA with GAD and vesicular/transporter gene symbols; it is not the exact ligand entity used in GABA receptor assays.	GABA is the relevant transmitter, but the composite token was not substituted or promoted.	not_ligand_receptor	Focused manual re-review classified the submitted relationship as invalid ligand-receptor notation or wrong relationship.
