review_id	pair_key	pair_label_canonical	review_priority	review_priority_rationale	original_confidence	search_status	search_attempt_count	last_search_iteration	last_worker_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	no_evidence_category	decision_basis	next_review_trigger
M20A-CELLCHAT-REMAINING-0002	12oxoltb4-ptgr1 ltb4r2	12oxoLTB4-PTGR1 Ltb4r2	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=12oxoltb4-ptgr1+ltb4r2;https://europepmc.org/search?query=12oxoltb4-ptgr1+ltb4r2;https://pubmed.ncbi.nlm.nih.gov/8394361/;https://europepmc.org/article/MED/8394361;https://pubmed.ncbi.nlm.nih.gov/7803484/;https://europepmc.org/article/MED/7803484	human;porcine	family_or_metabolite_evidence_only	12-oxo-LTB4 shows weak BLT-family activity in leukocyte assays, but expanded searches did not resolve qualifying direct BLT2 evidence.	The reported response is low-potency and generally BLT-family-level; no qualifying exact BLT2 binding/activation study was located.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0005	2ag-dagla cnr1	2AG-DAGLA Cnr1	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human CB2 recombinant systems;human neutrophils and HEK293/HL60	no_exact_CNR1_support	PMID 10779390 tested 2-AG binding and GTPgammaS/cAMP function at human CB2; PMID 21467997 tested 2-AG-driven CB2 responses in human neutrophils and cell models.	Neither cited paper tests CB1/CNR1; DAGLA is a 2-AG biosynthetic enzyme, not the receptor-binding ligand.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0008	2ag-daglb cnr1	2AG-DAGLB Cnr1	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human CB2 recombinant systems;human neutrophils and HEK293/HL60	no_exact_CNR1_support	PMID 10779390 tested 2-AG binding and GTPgammaS/cAMP function at human CB2; PMID 21467997 tested 2-AG-driven CB2 responses in human neutrophils and cell models.	Neither cited paper tests CB1/CNR1; DAGLB is a 2-AG biosynthetic enzyme, not the receptor-binding ligand.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0018	5-ht-dopa-ddc htr1d	5-HT-DOPA-DDC Htr1d	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR1D in cited sources	no_exact_receptor_support	The checked primary papers cover HTR1A, HTR1B, HTR1E, HTR2A/B/C, and HTR3A/B, not HTR1D.	DOPA/DDC are synthesis components; the cited HTR1B paper is not evidence for the related HTR1D subtype.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0019	5-ht-dopa-ddc htr1f	5-HT-DOPA-DDC Htr1f	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR1F in cited sources	no_exact_receptor_support	The checked primary papers cover HTR1A, HTR1B, HTR1E, HTR2A/B/C, and HTR3A/B, not HTR1F.	DOPA/DDC are synthesis components; related 5-HT1 receptor papers do not establish HTR1F.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0025	5-ht-dopa-ddc htr4	5-HT-DOPA-DDC Htr4	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR4 in cited sources	no_exact_receptor_support	The cited primary papers do not assay HTR4; the only HTR4-relevant support would require a different primary citation.	DOPA/DDC are synthesis components; family-level serotonin receptor evidence cannot substitute for HTR4.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0026	5-ht-dopa-ddc htr5a	5-HT-DOPA-DDC Htr5a	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR5A in cited sources	no_exact_receptor_support	The cited primary papers assay HTR1E, not HTR5A; the review does not supply a cited primary HTR5A assay.	DOPA/DDC are synthesis components; HTR1E family similarity is not evidence for HTR5A.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0027	5-ht-dopa-ddc htr6	5-HT-DOPA-DDC Htr6	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR6 in cited sources	no_exact_receptor_support	The cited primary papers do not assay HTR6; the review does not replace an exact primary ligand-receptor study.	DOPA/DDC are synthesis components; serotonin-receptor family co-occurrence is not HTR6 evidence.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0031	5-ht-tph1_slc18a1 htr1d	5-HT-TPH1_SLC18A1 Htr1d	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR1D in cited sources	no_exact_receptor_support	The checked primary papers cover HTR1A, HTR1B, HTR1E, HTR2A/B/C, and HTR3A/B, not HTR1D.	TPH1/SLC18A1 are source or storage components; related HTR1 subtype evidence cannot substitute for HTR1D.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0033	5-ht-tph1_slc18a1 htr1f	5-HT-TPH1_SLC18A1 Htr1f	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR1F in cited sources	no_exact_receptor_support	The checked primary papers cover HTR1A, HTR1B, HTR1E, HTR2A/B/C, and HTR3A/B, not HTR1F.	TPH1/SLC18A1 are source or storage components; related 5-HT1 receptor papers do not establish HTR1F.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0038	5-ht-tph1_slc18a1 htr4	5-HT-TPH1_SLC18A1 Htr4	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR4 in cited sources	no_exact_receptor_support	The cited primary papers do not assay HTR4; family-level serotonin evidence cannot substitute for the exact receptor.	TPH1/SLC18A1 are source or storage components, not ligand.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0039	5-ht-tph1_slc18a1 htr5a	5-HT-TPH1_SLC18A1 Htr5a	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR5A in cited sources	no_exact_receptor_support	The cited primary papers assay HTR1E, not HTR5A; the review does not supply a cited primary HTR5A assay.	TPH1/SLC18A1 are source or storage components, not ligand; HTR1E evidence is not HTR5A evidence.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
M20A-CELLCHAT-REMAINING-0040	5-ht-tph1_slc18a1 htr6	5-HT-TPH1_SLC18A1 Htr6	8	cellchat_remaining_discovery	low	searched_pending_curator	1	cellchat_remaining_batch_001	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR6 in cited sources	no_exact_receptor_support	The cited primary papers do not assay HTR6; the review does not replace an exact primary ligand-receptor study.	TPH1/SLC18A1 are source or storage components, not ligand.	no_evidence_after_expanded_cellchat_search	Expanded CellChat-pair search found no qualifying exact primary evidence.	Revisit if a new exact primary source or processed/receptor-complex source is identified.
