source_database	ligand_components	receptor_components	source_ligand	source_receptor	source_record_id	pathway	annotation	evidence	review_status	reason
master_LR_union	2300002M23RIK	DDR1	2300002M23Rik	Ddr1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	2610528A11RIK	GPR15	2610528A11Rik	Gpr15					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	9530003J23RIK	ITGAL	9530003J23Rik	Itgal					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1	A2m	Klk1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B1	A2m	Klk1b1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B11	A2m	Klk1b11					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B16	A2m	Klk1b16					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B21	A2m	Klk1b21					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B22	A2m	Klk1b22					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B24	A2m	Klk1b24					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B26	A2m	Klk1b26					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B27	A2m	Klk1b27					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B3	A2m	Klk1b3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B4	A2m	Klk1b4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B5	A2m	Klk1b5					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B8	A2m	Klk1b8					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	KLK1B9	A2m	Klk1b9					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	MMP2	A2m	Mmp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	A2M	MMP9	A2m	Mmp9					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AANAT	MTNR1A	Aanat	Mtnr1a					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AANAT	MTNR1B	Aanat	Mtnr1b					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ABCA1	APOA1	Abca1	Apoa1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ABCA1	MEGF10	Abca1	Megf10					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACE	AGTR2	Ace	Agtr2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACE	BDKRB2	Ace	Bdkrb2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACE2	SLC6A19	Ace2	Slc6a19					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACE2	TIGIT	Ace2	Tigit					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACE2	TNFRSF11A	Ace2	Tnfrsf11a					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACE2	TNFRSF11B	Ace2	Tnfrsf11b					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
