source_databases	ligand_components	receptor_components	source_ligand	source_receptor	source_record_ids	pathways	annotations	evidence_notes	primary_evidence_gate	independent_public_source_count	independent_public_sources	primary_locator_count	review_priority_score	review_status	reason
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	GRP	NMBR	Grp	Nmbr	GRP_NMBR	GRP	Secreted Signaling	PMID:25209280;PMID:29133874	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	HDC	HRH1	Hdc	Hrh1	Histamine-Hist-HDC_HRH1	Histamine	Non-protein Signaling	PMID: 10444208;PMID: 35378699	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	HDC	HRH2	Hdc	Hrh2	Histamine-Hist-HDC_HRH2	Histamine	Non-protein Signaling	PMID: 10444208;PMID: 35378699	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	HDC	HRH3	Hdc	Hrh3	Histamine-Hist-HDC_HRH3	Histamine	Non-protein Signaling	PMID: 10444208;PMID: 35378699	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	HDC	HRH4	Hdc	Hrh4	Histamine-Hist-HDC_HRH4	Histamine	Non-protein Signaling	PMID: 10444208;PMID: 35378699	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	LRRC4B	PTPRS	Lrrc4b	Ptprs	LRRC4B_PTPRS	PTPR	Cell-Cell Contact	PMID: 23916315;PMID: 29674953	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	POMC	OPRD1	Pomc	Oprd1	POMC_OPRD1;b-Endorphin-POMC_OPRD1	OPIOID	Non-protein Signaling;Secreted Signaling	KEGG: mmu04080;PMID: 29934561;PMID: 34724150	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	POMC	OPRK1	Pomc	Oprk1	POMC_OPRK1;b-Endorphin-POMC_OPRK1	OPIOID	Non-protein Signaling;Secreted Signaling	KEGG: mmu04080;PMID: 29934561;PMID: 34724150	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	POMC	OPRM1	Pomc	Oprm1	POMC_OPRM1;b-Endorphin-POMC_OPRM1	OPIOID	Non-protein Signaling;Secreted Signaling	KEGG: mmu04080;PMID: 29934561;PMID: 34724150	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	PTN	SDC1	Ptn	Sdc1	PTN_SDC1	PTN	Secreted Signaling	 PMID: 25620911;PMID: 28356350	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	PTN	SDC2	Ptn	Sdc2	PTN_SDC2	PTN	Secreted Signaling	 PMID: 25620911;PMID: 28356350	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	PTN	SDC3	Ptn	Sdc3	PTN_SDC3	PTN	Secreted Signaling	 PMID: 25620911;PMID: 28356350	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	PTN	SDC4	Ptn	Sdc4	PTN_SDC4	PTN	Secreted Signaling	 PMID: 25620911;PMID: 28356350	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	2	330	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	AGT	AGTR2	Agt	Agtr2	AGT_AGTR2	AGT	Secreted Signaling	PMID: 20606419	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ANGPTL1	PIRB	Angptl1	Pirb	ANGPTL1_PIRB	ANGPTL	Secreted Signaling	PMID: 24478758	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ANGPTL2	TLR4	Angptl2	Tlr4	ANGPTL2_TLR4	ANGPTL	Secreted Signaling	PMID: 24478758	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ANGPTL4	SDC1	Angptl4	Sdc1	ANGPTL4_SDC1	ANGPTL	Secreted Signaling	PMID: 29017031	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ANGPTL4	SDC2	Angptl4	Sdc2	ANGPTL4_SDC2	ANGPTL	Secreted Signaling	PMID: 29017031	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ANGPTL4	SDC3	Angptl4	Sdc3	ANGPTL4_SDC3	ANGPTL	Secreted Signaling	PMID: 29017031	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ANGPTL7	PIRB	Angptl7	Pirb	ANGPTL7_PIRB	ANGPTL	Secreted Signaling	PMID: 24478758	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	APP	CD74	App	Cd74	APP_CD74	APP	Cell-Cell Contact	PMID: 19849849	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	BTLA	TNFRSF14	Btla	Tnfrsf14	BTLA_TNFRSF14	BTLA	Secreted Signaling	PMID: 21941365	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	C3	CR2	C3	Cr2	C3_CR2	COMPLEMENT	Secreted Signaling	PMID: 16234578	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	C4B	CR2	C4b	Cr2	C4B_CR2	COMPLEMENT	Secreted Signaling	PMID: 16234578	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	CADM3	CADM1	Cadm3	Cadm1	CADM3_CADM1	CADM	Cell-Cell Contact	PMID: 33397712	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	CCL24	ACKR2	Ccl24	Ackr2	CCL24_ACKR2	CCL	Secreted Signaling	PMID: 26740381	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	CCL5	ACKR2	Ccl5	Ackr2	CCL5_ACKR2	CCL	Secreted Signaling	PMID: 26740381	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
