batch_id	queue_key	species	tf_symbol	target_symbol	b_edge_id	b_evidence_id	confidence_tier	effect_polarity	dorothea_levels	source_registries	external_record_keys	reference_count	source_locator	module22b_register_changed	general_tf_target_claim	direct_binding_claim	upstream_sci_activation_claim
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|apoc3	human	ATF2	APOC3	M22B-E005771	M22B-EVID-005944	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003251:f965fe01a77e;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000263	1	PMID:9760243	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|atf3	human	ATF2	ATF3	M22B-E005772	M22B-EVID-005945	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000579:6a95fc66f141;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000264	9	PMID:10979959; PMID:12833146; PMID:16079289; PMID:18719024; PMID:20581861; PMID:21706057; PMID:23712976; PMID:26747248; PMID:8576171	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|bcl2	human	ATF2	BCL2	M22B-E005773	M22B-EVID-005946	medium-high	activating_target	B	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002078:e2c4cffe6780	7	PMID:17219413; PMID:24140706; PMID:25752290; PMID:25976678; PMID:30090515; PMID:30521479; PMID:35697191	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|ccnd1	human	ATF2	CCND1	M22B-E005774	M22B-EVID-005947	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000028:77461524104a;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000265	29	PMID:10066798; PMID:10464245; PMID:10500157; PMID:10915780; PMID:11410592; PMID:11739785; PMID:11850817; PMID:15205322; PMID:15314161; PMID:15691880	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|cdkn1a	human	ATF2	CDKN1A	M22B-E005775	M22B-EVID-005948	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000278:3e3a84e1fea2;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000266	4	PMID:10506225; PMID:20740050; PMID:23800081; PMID:31760171	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|cyp11b1	human	ATF2	CYP11B1	M22B-E005776	M22B-EVID-005949	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003963:eea106924704;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000267	2	PMID:11014212; PMID:11196473	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|dusp1	human	ATF2	DUSP1	M22B-E005777	M22B-EVID-005950	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002679:f4d9ecad54e3;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000269	5	PMID:17681939; PMID:20702711; PMID:24126911; PMID:31075732; PMID:32266097	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|dusp10	human	ATF2	DUSP10	M22B-E005778	M22B-EVID-005951	medium-high	activating_target	B	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003965:83fd540e3c4e;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000270	1	PMID:17681939	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|fn1	human	ATF2	FN1	M22B-E005779	M22B-EVID-005952	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002782:c537fccad4a4;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000273	7	PMID:10064600; PMID:10471826; PMID:21479385; PMID:2529117; PMID:8335091; PMID:8703044; PMID:9151819	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|fos	human	ATF2	FOS	M22B-E005780	M22B-EVID-005953	high	activating_target	A	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005760:e84a277b1969	3	PMID:15078869; PMID:21069729; PMID:9300412	true	true	false	false
