batch_id	curation_id	species	tf_symbol	target_symbol	b_edge_id	b_evidence_id	old_edge_count	new_edge_status	new_edge_confidence	new_evidence_confidence	effect_polarity	support_kind	evidence_scope	primary_pmids	corroborating_pmids	external_record_keys	source_registries	cell_type_context	module22b_register_changed	upstream_sci_activation_claim
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-00239	human	FOS	MMP1	M22B-E005734	M22B-EVID-005907	0	reviewed_direct_target	high	high	activating_target	complex_cooperative_promoter	primary_reference_verified	9334186	8785586	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000394:ad388b19b1f9;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002096;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002097	OmniPath_DoRothEA;TRRUST	human promoter/in-vitro systems	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-00241	human	FOS	MMP3	M22B-E005735	M22B-EVID-005908	0	reviewed_direct_target	high	high	activating_target	complex_cooperative_promoter	primary_reference_verified	9334186	8039503	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002985:aea44b6fe3a8;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002098	OmniPath_DoRothEA;TRRUST	human promoter/in-vitro systems	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-00551	human	JUN	MMP1	M22B-E005736	M22B-EVID-005909	0	reviewed_direct_target	high	high	activating_target	complex_cooperative_promoter	primary_reference_verified	9334186	9178763	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000548:0e9b400501aa;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003477;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003478	OmniPath_DoRothEA;TRRUST	human promoter/in-vitro systems	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-00556	human	JUN	MMP3	M22B-E005737	M22B-EVID-005910	0	reviewed_direct_target	high	high	activating_target	complex_cooperative_promoter	primary_reference_verified	9334186		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002984:ba1021307167;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003483;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003484	OmniPath_DoRothEA;TRRUST	human promoter/in-vitro systems	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-00810	human	MYC	HLA-B	M22B-E005738	M22B-EVID-005911	0	reviewed_direct_target	high	high	repressing_target	promoter_repression	primary_reference_verified	8206526		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004196	TRRUST	human melanoma cells and c-MYC transfectants	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-01130	human	TP53	BCL2	M22B-E005739	M22B-EVID-005912	0	reviewed_regulatory_support	high	high	repressing_target	perturbation_response	primary_reference_verified	19411072	11313951	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000017:388c9b080ad0;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008486;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008487	OmniPath_DoRothEA;TRRUST	human cancer cell lines; mouse xenograft context	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-01203	human	TP53	CTNNB1	M22B-E005740	M22B-EVID-005913	0	reviewed_regulatory_support	high	high	repressing_target	perturbation_response	primary_reference_verified	19411072		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002254:e7277fda3ff7;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008526	OmniPath_DoRothEA;TRRUST	human cancer cell lines; mouse xenograft context	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-01347	human	TP53	MAP4	M22B-E005741	M22B-EVID-005914	0	reviewed_regulatory_support	high	high	repressing_target	perturbation_response	primary_reference_verified	19411072		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000289:6b7017c18c68;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008585	OmniPath_DoRothEA;TRRUST	human cancer cell lines; mouse xenograft context	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-01353	human	TP53	MCL1	M22B-E005742	M22B-EVID-005915	0	reviewed_regulatory_support	high	high	repressing_target	perturbation_response	primary_reference_verified	19411072	18208354	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008586	TRRUST	human cancer cell lines; mouse xenograft context	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-01376	human	TP53	MYC	M22B-E005743	M22B-EVID-005916	0	reviewed_regulatory_support	high	high	repressing_target	perturbation_response	primary_reference_verified	19411072		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000147:9c5fedd0e285;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008599;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008600	OmniPath_DoRothEA;TRRUST	human cancer cell lines; mouse xenograft context	true	false
