batch_id	queue_key	species	tf_symbol	target_symbol	b_edge_id	b_evidence_id	confidence_tier	effect_polarity	source_registries	external_record_keys	reference_count	source_locator	module22b_register_changed	general_tf_target_claim	direct_binding_claim	upstream_sci_activation_claim
module22b-trrust-signed-promotion-batch003-2026-09-03	human|atf2|kat5	human	ATF2	KAT5	M22B-E009360	M22B-EVID-009533	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000274	1	PMID:18397884	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|atf2|polb	human	ATF2	POLB	M22B-E009361	M22B-EVID-009534	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000290	1	PMID:10518804	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|atf2|rela	human	ATF2	RELA	M22B-E009362	M22B-EVID-009535	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000292	1	PMID:21350211	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|atf2|retn	human	ATF2	RETN	M22B-E009363	M22B-EVID-009536	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000293	1	PMID:20360975	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|atf2|st3gal5	human	ATF2	ST3GAL5	M22B-E009364	M22B-EVID-009537	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000294	1	PMID:21699754	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|cebpb|gdf15	human	CEBPB	GDF15	M22B-E009365	M22B-EVID-009538	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000674	1	PMID:24086573	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|cebpb|irf4	human	CEBPB	IRF4	M22B-E009366	M22B-EVID-009539	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000693	1	PMID:19717648	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|cebpb|oxtr	human	CEBPB	OXTR	M22B-E009367	M22B-EVID-009540	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000696	1	PMID:21734268	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|cebpb|pck2	human	CEBPB	PCK2	M22B-E009368	M22B-EVID-009541	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000697	1	PMID:8093246	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|cebpb|prdm1	human	CEBPB	PRDM1	M22B-E009369	M22B-EVID-009542	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000699	1	PMID:19717648	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|cebpb|prss50	human	CEBPB	PRSS50	M22B-E009370	M22B-EVID-009543	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000701	1	PMID:18462069	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|cebpb|slc5a8	human	CEBPB	SLC5A8	M22B-E009371	M22B-EVID-009544	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000712	1	PMID:20082847	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|egr1|cxcl8	human	EGR1	CXCL8	M22B-E009372	M22B-EVID-009545	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001424;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001425	2	PMID:15517885; PMID:19837667	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|egr1|hpse	human	EGR1	HPSE	M22B-E009373	M22B-EVID-009546	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001447;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001448	4	PMID:15709168; PMID:16007175; PMID:17656651; PMID:20403028	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|egr1|klk3	human	EGR1	KLK3	M22B-E009374	M22B-EVID-009547	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001459	1	PMID:15517885	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|egr1|tnfsf10	human	EGR1	TNFSF10	M22B-E009375	M22B-EVID-009548	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001501	1	PMID:17932312	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|ets1|ca9	human	ETS1	CA9	M22B-E009376	M22B-EVID-009549	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001830	1	PMID:18381358	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|ets1|casp1	human	ETS1	CASP1	M22B-E009377	M22B-EVID-009550	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001831	1	PMID:16103071	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|ets1|muc4	human	ETS1	MUC4	M22B-E009378	M22B-EVID-009551	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001877	1	PMID:19757157	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|ets1|nkx3-1	human	ETS1	NKX3-1	M22B-E009379	M22B-EVID-009552	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001880	1	PMID:20842667	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|ets1|rhoc	human	ETS1	RHOC	M22B-E009380	M22B-EVID-009553	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001890	1	PMID:21732343	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|ets1|tmem158	human	ETS1	TMEM158	M22B-E009381	M22B-EVID-009554	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001901	1	PMID:11822868	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|fos|casp9	human	FOS	CASP9	M22B-E009382	M22B-EVID-009555	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002071	1	PMID:20188076	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|fos|cck	human	FOS	CCK	M22B-E009383	M22B-EVID-009556	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002072;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002073	2	PMID:1360635; PMID:7693011	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|fos|fmo4	human	FOS	FMO4	M22B-E009384	M22B-EVID-009557	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002088	1	PMID:20188076	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|fos|slc10a2	human	FOS	SLC10A2	M22B-E009385	M22B-EVID-009558	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002122	1	PMID:12454857	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|fos|sox7	human	FOS	SOX7	M22B-E009386	M22B-EVID-009559	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002125	1	PMID:22171135	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|fos|spi1	human	FOS	SPI1	M22B-E009387	M22B-EVID-009560	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002126	1	PMID:9988737	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|cdh3	human	GATA3	CDH3	M22B-E009388	M22B-EVID-009561	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002440	1	PMID:22120723	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|chst4	human	GATA3	CHST4	M22B-E009389	M22B-EVID-009562	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002442	1	PMID:22446378	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|cxcl1	human	GATA3	CXCL1	M22B-E009390	M22B-EVID-009563	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002443	1	PMID:22120723	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|ervw-1	human	GATA3	ERVW-1	M22B-E009391	M22B-EVID-009564	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002447	1	PMID:15888734	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|foxc2	human	GATA3	FOXC2	M22B-E009392	M22B-EVID-009565	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002450	1	PMID:22120723	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|hsd17b1	human	GATA3	HSD17B1	M22B-E009393	M22B-EVID-009566	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002453	1	PMID:9231796	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|lox	human	GATA3	LOX	M22B-E009394	M22B-EVID-009567	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002461	1	PMID:21892208	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|muc1	human	GATA3	MUC1	M22B-E009395	M22B-EVID-009568	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002463	1	PMID:17078870	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|paep	human	GATA3	PAEP	M22B-E009396	M22B-EVID-009569	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002465	1	PMID:19483726	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|gata3|stat4	human	GATA3	STAT4	M22B-E009397	M22B-EVID-009570	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002468	1	PMID:21632975	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|hif1a|ace	human	HIF1A	ACE	M22B-E009398	M22B-EVID-009571	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002842	1	PMID:19592460	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|hif1a|ace2	human	HIF1A	ACE2	M22B-E009399	M22B-EVID-009572	high	repressing_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002843	1	PMID:19592460	true	true	false	false
module22b-trrust-signed-promotion-batch003-2026-09-03	human|hif1a|agtr1	human	HIF1A	AGTR1	M22B-E009400	M22B-EVID-009573	high	activating_target	TRRUST	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002844	1	PMID:15718424	true	true	false	false
