chain_id	ligand_node_id	ligand_label	ligand_receptor_edge_id	ligand_receptor_pathway	receptor_node_id	receptor_label	receptor_tf_edge_id	receptor_tf_pathway	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	tf_target_pathway	target_gene_node_id	target_gene_label	target_relation	module_sequence	evidence_ids
CHAIN:00001	NODE04576	IL-6	M21B-E000106	IL6-gp130-receptor-complex	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-000049;M21B-EVID-001660;M22B-EVID-000060
CHAIN:00002	NODE04576	IL-6	M21B-E000106	IL6-gp130-receptor-complex	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-000049;M21B-EVID-001660;M22B-EVID-000059
CHAIN:00003	NODE04576	IL-6	M21B-E000106	IL6-gp130-receptor-complex	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-000049;M21B-EVID-001660;M22B-EVID-000003
CHAIN:00004	NODE04576	IL-6	M21B-E000106	IL6-gp130-receptor-complex	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-000049;M21B-EVID-001660;M22B-EVID-000066
CHAIN:00005	NODE04576	IL-6	M21B-E000106	IL6-gp130-receptor-complex	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-000049;M21B-EVID-001660;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00006	NODE04576	IL-6	M21B-E000106	IL6-gp130-receptor-complex	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-000049;M21B-EVID-001660;M22B-EVID-000083
CHAIN:00007	NODE01902	CNTF	M21B-E000107	CNTF-gp130-JAK-STAT3	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-000050;M21B-EVID-000015;M22B-EVID-000060
CHAIN:00008	NODE01902	CNTF	M21B-E000107	CNTF-gp130-JAK-STAT3	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-000050;M21B-EVID-000015;M22B-EVID-000059
CHAIN:00009	NODE01902	CNTF	M21B-E000107	CNTF-gp130-JAK-STAT3	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-000050;M21B-EVID-000015;M22B-EVID-000003
CHAIN:00010	NODE01902	CNTF	M21B-E000107	CNTF-gp130-JAK-STAT3	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-000050;M21B-EVID-000015;M22B-EVID-000066
CHAIN:00011	NODE01902	CNTF	M21B-E000107	CNTF-gp130-JAK-STAT3	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-000050;M21B-EVID-000015;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00012	NODE01902	CNTF	M21B-E000107	CNTF-gp130-JAK-STAT3	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-000050;M21B-EVID-000015;M22B-EVID-000083
CHAIN:00013	NODE03721	GM-CSF/CSF2	M21B-E000177	CSF2-CSF2RA-CSF2RB	NODE02132	CSF2RA:CSF2RB receptor complex	M21B-E001777	GM-CSF-CSF2R-STAT5-relay	NODE09241	STAT5	M22B-E000446	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-000120;M21B-EVID-001720;M22B-EVID-000008
CHAIN:00014	NODE03721	GM-CSF/CSF2	M21B-E000177	CSF2-CSF2RA-CSF2RB	NODE02132	CSF2RA:CSF2RB receptor complex	M21B-E001777	GM-CSF-CSF2R-STAT5-relay	NODE09241	STAT5	M22B-E000447	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-000120;M21B-EVID-001720;M22B-EVID-000056
CHAIN:00015	NODE03721	GM-CSF/CSF2	M21B-E000177	CSF2-CSF2RA-CSF2RB	NODE02132	CSF2RA:CSF2RB receptor complex	M21B-E001777	GM-CSF-CSF2R-STAT5-relay	NODE09241	STAT5	M22B-E000448	target_gene	NODE01420	Ccnd1	induces_target_gene	21B>21B>22B	M21B-EVID-000120;M21B-EVID-001720;M22B-EVID-000007
CHAIN:00016	NODE03721	GM-CSF/CSF2	M21B-E000177	CSF2-CSF2RA-CSF2RB	NODE02132	CSF2RA:CSF2RB receptor complex	M21B-E001777	GM-CSF-CSF2R-STAT5-relay	NODE09241	STAT5	M22B-E000449	target_gene	NODE01828	Cish	induces_target_gene	21B>21B>22B	M21B-EVID-000120;M21B-EVID-001720;M22B-EVID-000006;M22B-EVID-000055
CHAIN:00017	NODE04817	IL4	M21B-E000240	IL4-common-gamma-receptor	NODE04825	IL4RA:IL2RG receptor complex	M21B-E001784	IL4-type-I-receptor-STAT6-relay	NODE09250	STAT6	M22B-E000459	target_gene	NODE00578	Arg1	induces_target_gene	21B>21B>22B	M21B-EVID-000183;M21B-EVID-001727;M22B-EVID-000010;M22B-EVID-000054
CHAIN:00018	NODE04817	IL4	M21B-E000240	IL4-common-gamma-receptor	NODE04825	IL4RA:IL2RG receptor complex	M21B-E001784	IL4-type-I-receptor-STAT6-relay	NODE09250	STAT6	M22B-E000460	target_gene	NODE01763	Chil3 (Ym1)	regulates_target_gene	21B>21B>22B	M21B-EVID-000183;M21B-EVID-001727;M22B-EVID-000009;M22B-EVID-000053
CHAIN:00019	NODE04741	IL21	M21B-E000248	IL21-common-gamma-receptor	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-000191;M21B-EVID-000499;M22B-EVID-000060
CHAIN:00020	NODE04741	IL21	M21B-E000248	IL21-common-gamma-receptor	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-000191;M21B-EVID-000499;M22B-EVID-000059
CHAIN:00021	NODE04741	IL21	M21B-E000248	IL21-common-gamma-receptor	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-000191;M21B-EVID-000499;M22B-EVID-000003
CHAIN:00022	NODE04741	IL21	M21B-E000248	IL21-common-gamma-receptor	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-000191;M21B-EVID-000499;M22B-EVID-000066
CHAIN:00023	NODE04741	IL21	M21B-E000248	IL21-common-gamma-receptor	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-000191;M21B-EVID-000499;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00024	NODE04741	IL21	M21B-E000248	IL21-common-gamma-receptor	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-000191;M21B-EVID-000499;M22B-EVID-000083
CHAIN:00025	NODE04789	IL3	M21B-E000326	IL3-common-beta-receptor	NODE04816	IL3RA:CSF2RB receptor complex	M21B-E001779	IL3-IL3R-STAT5-relay	NODE09241	STAT5	M22B-E000446	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-000269;M21B-EVID-001722;M22B-EVID-000008
CHAIN:00026	NODE04789	IL3	M21B-E000326	IL3-common-beta-receptor	NODE04816	IL3RA:CSF2RB receptor complex	M21B-E001779	IL3-IL3R-STAT5-relay	NODE09241	STAT5	M22B-E000447	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-000269;M21B-EVID-001722;M22B-EVID-000056
CHAIN:00027	NODE04789	IL3	M21B-E000326	IL3-common-beta-receptor	NODE04816	IL3RA:CSF2RB receptor complex	M21B-E001779	IL3-IL3R-STAT5-relay	NODE09241	STAT5	M22B-E000448	target_gene	NODE01420	Ccnd1	induces_target_gene	21B>21B>22B	M21B-EVID-000269;M21B-EVID-001722;M22B-EVID-000007
CHAIN:00028	NODE04789	IL3	M21B-E000326	IL3-common-beta-receptor	NODE04816	IL3RA:CSF2RB receptor complex	M21B-E001779	IL3-IL3R-STAT5-relay	NODE09241	STAT5	M22B-E000449	target_gene	NODE01828	Cish	induces_target_gene	21B>21B>22B	M21B-EVID-000269;M21B-EVID-001722;M22B-EVID-000006;M22B-EVID-000055
CHAIN:00029	NODE04830	IL5	M21B-E000327	IL5-common-beta-receptor	NODE04832	IL5RA:CSF2RB receptor complex	M21B-E001781	IL5-IL5R-STAT5-relay	NODE09241	STAT5	M22B-E000446	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-000270;M21B-EVID-001724;M22B-EVID-000008
CHAIN:00030	NODE04830	IL5	M21B-E000327	IL5-common-beta-receptor	NODE04832	IL5RA:CSF2RB receptor complex	M21B-E001781	IL5-IL5R-STAT5-relay	NODE09241	STAT5	M22B-E000447	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-000270;M21B-EVID-001724;M22B-EVID-000056
CHAIN:00031	NODE04830	IL5	M21B-E000327	IL5-common-beta-receptor	NODE04832	IL5RA:CSF2RB receptor complex	M21B-E001781	IL5-IL5R-STAT5-relay	NODE09241	STAT5	M22B-E000448	target_gene	NODE01420	Ccnd1	induces_target_gene	21B>21B>22B	M21B-EVID-000270;M21B-EVID-001724;M22B-EVID-000007
CHAIN:00032	NODE04830	IL5	M21B-E000327	IL5-common-beta-receptor	NODE04832	IL5RA:CSF2RB receptor complex	M21B-E001781	IL5-IL5R-STAT5-relay	NODE09241	STAT5	M22B-E000449	target_gene	NODE01828	Cish	induces_target_gene	21B>21B>22B	M21B-EVID-000270;M21B-EVID-001724;M22B-EVID-000006;M22B-EVID-000055
CHAIN:00033	NODE04748	IL22	M21B-E000448	IL22-type-II-receptor	NODE04752	IL22RA1:IL10RB receptor complex	M21B-E000449	IL22-STAT3	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-000391;M21B-EVID-000392;M22B-EVID-000060
CHAIN:00034	NODE04748	IL22	M21B-E000448	IL22-type-II-receptor	NODE04752	IL22RA1:IL10RB receptor complex	M21B-E000449	IL22-STAT3	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-000391;M21B-EVID-000392;M22B-EVID-000059
CHAIN:00035	NODE04748	IL22	M21B-E000448	IL22-type-II-receptor	NODE04752	IL22RA1:IL10RB receptor complex	M21B-E000449	IL22-STAT3	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-000391;M21B-EVID-000392;M22B-EVID-000003
CHAIN:00036	NODE04748	IL22	M21B-E000448	IL22-type-II-receptor	NODE04752	IL22RA1:IL10RB receptor complex	M21B-E000449	IL22-STAT3	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-000391;M21B-EVID-000392;M22B-EVID-000066
CHAIN:00037	NODE04748	IL22	M21B-E000448	IL22-type-II-receptor	NODE04752	IL22RA1:IL10RB receptor complex	M21B-E000449	IL22-STAT3	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-000391;M21B-EVID-000392;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00038	NODE04748	IL22	M21B-E000448	IL22-type-II-receptor	NODE04752	IL22RA1:IL10RB receptor complex	M21B-E000449	IL22-STAT3	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-000391;M21B-EVID-000392;M22B-EVID-000083
CHAIN:00039	NODE04791	IL31	M21B-E000490	IL31-IL31RA-OSMR-receptor	NODE04793	IL31RA:OSMRbeta receptor complex	M21B-E000551	IL31-receptor-STAT3	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-000433;M21B-EVID-000494;M22B-EVID-000060
CHAIN:00040	NODE04791	IL31	M21B-E000490	IL31-IL31RA-OSMR-receptor	NODE04793	IL31RA:OSMRbeta receptor complex	M21B-E000551	IL31-receptor-STAT3	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-000433;M21B-EVID-000494;M22B-EVID-000059
CHAIN:00041	NODE04791	IL31	M21B-E000490	IL31-IL31RA-OSMR-receptor	NODE04793	IL31RA:OSMRbeta receptor complex	M21B-E000551	IL31-receptor-STAT3	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-000433;M21B-EVID-000494;M22B-EVID-000003
