boundary_id	source_a_evidence_id	source_a_edge_ids	boundary_type	source_locator	species_support	source_scope	summary	limitations
M22B-BOUNDARY-000012	M22A-EVIDENCE-0012	M22B-E000418	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000013	M22A-EVIDENCE-0013	M22B-E000445	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000014	M22A-EVIDENCE-0014	M22B-E000410	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000015	M22A-EVIDENCE-0015	M22B-E000411	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000024	M22A-B002-EVID-009	M22B-E000348	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000034	M22A-B003-EVID-008	M22B-E000442	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000040	M22A-B004-EVID-004	M22B-E000350	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000043	M22A-B004-EVID-007	M22B-E000388	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000064	M22A-B005-EVID-015	M22B-E000413	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000065	M22A-B005-EVID-016	M22B-E000409	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000068	M22A-B006-EVID-003	M22B-E000438	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000071	M22A-B006-EVID-006	M22B-E000436	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000076	M22A-B006-EVID-011	M22B-E000437	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000082	M22A-B006-EVID-017	M22B-E000453	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000087	M22A-B007-EVID-003	M22B-E000369	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000094	M22A-B007-EVID-010	M22B-E000373	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000099	M22A-B008-EVID-005	M22B-E000012	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000100	M22A-B008-EVID-006	M22B-E000337	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000101	M22A-B008-EVID-007	M22B-E000340	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000102	M22A-B008-EVID-008	M22B-E000338	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000104	M22A-B008-EVID-010	M22B-E000294	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000108	M22A-B008-EVID-014	M22B-E000170	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000109	M22A-B008-EVID-015	M22B-E000290	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000110	M22A-B008-EVID-016	M22B-E000301	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000111	M22A-B008-EVID-017	M22B-E000302	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000112	M22A-B008-EVID-018	M22B-E000303	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000113	M22A-B008-EVID-019	M22B-E000305	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000114	M22A-B008-EVID-020	M22B-E000306	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000116	M22A-B008-EVID-022	M22B-E000339	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000118	M22A-B008-EVID-024	M22B-E000482	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000119	M22A-B008-EVID-025	M22B-E000011	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000120	M22A-B008-EVID-026	M22B-E000013	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000122	M22A-B009-EVID-002	M22B-E000007	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000124	M22A-B009-EVID-004	M22B-E000008	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000126	M22A-B009-EVID-006	M22B-E000016	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000128	M22A-B009-EVID-008	M22B-E000115	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000132	M22A-B009-EVID-012	M22B-E000334	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000133	M22A-B009-EVID-013	M22B-E000015	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000136	M22A-B009-EVID-016	M22B-E000239	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000140	M22A-B009-EVID-020	M22B-E000163	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000144	M22A-B009-EVID-024	M22B-E000173	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000146	M22A-B009-EVID-026	M22B-E000153	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000149	M22A-B009-EVID-029	M22B-E000147	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000152	M22A-B009-EVID-032	M22B-E000125	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000154	M22A-B009-EVID-034	M22B-E000237	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000157	M22A-B009-EVID-037	M22B-E000323	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000161	M22A-B010-EVID-004	M22B-E000143	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000176	M22A-B011-EVID-002	M22B-E000010	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000178	M22A-B011-EVID-004	M22B-E000185	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000181	M22A-B011-EVID-007	M22B-E000274	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000184	M22A-B011-EVID-010	M22B-E000246	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000188	M22A-B011-EVID-014	M22B-E000464	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000191	M22A-B011-EVID-017	M22B-E000160	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000194	M22A-B011-EVID-020	M22B-E000119	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000197	M22A-B011-EVID-023	M22B-E000204	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000203	M22A-B011-EVID-029	M22B-E000114	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000206	M22A-B011-EVID-032	M22B-E000401	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000209	M22A-B011-EVID-035	M22B-E000211	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000212	M22A-B011-EVID-038	M22B-E000249	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000219	M22A-B011-EVID-045	M22B-E000200	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000222	M22A-B011-EVID-048	M22B-E000238	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000225	M22A-B011-EVID-051	M22B-E000324	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000228	M22A-B011-EVID-054	M22B-E000116	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000231	M22A-B011-EVID-057	M22B-E000325	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000234	M22A-B011-EVID-060	M22B-E000166	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000237	M22A-B011-EVID-063	M22B-E000117	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000240	M22A-B012-EVID-003	M22B-E000479	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000243	M22A-B012-EVID-006	M22B-E000326	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000244	M22A-B012-EVID-007	M22B-E000148	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000247	M22A-B012-EVID-010	M22B-E000485	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000250	M22A-B012-EVID-013	M22B-E000467	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000253	M22A-B012-EVID-016	M22B-E000281	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000260	M22A-B012-EVID-023	M22B-E000192	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000262	M22A-B012-EVID-025	M22B-E000191	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000265	M22A-B012-EVID-028	M22B-E000327	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000268	M22A-B012-EVID-031	M22B-E000480	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000269	M22A-B012-EVID-032	M22B-E000328	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000273	M22A-B013-EVID-004	M22B-E000020	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000280	M22A-B013-EVID-011	M22B-E000006	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000283	M22A-B013-EVID-014	M22B-E000118	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000286	M22A-B013-EVID-017	M22B-E000478	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000289	M22A-B013-EVID-020	M22B-E000236	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000295	M22A-B013-EVID-026	M22B-E000342	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000306	M22A-B013-EVID-037	M22B-E000278	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000308	M22A-B014-EVID-002	M22B-E005724	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000310	M22A-B014-EVID-004	M22B-E000005	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000311	M22A-B014-EVID-005	M22B-E005725	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000313	M22A-B014-EVID-007	M22B-E000121	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000315	M22A-B014-EVID-009	M22B-E000120	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000316	M22A-B014-EVID-010	M22B-E005723	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000318	M22A-B014-EVID-012	M22B-E000111	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000320	M22A-B014-EVID-014	M22B-E000151	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000321	M22A-B014-EVID-015	M22B-E005726	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000322	M22A-B014-EVID-016	M22B-E005727	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000324	M22A-B014-EVID-018	M22B-E000112	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000325	M22A-B014-EVID-019	M22B-E005728	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000326	M22A-B014-EVID-020	M22B-E005729	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000328	M22A-B014-EVID-022	M22B-E000113	no_evidence_boundary			negative_evidence		
M22B-BOUNDARY-000333	M22A-B015-EVID-005	M22B-E005594	no_evidence_boundary			negative_evidence		
