b_edge_id	source_entity	relation_type	target_entity	pathway_name	evidence_layer	source_a_edge_id	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	exportable	consolidation_note
M22B-E000001	AP-1	2-AG through CB1 and CB2 engages ERK/Fyn signaling and increases AP-1 transcriptional output	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	cell_state_program	downstream_or_functional	M22A-EDGE-0001	reviewed_program_association	The primary study supports a CB1/CB2-associated AP-1 program and CB1/CB2 involvement in 2-AG-induced ERK activation, but it does not resolve the receptor contribution to AP-1 output in the reporter cells. AP-1 DNA binding was not mapped to a single target gene, DAGLA and DAGLB source branches were not separated, and the model is non-SCI epidermal or embryonic-fibroblast comparator tissue.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.
M22B-E000002	AP-1	The exact reviewed branch is associated with AP-1 activity and a downstream transcriptional program; no single TF-target edge is claimed	NF-κB/AP-1/IRF inflammatory program	cell_state_program	downstream_or_functional	M22A-EDGE-0002	reviewed_program_association	The primary evidence supports a bounded AP-1 pathway/program association in the cited model, not direct TF binding or TF-target regulation. The molecular interaction is well established, but the intracellular response studies use lymphocyte costimulation rather than an SCI receiver model and do not isolate a unique CD6-only kinase cascade or terminal TF. It does not establish the same program in an SCI receiver cell or prove that every component of the submitted Alcam Cd6 handoff has the same downstream TF context.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.
M22B-E000003	AP-1	WNT5A stimulation of PTK7-associated noncanonical signaling activates JNK-linked AP-1 transcriptional output	WNT5A-PTK7-associated JNK/AP-1 planar-cell-polarity program	cell_state_program	downstream_or_functional	M22A-EDGE-0003	reviewed_program_association	AP-1 reporter activity and JNK phosphorylation establish pathway output, not AP-1 occupancy at a specific target gene. The study emphasizes PTK7-ROR2/WNT5A PCP signaling and does not prove that every PTK7 handoff uses the same AP-1 composition.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.
M22B-E000004	AP-1	WNT5A-PTK7-associated noncanonical signaling is linked to convergent-extension and cell-movement outputs	WNT5A-PTK7-associated cell-movement and neural-morphogenesis phenotype	phenotype	downstream_or_functional	M22A-EDGE-0004	reviewed_phenotype_only	The morphogenetic phenotype is a downstream PCP output and does not establish a direct AP-1 target gene or an SCI-specific outcome.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.
M22B-E000005	AP-1	No direct 2-AG-CB1/CB2-to-AP-1 target gene was established	null	none_identified	downstream_or_functional	M22A-EDGE-0005	no_evidence_boundary	AP-1 reporter activation and consensus-DNA binding do not establish occupancy or causal regulation at one downstream gene. The boundary is specific to a direct target claim; the receptor-family AP-1 program remains retained in the paired program row.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
M22B-E000006	AP-1	No direct WNT5A-PTK7-to-AP-1 target gene was established	null	none_identified	downstream_or_functional	M22A-EDGE-0006	no_evidence_boundary	JNK phosphorylation, AP-1 reporter activity, and papc expression are retained as program or phenotype context only. They are not promoted to a direct AP-1 target edge.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
M22B-E000007	AREG	AREG activates EGFR-family signaling with ERK/AKT output; no direct AP-1 target-locus regulation is assigned	AREG -> EGFR-family ERK/AKT signaling -> immediate-early growth program	cell_state_program	downstream_or_functional	M22A-EDGE-0007	reviewed_program_association	Human pancreatic-cancer cell models support AREG-associated EGFR/ERK and EGFR/HER3/AKT signaling. The evidence is receptor/pathway function rather than AP-1 DNA binding; HER3 versus ERBB2 usage, cell-state dependence, and SCI transfer remain unresolved.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.; Low-confidence recovery batch013: medium after exact primary AREG/EGFR-family signaling re-review.
M22B-E000008	BTC	BTC activates EGFR and ERBB4 in a receptor-pattern-specific signaling program; no direct AP-1 target-locus regulation is assigned	BTC -> EGFR/ERBB4 receptor activation -> distinct EGF-family growth-signaling program	cell_state_program	downstream_or_functional	M22A-EDGE-0008	reviewed_program_association	Mouse Ba/F3 receptor-panel assays support BTC activation of EGFR and ERBB4; human tumor models provide complementary BTC/EGFR pathway dependence. The evidence is receptor/pathway function rather than AP-1 DNA binding; receptor-complex stoichiometry, ERBB2-specific contribution, and SCI transfer remain unresolved.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.; Low-confidence recovery batch013: medium after exact primary BTC/EGFR-ERBB4 signaling re-review.
M22B-E000009	AR	HSD17B3-dependent testosterone production supplies ligand for AR-mediated transcriptional responses	Testosterone-HSD17B3 androgen-biosynthesis and AR transcriptional-response program	cell_state_program	downstream_or_functional	M22A-EDGE-0009	reviewed_program_association	The studies support mature testosterone-AR activation and HSD17B3 source context, not an HSD17B3-AR physical interaction or a specific AR-bound target in the submitted context.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.
M22B-E000010	AR	No direct HSD17B3-to-AR target gene or AR occupancy record was established	null	none_identified	downstream_or_functional	M22A-EDGE-0010	no_evidence_boundary	HSD17B3 changes testosterone availability; reporter activity and androgen receptor activation do not establish direct AR binding to a target downstream of this enzyme-receptor pair.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
M22B-E000011	AR	No exact androgen-receptor-to-AKR1D1 regulatory edge was established	null	none_identified	downstream_or_functional	M22A-EDGE-0011	no_evidence_boundary	The AKR1D1 study measures androgen-dependent AR activation in cells expressing AKR1D1 isoforms, not AR control of AKR1D1 transcription. AR occupancy and promoter causality were not established for AKR1D1, and the testosterone handoff does not resolve a direct TF-target relationship or SCI relevance.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
M22B-E000012	AR	No exact androgen-receptor-to-CYP17A1 regulatory edge was established	null	none_identified	downstream_or_functional	M22A-EDGE-0012	no_evidence_boundary	The reviewed prostate study reports co-expression and treatment-associated changes but does not establish AR occupancy or AR-dependent CYP17A1 promoter causality. Broad AR ChIP-chip primary-target studies do not identify this exact CYP17A1 edge in the supplied handoff context; androstenedione and SCI receiver-cell relevance remain unresolved.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
M22B-E000013	AR	No exact androgen-receptor-to-HSD17B12 regulatory edge was established	null	none_identified	downstream_or_functional	M22A-EDGE-0013	no_evidence_boundary	The reviewed breast-cell study tested HSD17B1 and HSD17B2, not HSD17B12, while broad AR target studies do not establish this exact edge. Androgen-responsive steroid metabolism, expression correlation, and phenotype were not promoted to direct AR regulation; no SCI receiver-cell endpoint was tested.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
M22B-E000014	ATF2	TSHR stimulation activates a p38-MAPK-ATF2 and early-gene response	TSH-TSHR-p38-ATF2 thyroid signaling program	cell_state_program	downstream_or_functional	M22A-EDGE-0014	reviewed_program_association	The studies establish TSHR-to-p38/ATF2 activation and early-gene output, not an ATF2-bound target gene for the CGA-TSHB ligand complex. Thyroid models are outside SCI receiver cells.					medium	medium	true	Direct, pathway, program, and functional layers remain distinct.
M22B-E000015	ATF2	No direct WNT5B-FZD3-to-ATF2 target gene was established	null	none_identified	downstream_or_functional	M22A-EDGE-0015	no_evidence_boundary	Related WNT5A-FZD3 evidence supports noncanonical JNK/c-JUN signaling but is not silently transferred to WNT5B or ATF2. Phospho-TF and pathway evidence alone do not establish a direct target.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
M22B-E000016	ATF2	No exact CGA-TSHB-TSHR-to-ATF2 target gene was established	null	none_identified	downstream_or_functional	M22A-EDGE-0016	no_evidence_boundary	Phospho-ATF2, cAMP response, thyroid gene expression, and TTF/PAX8 promoter evidence do not prove direct ATF2 binding for the submitted TSHR handoff.					low	medium	false	Direct, pathway, program, and functional layers remain distinct.
