curation_id	module	species	tf_symbol	target_symbol	external_record_keys	source_registries	public_effect_polarities	public_verification_statuses	public_reference_pmids	source_pmids	corroborating_pmids	excluded_pmids	tf_entity_ids	target_entity_ids	tf_frozen_match_status	target_frozen_match_status	tf_role_present	target_role_present	evidence_scope	effect_polarity	confidence_tier	cell_type_context	stimulus_context	module_boundary	cross_module_overlap	reuse_audit_status	promotion_decision	graph_materialization_status	hold_reason	curation_note
PUBTF-M22B-B001-0029	22B	human	STAT1	CCR1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004704:996a05bc13c2;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007820	OmniPath_DoRothEA;TRRUST	activating_target	primary_reference_verified	16628196	16628196				11568	absent_from_frozen_graph	mapped_unique	false	false	unresolved	unknown	uncertain	human keratinocytes	poly(I:C)/TLR3-induced innate immune response	22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	priority paper does not support exact CCR1 target	The cited dsRNA study supports CCL3, IRF7, and TLR3 responses but does not establish STAT1→CCR1; hold rather than transfer CCL3 evidence to a receptor target.
PUBTF-M22B-B001-0030	22B	human	HIF1A	EPO	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000091:a3820b6f06af;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002872;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002873	OmniPath_DoRothEA;TRRUST	activating_target;unknown	primary_reference_verified;unverified_public_record	10085152;10202154;10207038;10329706;10415537;10477681;10531360;10551817;10559391;10592513;10605934;10611972;10679259;10837481;10866824;10926654;10942406;10961998;11001829;11025195;11029639;11050012;11055378;11071882;11089639;11112413;11493922;11494119;11707426;11795593;11812905;11818497;11852072;11914036;11919510;11943784;11950137;11971899;11973424;11986208;11987242;12062197;12068288;12070140;12084725;12097158;12153983;12195866;12239177;12388599;12393546;12482504;12524467;12717822;12734640;12796124;12844285;12928580;14592787;14680833;14706194;14713116;14741200;14964434;15016652;15147973;15175563;15217714;15240563;15280364;15299044;15315937;15328158;15347669;15352172;15388333;15468961;15479785;15626745;15635607;15663958;15709164;15727557;15798202;15811877;15838297;15947089;16023639;16046617;16189267;16201995;16208522;16227210;16234508;16281953;16344601;16417583;16489029;16538087;16684536;16716598;16750526;16769575;16772336;16827160;16883594;16888453;16971531;16973622;17090665;17229797;17284606;17322369;17404621;17429338;17456344;17497587;17525282;17597020;17640059;17698391;17712557;17884495;17911356;17967803;17981124;18031944;18036326;18054269;18166352;18172819;18174394;18236154;18260794;18326315;18331222;18332162;18338108;18423195;18431543;18580580;18639543;18667839;18708172;19028566;19144758;19203226;19278353;19433063;19480606;19494350;19536501;19628803;19729006;19779256;19786048;19804771;19908127;20043814;20158574;20164027;20404921;20631191;20711226;20969477;21042786;21054399;21146939;21157678;21165333;21212189;21232289;21309574;21364630;21543202;21570450;21595915;21755458;21756166;21777345;21807419;21854848;21861815;21976486;22061780;22095261;22135724;22172637;22193962;22309741;22339724;22871270;22933585;22982595;23001680;23065176;23297826;23537263;23608228;23815362;23833638;23852087;23904909;24002459;24023421;24063008;24132642;24296245;24323731;24409307;24497137;24859482;24861600;25038418;25052430;25120692;25184890;25215095;25380676;25775381;25792071;25966182;26012551;26066786;26622817;26781327;26897933;26899267;26970014;27220347;27405946;27524241;27568384;28004401;28427869;28576310;28974122;29074377;29416668;29748743;30106145;30367150;30685435;30836371;30918303;31222402;31845440;31850806;31951520;31955159;32124933;32461003;32624920;33248237;33521378;33955265;34099651;34724959;34872812;34904400;34907754;35338935;35859119;35913258;35970343;36016936;36191632;36232501;37348668;7488163;7539918;7836384;7852211;8089148;8260699;8387214;8408001;8660378;8663540;8756616;8897823;8900415;8955077;9000051;9002952;9027736;9027737;9027739;9027740;9159130;9235919;9236155;9367810;9402140;9510527;9510530;9654078	8955077				11865	absent_from_frozen_graph	mapped_unique	false	false	unresolved	unknown	uncertain	mammalian cultured cells and promoter constructs	hypoxia	22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	priority paper target scope mismatch	The cited HIF-1 paper is centered on ALDOA, ENO1, and LDHA HREs; EPO is not promoted from that citation without exact-pair verification.
PUBTF-M22B-B001-0031	22B	human	JUN	MMP13	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000463:95deb85d8544;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003480	OmniPath_DoRothEA;TRRUST	activating_target	primary_reference_verified;unverified_public_record	10190279;10444406;10449779;10521486;10601295;10613894;10671545;10779518;10830307;10891395;10911363;10913304;10967546;11156425;11204422;11274169;11297530;11469472;11641401;11689447;11691923;11751895;11852231;12009331;12032154;12064845;12460732;12481024;12626640;12734180;12878172;14512017;14575638;14686613;14756522;15063796;15084595;15291758;15498796;15693018;15994313;16023836;16639721;16919424;17099730;17116693;17143675;17455210;17550983;17626252;17822788;17905570;17941091;18487224;18593949;18836245;19014879;19038372;19126648;19185056;19296301;19415460;19423655;19763044;19783677;19998410;20048163;20067416;20109185;20338993;20615395;21461405;21468922;21606625;22102411;22128168;22158614;22437631;22989746;23396374;23417678;23604908;23762330;24313661;24385683;24515436;24756349;25631045;25703139;25708656;26305372;27391542;27751807;27956552;28735730;28812968;28973134;30263735;30440036;31565483;33251599;36260652;37337188;8798568;8957070;9119388;9138284;9212062;9334186;9545314;9553127;9989817	9334186					absent_from_frozen_graph	absent_from_frozen_graph	false	false	unresolved	unknown	uncertain	human promoter/in-vitro systems	AP-1/Ets promoter activation	22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	primary paper does not establish exact MMP13 pair	The reviewed paper supports MMP1/MMP3 promoter cooperation, not a sufficiently specific JUN→MMP13 claim.
PUBTF-M22B-B001-0032	22B	human	MYC	HLA-A	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004195	TRRUST	activating_target	primary_reference_verified	8206526	8206526					absent_from_frozen_graph	absent_from_frozen_graph	false	false	unresolved	unknown	uncertain			22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	target-specific primary evidence absent	The verified paper is HLA-B-specific; do not transfer its promoter result to HLA-A.
PUBTF-M22B-B001-0033	22B	human	MYC	HLA-C	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004197	TRRUST	activating_target	primary_reference_verified	8206526	8206526					absent_from_frozen_graph	absent_from_frozen_graph	false	false	unresolved	unknown	uncertain			22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	target-specific primary evidence absent	The verified paper is HLA-B-specific; do not transfer its promoter result to HLA-C.
PUBTF-M22B-B001-0034	22B	human	MYC	HLA-E	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004198	TRRUST	activating_target	primary_reference_verified	8206526	8206526					absent_from_frozen_graph	absent_from_frozen_graph	false	false	unresolved	unknown	uncertain			22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	target-specific primary evidence absent	The verified paper is HLA-B-specific; do not transfer its promoter result to HLA-E.
PUBTF-M22B-B001-0035	22B	human	MYC	HLA-F	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004331:227a65f9dcc3;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004199	OmniPath_DoRothEA;TRRUST	activating_target	primary_reference_verified	8206526	8206526					absent_from_frozen_graph	absent_from_frozen_graph	false	false	unresolved	unknown	uncertain			22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	target-specific primary evidence absent	The verified paper is HLA-B-specific; do not transfer its promoter result to HLA-F.
PUBTF-M22B-B001-0036	22B	human	MYC	HLA-G	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004200	TRRUST	activating_target	primary_reference_verified	8206526	8206526					absent_from_frozen_graph	absent_from_frozen_graph	false	false	unresolved	unknown	uncertain			22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	target-specific primary evidence absent	The verified paper is HLA-B-specific; do not transfer its promoter result to HLA-G.
PUBTF-M22B-B001-0037	22B	human	GATA3	CDH3	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002440	TRRUST	repressing_target	primary_reference_verified	22120723	22120723					absent_from_frozen_graph	absent_from_frozen_graph	false	false	contextual_support	repressing_target	uncertain			22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	contextual multi-gene repression not enough for direct pair promotion	The paper reports broader GATA3/BRCA1-associated repression, but the strongest mapped promoter evidence is FOXC1; hold CDH3 pending exact-pair evidence.
PUBTF-M22B-B001-0038	22B	human	GATA3	CXCL1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002443	TRRUST	repressing_target	primary_reference_verified	22120723	22120723					absent_from_frozen_graph	absent_from_frozen_graph	false	false	contextual_support	repressing_target	uncertain			22B TF-to-target/downstream program only; no automatic 20B/21B/23B/24B edge			hold_exact_pair_review	not_canonical_materialization;entity_role_review_required	contextual multi-gene repression not enough for direct pair promotion	The paper reports broader GATA3/BRCA1-associated repression, but the strongest mapped promoter evidence is FOXC1; hold CXCL1 pending exact-pair evidence.
