transition_id	source_form_id	target_form_id	source_node_id	target_node_id	source_form_type	target_form_type	transition_type	relation_type	traversal_status	causal_status	evidence_status	source_label	target_label	evidence_ids	notes
TRN:00001	GENE:NODE01290	PROTEIN:NODE01290	NODE01290	NODE01290	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Bmp2	Bmp2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00002	GENE:NODE02338	PROTEIN:NODE02338	NODE02338	NODE02338	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Col1a2	Col1a2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00003	GENE:NODE03828	PROTEIN:NODE03828	NODE03828	NODE03828	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	FST	FST		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00004	GENE:NODE05273	PROTEIN:NODE05273	NODE05273	NODE05273	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	IL10	IL10		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00005	GENE:NODE05500	PROTEIN:NODE05500	NODE05500	NODE05500	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Il6	Il6		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00006	GENE:NODE10647	PROTEIN:NODE10647	NODE10647	NODE10647	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Sst	Sst		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00007	GENE:NODE11691	PROTEIN:NODE11691	NODE11691	NODE11691	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Vegfa	Vegfa		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00008	GENE:NODE05500	PROTEIN:NODE05221	NODE05500	NODE05221	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Il6	IL-6		Explicit register-label mapping between the IL6 target-gene form and the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00009	GENE:NODE05502	PROTEIN:NODE05221	NODE05502	NODE05221	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL6 inflammatory target gene	IL-6		Explicit register-label mapping from the IL6 inflammatory target-gene label to the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00010	GENE:NODE01186	PROTEIN:NODE01176	NODE01186	NODE01176	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Bdnf promoter IV	Bdnf		Explicit mapping from the Bdnf promoter-IV target-gene label to the BDNF ligand form; this does not assert expression, translation, secretion, transport, or receptor activation.
TRN:00011	GENE:NODE05357	PROTEIN:NODE05356	NODE05357	NODE05356	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL1B (pro-IL-1β)	Il1b		Explicit mapping from the IL1B/pro-IL-1β target-gene label to the IL-1β ligand form; maturation, secretion, transport, and receptor activation remain conditional on output evidence.
TRN:00012	GENE:NODE10976	PROTEIN:NODE10971	NODE10976	NODE10971	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Tgfb1 promoter	Tgfb1		Explicit mapping from the Tgfb1 promoter target-gene label to the TGFB1 ligand form; this does not assert expression, latent complex processing, secretion, activation, or receptor binding.
TRN:00013	GENE:NODE10265	PROTEIN:NODE10264	NODE10265	NODE10264	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Shh MACS1 long-range enhancer	Shh		Explicit mapping from the Shh MACS1 enhancer target-gene label to the SHH ligand form; this does not assert expression, processing, secretion, transport, or receptor activation.
