module22a_handoff_id	pair_label_canonical	terminal_tf_entities	module21a_evidence_ids	source_locators	source_species	source_cell_type_model	source_assay_or_perturbation	source_relation_type	source_evidence_layer	source_confidence_tier	source_evidence_summary	source_limitations	source_review_status	search_boundary	limitations	disposition	blocker_tags
M22A-HANDOFF-000003	22HC-CYP11A1 Nr1h4	NR1H4 (FXR)	M21A-PAIR-EVID-536	PMID:21159775; PMID:16371446; PMCID:PMC4114575; DOI:10.1124/jpet.105.097758	human; bovine; mouse	purified/recombinant CYP11A1; human primary hepatocytes; Huh7 hepatoma cells	CYP11A1 sequential cholesterol hydroxylation; 22(R)-hydroxycholesterol FXR reporter, FXR ligand-domain mutagenesis, BSEP mRNA/promoter assays	CYP11A1-generated 22(R)-hydroxycholesterol activates FXR/NR1H4 and induces BSEP	downstream_pathway_function	medium-high	CYP11A1 cholesterol hydroxylation → 22(R)-HC → FXR/RXR IR1 → ABCB11/BSEP transcription	The CYP11A1 study establishes 22HC as a catalytic intermediate and the FXR study establishes receptor activation in hepatocyte/reporter systems, but no single experiment coupled CYP11A1 flux to FXR activation in the same cells	mapped_to_local_primary_source_packet	Primary downstream review batches028_029; exact pair/family boundary search.	The CYP11A1 study establishes 22HC as a catalytic intermediate and the FXR study establishes receptor activation in hepatocyte/reporter systems, but no single experiment coupled CYP11A1 flux to FXR activation in the same cells	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;model_or_context_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000184	Aldo-CYP11B2 Nr3c2	NR3C2	M21A-PAIR-EVID-713	PMID:15967794; PMID:32652691; PMID:24491541	 human; mouse	HEK293/MR reporter cells; mouse cortical collecting duct and distal convoluted tubular epithelial cells	aldosterone binding and receptor-activation assays; aldosterone-regulated gene expression; ChIP-seq and transcript response	aldosterone-activated mineralocorticoid receptor transcriptional relay	receptor_proximal_relay	high	NR3C2 nuclear translocation/DNA binding to GREs to SGK1/ENaC and other aldosterone-responsive genes	The queued source includes the CYP11B2 biosynthetic enzyme; the receptor studies apply aldosterone directly and do not manipulate CYP11B2 flux; NR3C2 is the directly activated nuclear receptor/TF node. Module 21A relay/function promotion batch057 (2026-09-02): evidence tier raised to high for the exact, context-bounded receptor, uptake, trafficking, or adhesion packet; upstream Module 20A confidence, evidence-layer scope, terminal-TF status, and SCI transfer remain unchanged.	mapped_to_local_primary_source_packet	Primary downstream review batches032_033_034_035; exact pair/family boundary search.	The queued source includes the CYP11B2 biosynthetic enzyme; the receptor studies apply aldosterone directly and do not manipulate CYP11B2 flux; NR3C2 is the directly activated nuclear receptor/TF node.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000185	Amh AMHR2_ACVR1	SMAD1;SMAD5;SMAD8	M21A-PAIR-EVID-714	PMID:11376112; PMID:20861221; PMCID:PMC7286617	mouse; human	Müllerian duct mesenchyme/epithelium; HEK293T receptor-reporter cells	Müllerian duct regression organ culture; Tlx-2 reporter; receptor perturbation and AMH processing/binding assays; HEK293T receptor-reporter assays	AMH-AMHR2/ACVR1 receptor-complex activation to BMP-SMAD relay	receptor_proximal_relay	high	AMHR2 to ACVR1 to SMAD1/5/8 to SMAD4 and Müllerian duct regression	The receptor-complex node is retained explicitly; ACVR1 can be functionally redundant with other type-I receptors in some tissues; SMAD activation is direct, but the queued row does not specify all native type-I receptor composition. Module 21A relay/function promotion batch057 (2026-09-02): evidence tier raised to high for the exact, context-bounded receptor, uptake, trafficking, or adhesion packet; upstream Module 20A confidence, evidence-layer scope, terminal-TF status, and SCI transfer remain unchanged.	mapped_to_local_primary_source_packet	Primary downstream review batches032_033_034_035; exact pair/family boundary search.	The receptor-complex node is retained explicitly; ACVR1 can be functionally redundant with other type-I receptors in some tissues; SMAD activation is direct, but the queued row does not specify all native type-I receptor composition.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;model_or_context_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000186	Androstenedione-CYP17A1 Ar	AR	M21A-PAIR-EVID-715	PMID:15522925; PMID:15336702; DOI:10.1210/jc.2004-1577	human; mouse	C3H10T1/2 mesenchymal cells; LNCaP and MDA-MB-453 cells; human AR ligand-binding domain	competitive AR binding; AR nuclear translocation; MMTV/PSA reporter and bicalutamide perturbation	androstenedione partial androgen-receptor agonism with nuclear transcriptional output	receptor_proximal_relay	high	AR ligand binding/nuclear translocation to androgen-response-element transcription and myogenic/prostate outputs	Androstenedione is weaker than DHT and can be converted to testosterone; CYP17A1 production was not manipulated; AR is itself the directly activated TF node. Module 21A relay/function promotion batch057 (2026-09-02): evidence tier raised to high for the exact, context-bounded receptor, uptake, trafficking, or adhesion packet; upstream Module 20A confidence, evidence-layer scope, terminal-TF status, and SCI transfer remain unchanged.	mapped_to_local_primary_source_packet	Primary downstream review batches032_033_034_035; exact pair/family boundary search.	Androstenedione is weaker than DHT and can be converted to testosterone; CYP17A1 production was not manipulated; AR is itself the directly activated TF node.	not_promoted_under_current_strict_gate	exact_pair_or_family_review_required
M22A-HANDOFF-000215	Bmp8a Bmpr1b_acvr2a	SMAD1/5/8;SMAD4 candidates	M21A-PAIR-EVID-026	PMID:28465413; DOI:10.1126/scisignal.aal1910	HEK293T receptor reconstitution/BRE-CAGA reporters and mouse spermatogonia	HEK293T receptor reconstitution/BRE-CAGA reporters and mouse spermatogonia	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	medium	BMP8A receptor-reconstituted-SMAD1/5/8 branch	Exact reporter support is stronger for ACVR2A/BMPR2 combinations; SMAD2/3 branch uses ALK5 and is not transferred.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8A BMPR1B/ACVR2A reporter branch.	not_promoted_under_current_strict_gate	tf_or_target_assignment_unresolved
M22A-HANDOFF-000217	Bmp8b Acvr1_acvr2a	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000219	Bmp8b Acvr1_bmpr2	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000220	Bmp8b Bmpr1a_acvr2a	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000221	Bmp8b Bmpr1a_acvr2b	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000222	Bmp8b Bmpr1a_bmpr2	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
