promotion_id	link_id	handoff_id	pair_key	pair_label_canonical	terminal_tf_entities	source_entity	target_entity	edge_id	evidence_id	evidence_source_locator	evidence_confidence_tier	phase2_extraction_id	phase2_confidence	promotion_status	promotion_confidence_tier	decision_basis	handoff_limitations	edge_limitations	evidence_limitations	module21a_handoff_unchanged	module22b_register_unchanged	sql_materialization
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-001	M22A-HANDOFF-001300	il3 il3ra_csf2rb	Il3 Il3ra_csf2rb	STAT5	STAT5	Ccnd1	M22B-E000448	M22B-EVID-000007	PMCID:PMC1171226;PMID:10064602;DOI:10.1093/emboj/18.5.1367;https://pmc.ncbi.nlm.nih.gov/articles/PMC1171226/	high	M22B-P2-R-000007-R096	High for IL-3/STAT5/Ccnd1 promoter and growth mechanism; bounded for receptor-complex and cross-ligand transfer	promote_existing_high_tf_target_bounded_handoff	high	IL-3/STAT5 binding and promoter-mutagenesis support for Ccnd1 in human hematopoietic comparator cells.	CSF2RB is shared by IL-5 and GM-CSF receptors, and the earliest receptor studies use reconstitution or cross-cytokine systems; no SCI receiver model or unique IL-3-only downstream branch was established.	Direct, pathway, program, and functional layers remain distinct.	IL-3-dependent human hematopoietic comparator and NIH 3T3 reporter systems; no generalization to other cytokines or SCI receiver cells.	true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-002	M22A-HANDOFF-001300	il3 il3ra_csf2rb	Il3 Il3ra_csf2rb	STAT5	STAT5	Cish	M22B-E000449	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22B-P2-R-000006-R096	High for STAT5-Cish promoter occupancy in the tested hematopoietic models; bounded for ligand-specific receptor complexes and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	IL-3/STAT5 recruitment and endogenous Cis/Cish promoter regulation in murine Ba/F3 cells.	CSF2RB is shared by IL-5 and GM-CSF receptors, and the earliest receptor studies use reconstitution or cross-cytokine systems; no SCI receiver model or unique IL-3-only downstream branch was established.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.	true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-003	M22A-HANDOFF-001300	il3 il3ra_csf2rb	Il3 Il3ra_csf2rb	STAT5	STAT5A;STAT5B	Cish	M22B-E000456	M22B-EVID-000028	PMID:14627821; PMCID:PMC290274; DOI:10.1093/nar/gkg907; https://pmc.ncbi.nlm.nih.gov/articles/PMC290274/	high	M22B-P2-R-000028	high for STAT5-Cis promoter association; bounded for receptor transfer and SCI	promote_existing_high_tf_target_bounded_handoff	high	IL-3/STAT5A/B recruitment and endogenous Cis/Cish promoter regulation in murine Ba/F3 cells.	CSF2RB is shared by IL-5 and GM-CSF receptors, and the earliest receptor studies use reconstitution or cross-cytokine systems; no SCI receiver model or unique IL-3-only downstream branch was established.	Direct, pathway, program, and functional layers remain distinct.	Exact upstream cytokine-receptor identity is not resolved beyond IL-3 comparator context; no SCI model; do not generalize to all IL-2-family branches.	true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-004	M22A-HANDOFF-001307	il4 il4r_il13ra1	Il4 IL4R_IL13RA1	STAT6	STAT6	Arg1	M22B-E000459	M22B-EVID-000010	PMCID:PMC1904486;PMID:16814729;DOI:10.1016/j.cmet.2006.05.011;https://pmc.ncbi.nlm.nih.gov/articles/PMC1904486/	high	M22B-P2-R-000010-R096	High	promote_existing_high_tf_target_bounded_handoff	high	IL-4/STAT6/PGC-1beta corecruitment and STAT6-site-dependent Arg1 enhancer regulation in mouse macrophages.	IL-4 can also signal through the type-I IL4R-IL2RG complex. This row is restricted to the type-II IL4R-IL13RA1 composition; outputs differ by macrophage and lymphocyte context.	Direct, pathway, program, and functional layers remain distinct.	Direct/co-regulatory Arg1 promoter evidence is IL-4/macrophage-specific and depends on PGC-1β; no universal STAT6 or direct IL-13 receptor-complex claim is established.	true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-005	M22A-HANDOFF-001307	il4 il4r_il13ra1	Il4 IL4R_IL13RA1	STAT6	STAT6	Chil3 (Ym1)	M22B-E000460	M22B-EVID-000009	PMID:12215441;DOI:10.1074/jbc.M205873200;https://doi.org/10.1074/jbc.M205873200	high			promote_existing_high_tf_target_bounded_handoff	high	IL-4/STAT6-dependent Chil3/Ym1 promoter evidence with reporter, site-mutation, and DNA-binding support in mouse macrophage models.	IL-4 can also signal through the type-I IL4R-IL2RG complex. This row is restricted to the type-II IL4R-IL13RA1 composition; outputs differ by macrophage and lymphocyte context.	Direct, pathway, program, and functional layers remain distinct.	Evidence is strongest for IL-4-treated mouse macrophages; receptor-complex-specific and IL-13-specific effects in SCI receiver cells are not established.	true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-006	M22A-HANDOFF-001312	il6 il6r_il6st	Il6 Il6r_il6st	STAT3	STAT3	Socs3	M22B-E000431	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3		M22B-P2-R-RECOVERY-STAT3-SOCS3-000001	High	promote_existing_high_tf_target_bounded_handoff	high	IL-6/sIL-6R, STAT3 promoter binding, and endogenous Socs3 induction with promoter-site controls in mouse comparator systems.	Classic and trans-signaling use membrane or soluble IL6R; gp130 is shared by IL-6-family cytokines, and branch usage varies by cell type and receptor abundance. No SCI-specific terminal-TF weighting assigned.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-007	M22A-HANDOFF-001802	bdnf ntrk2	Bdnf Ntrk2	CREB	CREB	Bdnf promoter IV	M22B-E000036	M22B-EVID-000137	PMCID:PMC7044735; PMID:31915257; DOI:10.1523/JNEUROSCI.0367-19.2019; PMID:9390517; https://pmc.ncbi.nlm.nih.gov/articles/PMC7044735/	high	M22B-P2-R-000137-R094	High for BDNF-TrkB-CREB promoter-IV occupancy and functional dependence; bounded for human conservation, receptor-complex detail, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	BDNF-TrkB/CREB promoter-IV occupancy, promoter-element mutation, and CREB-family perturbation support in rat cortical neurons.	Pair-specific TrkB pathway with measured pCREB; Module22A target program still pending.	Direct, pathway, program, and functional layers remain distinct.	Primary cortical-neuron and promoter-reporter evidence does not establish SCI receiver-cell transfer or all CREB-family paralogs.	true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-008	M22A-HANDOFF-000449	eda edar	Eda Edar		RELB	Ltb;Tnfrsf9	M22B-E000336	M22B-EVID-000620	PMID:30037996;PMCID:PMC6094125		M22B-P2-R-000338	High for the direct RelB promoter evidence and species limitation; bounded for generic Eda, exact ligand isoform, and SCI transfer	promote_existing_high_tf_target_with_new_terminal_tf_bounded_handoff	high	EDA-A1/EDAR/RelB promoter occupancy and RelB-dependent Ltb transcription in the validated skin-cell models.	—	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-009	M22A-HANDOFF-000450	egf egfr	Egf Egfr		ELK1	EGR1 promoter	M22B-E000158	M22B-EVID-000622	PMID:22593802;PMID:26551735		M22B-P2-R-000340	High for direct Elk-1-EGR1 promoter regulation in PC3 cells; bounded for exact EGFR-complex assignment and SCI transfer	promote_existing_high_tf_target_with_new_terminal_tf_bounded_handoff	high	EGF/EGFR/ERK-dependent ELK1 occupancy and promoter perturbation at EGR1 in human PC3 cells.	Structural and purified-receptor studies define binding/dimerization, while cellular outputs vary with EGFR abundance, ligand presentation, and receptor context. MAPK/AKT are pathway outputs, not terminal-TF calls.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-010	M22A-HANDOFF-005464	il10 il10ra_il10rb	Il10 Il10ra_il10rb	STAT3	STAT3	Zfp36	M22B-E000432	M22B-EVID-000083	PMID:22865915;PMCID:PMC3424405;DOI:10.4049/jimmunol.1201126		M22B-P2-R-000083-R092	High for IL-10/STAT3/Zfp36 promoter occupancy and feedback function; bounded for receptor-complex and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	IL-10/STAT3 recruitment and transcriptional activation at the Ttp/Zfp36 promoter in activated mouse macrophages.	IL10RB is shared with other class-II cytokine receptors and receptor stoichiometry/species specificity matter. STAT3 recruitment is directly supported, but the models are engineered or human macrophage systems rather than SCI receiver cells; no SCI-specific terminal program was assigned.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
