tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	catalog_profile_count	tflink_target_count	unique_reference_pmids	current_status	identifier_flags	triage_bucket	promotion_scope	module_route	evidence_readiness	triage_reason	provenance_note
abcc9	Abcc9	mouse	TFLink	TFLink_v1.0_snapshot		1	0	4845	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
acss2	Acss2	mouse	TFLink	TFLink_v1.0_snapshot		1	0	3987	0	new_candidate	transcript_like_identifier	prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
acvr1	Acvr1	mouse	TFLink	TFLink_v1.0_snapshot		1	0	5	0	new_candidate	transcript_like_identifier	prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ada2	ADA2	human	TFLink	TFLink_v1.0_snapshot		1	0	824	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
adcyap1	ADCYAP1	human	TFLink	TFLink_v1.0_snapshot		1	0	7	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
aff1	AFF1;Aff1	human;mouse	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot	AnimalTFDB3	3	0	11720	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
aff3	AFF3;Aff3	human;mouse	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot	AnimalTFDB3	3	0	6842	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
aff4	AFF4;Aff4	human;mouse	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot	AnimalTFDB3	4	0	14485	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ago1	AGO1	human	TFLink	TFLink_v1.0_snapshot		1	0	9777	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ago2	AGO2	human	TFLink	TFLink_v1.0_snapshot		1	0	6467	0	new_candidate		prioritize_target_evidence_search	none	22B_target_search	aggregated_target_lead_pair_unverified	TFLink supplies target-membership counts, but its GMT snapshot lacks target-level assay and PMID provenance.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
