tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	catalog_profile_count	tflink_target_count	unique_reference_pmids	current_status	identifier_flags	triage_bucket	promotion_scope	module_route	evidence_readiness	triage_reason	provenance_note
ewsr1-fli1	EWSR1-FLI1	vertebrates	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	1	1	0	0	new_candidate		exclude_from_automatic_module_promotion_profile_only	none	profile_validation	motif_profile_only	JASPAR profile support identifies a DNA-binding profile but supplies no exact TF-target pair evidence.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
mix-a	mix-a	vertebrates	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	1	1	0	0	new_candidate		exclude_from_automatic_module_promotion_profile_only	none	profile_validation	motif_profile_only	JASPAR profile support identifies a DNA-binding profile but supplies no exact TF-target pair evidence.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
scand3	SCAND3	vertebrates	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	1	1	0	0	new_candidate		exclude_from_automatic_module_promotion_profile_only	none	profile_validation	motif_profile_only	JASPAR profile support identifies a DNA-binding profile but supplies no exact TF-target pair evidence.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
zfta	ZFTA	vertebrates	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	1	1	0	0	new_candidate		exclude_from_automatic_module_promotion_profile_only	none	profile_validation	motif_profile_only	JASPAR profile support identifies a DNA-binding profile but supplies no exact TF-target pair evidence.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q05ba5	Q05BA5	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q32ny6	Q32NY6	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q32ny8	Q32NY8	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3u1q3	Q3U1Q3	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3u5d9	Q3U5D9	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3uq17	Q3UQ17	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3v157	Q3V157	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q60i23	Q60I23	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q6p1h7	Q6P1H7	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q8bnq4	Q8BNQ4	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q8bpq2	Q8BPQ2	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q8brf1	Q8BRF1	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q8k1z8	Q8K1Z8	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q91vn7	Q91VN7	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q9qum5	Q9QUM5	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q9qx99	Q9QX99	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
a430033k04rik	A430033K04Rik	mouse	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate		manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac002310.5	AC002310.5	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac004080.3	AC004080.3	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac005324.4	AC005324.4	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac008758.1	AC008758.1	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac008770.2	AC008770.2	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac008770.3	AC008770.3	human	Lambert_HumanTFs	Lambert_v1.01	Lambert_HumanTFs	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac010422.6	AC010422.6	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac010487.3	AC010487.3	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac010616.1	AC010616.1	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac012531.3	AC012531.3	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac019117.3	AC019117.3	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac020909.1	AC020909.1	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac022167.5	AC022167.5	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac025287.4	AC025287.4	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac067968.1	AC067968.1	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac073111.3	AC073111.3	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac073111.5	AC073111.5	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac073612.1	AC073612.1	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac092329.3	AC092329.3	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac105001.2	AC105001.2	human	AnimalTFDB3	AnimalTFDB3_git_snapshot	AnimalTFDB3	1	0	0	0	new_candidate	transcript_like_identifier	manual_identity_review	none	unassigned_until_identity_and_pair_review	single_identity_source_pair_unverified	Only one identity/profile lane is present and no exact-pair primary evidence is available in the expansion. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
