tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	catalog_profile_count	tflink_target_count	unique_reference_pmids	current_status	identifier_flags	triage_bucket	promotion_scope	module_route	evidence_readiness	triage_reason	provenance_note
q05ba5	Q05BA5	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q32ny6	Q32NY6	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q32ny8	Q32NY8	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3u1q3	Q3U1Q3	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3u5d9	Q3U5D9	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3uq17	Q3UQ17	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q3v157	Q3V157	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q60i23	Q60I23	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q6p1h7	Q6P1H7	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
q8bnq4	Q8BNQ4	mouse	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25		1	0	0	0	new_candidate	unresolved_protein_accession	exclude_unresolved_identifier	none	identifier_mapping_required	not_reviewable_as_gene_symbol	Protein accession is not a stable gene-symbol TF identity; map to a gene symbol before review.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
