regulator_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	triage_bucket	identity_source_count	catalog_profile_count	tflink_target_count	matched_role_signals	role_category	classification_confidence	classification_status	module_route	module22b_eligibility	evidence_readiness	provenance_note
atad2	Atad2	mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	5	ATAD2:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
atf7ip	ATF7IP	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	4131	ATF7IP:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
bap1	BAP1	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	3833	BAP1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
brd1	BRD1	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	7340	BRD1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
brd2	BRD2;Brd2	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	28052	BRD2:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
brd3	BRD3;Brd3	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	12629	BRD3:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
brd4	BRD4;Brd4	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	35306	BRD4:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
brd9	BRD9;Brd9	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	24649	BRD9:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
cenpa	CENPA;Cenpa	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	4	0	8466	CENPA:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
cxxc1	CXXC1;Cxxc1	human;mouse	Lambert_HumanTFs;TFLink	Lambert_v1.01;TFLink_v1.0_snapshot	Lambert_HumanTFs	prioritize_target_evidence_search	3	0	17309	CXXC1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
