candidate_key	species_scope	tf_symbol	tf_key	source_registries	source_versions	reported_contributor_labels	identity_source_count	regulon_record_count	unique_reference_pmids	catalog_profile_count	tflink_target_count	current_sets	current_entity_ids	current_module_codes	in_existing_public_pair_union	in_canonical_tf_role_any_species	in_canonical_tf_role_exact_species	in_module_22B_exact_species	in_current_canonical_any_species	dedupe_status	review_status	notes
human|aatf	human	AATF	aatf	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	5	4	0	6				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|abl1	human	ABL1	abl1	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	12	7	0	10				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|ac002310.5	human	AC002310.5	ac002310.5	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac004080.3	human	AC004080.3	ac004080.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac005324.4	human	AC005324.4	ac005324.4	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac008758.1	human	AC008758.1	ac008758.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac008770.2	human	AC008770.2	ac008770.2	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac008770.3	human	AC008770.3	ac008770.3	Lambert_HumanTFs	Lambert_v1.01		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac010422.6	human	AC010422.6	ac010422.6	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac010487.3	human	AC010487.3	ac010487.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac010616.1	human	AC010616.1	ac010616.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac012531.3	human	AC012531.3	ac012531.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac019117.3	human	AC019117.3	ac019117.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac020909.1	human	AC020909.1	ac020909.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac022167.5	human	AC022167.5	ac022167.5	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac023509.3	human	AC023509.3	ac023509.3	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac025287.4	human	AC025287.4	ac025287.4	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac067968.1	human	AC067968.1	ac067968.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac073111.3	human	AC073111.3	ac073111.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac073111.5	human	AC073111.5	ac073111.5	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac073612.1	human	AC073612.1	ac073612.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac092329.3	human	AC092329.3	ac092329.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac092835.1	human	AC092835.1	ac092835.1	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac105001.2	human	AC105001.2	ac105001.2	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac115220.1	human	AC115220.1	ac115220.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac118549	human	AC118549	ac118549	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ac138696.1	human	AC138696.1	ac138696.1	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
