current_set	current_id	species_scope	tf_symbol	tf_key	role_status	module_code
canonical_tf_edge	16799	human	AHR	ahr	curated	
canonical_tf_edge	16800	human	ARNT	arnt	curated	
canonical_tf_edge	16728	human	ATF3	atf3	curated	
canonical_tf_edge	16801	human	ATF4	atf4	curated	
canonical_tf_edge	16802	human	BACH1	bach1	curated	
canonical_tf_edge	16803	human	BCL6	bcl6	curated	
canonical_tf_edge	16804	human	BMAL1	bmal1	curated	
canonical_tf_edge	16730	human	BRCA1	brca1	curated	
canonical_tf_edge	16805	human	BRCA2	brca2	curated	
canonical_tf_edge	16806	human	BTAF1	btaf1	curated	
canonical_tf_edge	16807	human	CDX2	cdx2	curated	
canonical_tf_edge	16808	human	CEBPA	cebpa	curated	
canonical_tf_edge	16809	human	CEBPD	cebpd	curated	
canonical_tf_edge	16740	human	CIITA	ciita	curated	
canonical_tf_edge	16810	human	CREB1	creb1	curated	
canonical_tf_edge	16811	human	CREM	crem	curated	
canonical_tf_edge	16812	human	CTCF	ctcf	curated	
canonical_tf_edge	16813	human	CUX1	cux1	curated	
canonical_tf_edge	16814	human	DNMT1	dnmt1	curated	
canonical_tf_edge	16747	human	E2F1	e2f1	curated	
canonical_tf_edge	16815	human	E2F3	e2f3	curated	
canonical_tf_edge	16816	human	E2F4	e2f4	curated	
canonical_tf_edge	16817	human	E2F6	e2f6	curated	
canonical_tf_edge	16818	human	E2F8	e2f8	curated	
canonical_tf_edge	16819	human	ELF1	elf1	curated	
canonical_tf_edge	16820	human	ERG	erg	curated	
canonical_tf_edge	16821	human	ETS1	ets1	curated	
canonical_tf_edge	16822	human	EZH2	ezh2	curated	
canonical_tf_edge	16823	human	FOXM1	foxm1	curated	
canonical_tf_edge	16824	human	FOXP2	foxp2	curated	
canonical_tf_edge	16825	human	GATA1	gata1	curated	
canonical_tf_edge	16826	human	GATA3	gata3	curated	
canonical_tf_edge	16827	human	GATA4	gata4	curated	
canonical_tf_edge	16828	human	GFI1	gfi1	curated	
canonical_tf_edge	16829	human	HDAC2	hdac2	curated	
canonical_tf_edge	16830	human	HDAC3	hdac3	curated	
canonical_tf_edge	16831	human	HIC1	hic1	curated	
canonical_tf_edge	16832	human	HMGA1	hmga1	curated	
canonical_tf_edge	16833	human	HNF4A	hnf4a	curated	
canonical_tf_edge	16834	human	HOXA10	hoxa10	curated	
canonical_tf_edge	16835	human	HOXB7	hoxb7	curated	
canonical_tf_edge	16836	human	HSF1	hsf1	curated	
canonical_tf_edge	16837	human	ID4	id4	curated	
canonical_tf_edge	16838	human	IRF1	irf1	curated	
canonical_tf_edge	16763	human	IRF7	irf7	curated	
canonical_tf_edge	16839	human	JDP2	jdp2	curated	
canonical_tf_edge	16840	human	KLF1	klf1	curated	
canonical_tf_edge	16841	human	KLF11	klf11	curated	
canonical_tf_edge	16842	human	KLF13	klf13	curated	
canonical_tf_edge	16843	human	KLF4	klf4	curated	
canonical_tf_edge	16844	human	KLF5	klf5	curated	
canonical_tf_edge	16845	human	KLF6	klf6	curated	
canonical_tf_edge	16846	human	KMT2A	kmt2a	curated	
canonical_tf_edge	16847	human	LHX3	lhx3	curated	
canonical_tf_edge	16848	human	LMO4	lmo4	curated	
canonical_tf_edge	16849	human	LMX1B	lmx1b	curated	
canonical_tf_edge	16850	human	MBD2	mbd2	curated	
canonical_tf_edge	16851	human	MECP2	mecp2	curated	
canonical_tf_edge	16852	human	MEF2A	mef2a	curated	
canonical_tf_edge	16853	human	MEF2C	mef2c	curated	
canonical_tf_edge	16854	human	MEF2D	mef2d	curated	
canonical_tf_edge	16769	human	MEIS1	meis1	curated	
canonical_tf_edge	16771	human	MITF	mitf	curated	
canonical_tf_edge	16855	human	MKL1	mkl1	curated	
canonical_tf_edge	16856	human	MYB	myb	curated	
canonical_tf_edge	16857	human	NEUROG3	neurog3	curated	
canonical_tf_edge	16858	human	NFIC	nfic	curated	
canonical_tf_edge	16859	human	NFKB2	nfkb2	curated	
canonical_tf_edge	16860	human	NME2	nme2	curated	
canonical_tf_edge	16861	human	NR1H2	nr1h2	curated	
canonical_tf_edge	16862	human	NR1I2	nr1i2	curated	
canonical_tf_edge	16863	human	NR1I3	nr1i3	curated	
canonical_tf_edge	16864	human	NR2E1	nr2e1	curated	
canonical_tf_edge	16865	human	NR5A1	nr5a1	curated	
canonical_tf_edge	16866	human	NRF1	nrf1	curated	
canonical_tf_edge	16867	human	PAX2	pax2	curated	
canonical_tf_edge	16868	human	PAX5	pax5	curated	
canonical_tf_edge	16869	human	PAX6	pax6	curated	
