expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3566	M21B-DOWNSTREAM:01037	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08707	P2Y2/P2RY2	M21B-E002575	NODE05874	ITGAV:ITGB3 alphaV-beta3 integrin					P2Y2-RGD-alphaVbeta3 Go/Rac migration crosstalk output	P2Y2-RGD-alphaVbeta3-Go-Rac-migration-relay	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-002518; PMID:11331301; PMID:16186116; PMID:17452627	M21B-DOWNSTREAM-EVID:001677	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3566	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	PMID:11331301; PMID:16186116; PMID:17452627	Primary P2Y2 RGD-alphaV integrin association and migration signaling evidence	Primary studies show RGD-dependent P2Y2 association with alphaV integrins and integrin-dependent Go/Rac/Vav2 and migration responses in recombinant human astrocytoma cells.	Represent bounded RGD-dependent P2Y2-alphaVbeta3 complex crosstalk; do not infer a stable purified ternary complex, direct intracellular edge beyond the cited assays, SCI function, or terminal-TF output.	curated_primary_route	LITEXP:003616
M21B-LITEXP-3567	M21B-DOWNSTREAM:01038	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08707	P2Y2/P2RY2	M21B-E002576	NODE05896	ITGAV:ITGB5 alphaV-beta5 integrin					P2Y2-RGD-alphaVbeta5 Go/G12-Rac/Rho chemotaxis output	P2Y2-RGD-alphaVbeta5-Go-G12-Rac-Rho-relay	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-002519; PMID:11331301; PMID:16186116; PMID:17452627	M21B-DOWNSTREAM-EVID:001678	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3567	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	PMID:11331301; PMID:16186116; PMID:17452627	Primary P2Y2 RGD-alphaVbeta5 association and G12 chemotaxis evidence	Primary studies show RGD-dependent P2Y2 association with alphaVbeta5, integrin-dependent Go/G12-Rac/Rho signaling, and UTP chemotaxis, with loss of response after RGE mutation or alphaV blockade.	Represent bounded RGD-dependent P2Y2-alphaVbeta5 complex crosstalk; preserve the recombinant-cell context and do not infer a stable purified ternary complex, SCI function, or terminal-TF output.	curated_primary_route	LITEXP:003617
M21B-LITEXP-3568	M21B-DOWNSTREAM:01190	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE06414	LINGO1	M21B-E002887	NODE09893	RTN4R/NgR1					LINGO1-NgR1-p75 RhoA neurite-inhibition output	LINGO1-NgR1-p75-RhoA-neurite-inhibition	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-002830; PMID:14966521; DOI:10.1038/nn1188	M21B-DOWNSTREAM-EVID:001924	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3568	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; rodent neuronal comparator	PMID:14966521; DOI:10.1038/nn1188	Primary LINGO1-NgR1-p75 complex and neurite-inhibition evidence	Reconstitution and neuronal perturbation studies support LINGO1 as a transmembrane component of the NgR1/p75 inhibitory complex with RhoA and neurite-outgrowth readouts.	Represent LINGO1 as a co-receptor component rather than a direct myelin ligand; preserve reconstitution and neuronal comparator context, with no fixed stoichiometry, SCI receiver weighting, or terminal-TF inference.	curated_primary_route	LITEXP:003618
M21B-LITEXP-3569	M21B-DOWNSTREAM:01192	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE11269	TNFRSF19/TROY	M21B-E002889	NODE09893	RTN4R/NgR1					TROY-NgR1-LINGO1 RhoA neurite-inhibition output	TROY-NgR1-LINGO1-RhoA-neurite-inhibition	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-002832; PMID:15694321; PMID:15694322; DOI:10.1016/j.neuron.2004.12.040	M21B-DOWNSTREAM-EVID:001927	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3569	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse neuronal comparator	PMID:15694321; PMID:15694322; DOI:10.1016/j.neuron.2004.12.040	Primary TROY-NgR1-LINGO1 complex and neurite-inhibition evidence	Reconstitution, blockade and neuronal studies support TROY as an alternative p75NTR signal-transducing coreceptor in the NgR1/LINGO1 inhibitory complex.	Represent TROY/TAJ as an alternative co-receptor rather than a ligand; preserve myelin-inhibitor and neuronal context, with no fixed stoichiometry, SCI outcome, or terminal-TF mechanism inferred.	curated_primary_route	LITEXP:003619
M21B-LITEXP-3570	M21B-DOWNSTREAM:01366	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|translocation_or_localization_readout|second_messenger_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE04353	GPNMB extracellular fragment	M21B-E004666	NODE00996	ATP1A1/Na+-K+-ATPase alpha1					GPNMB-ATP1A1 membrane-potential Akt/ERK output	GPNMB-ATP1A1-Akt-ERK-neuroprotection	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-004609; PMID:26988030; PMCID:PMC4772080; DOI:10.1038/srep23241	M21B-DOWNSTREAM-EVID:002204	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3570	mechanism_evidence_v1	supports	not_evaluated	source_claim	second_messenger_readout	mouse neuronal comparator	PMID:26988030; PMCID:PMC4772080; DOI:10.1038/srep23241	Primary extracellular GPNMB-ATP1A1 association and Akt/ERK evidence	Cellular association, inhibition and knockdown studies support extracellular GPNMB association with Na+/K+-ATPase alpha1 and bounded membrane-potential, Akt/ERK and neuroprotection readouts.	Preserve extracellular GPNMB and ATP1A1 context; association and perturbation do not establish a purified binary complex or universal mechanism, and no SCI or terminal-TF inference is asserted.	curated_primary_route	LITEXP:003620
M21B-LITEXP-3571	M21B-DOWNSTREAM:01559	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE11557	UNC5C/Unc5C receptor	M21B-E005121	NODE03289	EPHB2/EphB2 receptor					Netrin-1/UNC5C-ephrin-B2/EphB2 Src-guidance output	UNC5C-EphB2-Netrin-ephrin-Src-guidance	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-005064; PMID:26633881; DOI:10.7554/eLife.10841	M21B-DOWNSTREAM-EVID:002456	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3571	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse; chick	PMID:26633881; DOI:10.7554/eLife.10841	Primary ligand-dependent UNC5C-EphB2 complex and Src guidance evidence	The primary supports ligand-dependent UNC5C-EphB2 complex formation under Netrin-1/ephrin-B2 co-stimulation, with receptor phosphorylation, Src-family signaling and axon-guidance readouts.	Preserve Netrin-1/ephrin-B2 co-stimulation and motor-neuron context; do not infer direct ligand-independent receptor binding, standalone ligand edges, SCI receiver state, or terminal-TF output.	curated_primary_route	LITEXP:003621
M21B-LITEXP-3572	M21B-DOWNSTREAM:01570	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE09803	ROBO1/Roundabout homolog 1	M21B-E005144	NODE08298	NRP1/Neuropilin-1					ROBO1-NRP1 semaphorin signaling and interneuron migration output	ROBO1-NRP1-semaphorin-migration-crosstalk	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-005087; PMID:21508241; PMCID:PMC3088089	M21B-DOWNSTREAM-EVID:002472	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3572	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse	PMID:21508241; PMCID:PMC3088089	Primary ROBO1-NRP1 association and semaphorin migration evidence	The primary demonstrates direct ROBO1-NRP1 interaction and ROBO1-dependent modulation of semaphorin signaling and cortical interneuron migration.	Represent ROBO1-NRP1 receptor-complex modulation rather than a canonical ligand edge; preserve developing forebrain context and the finding that ROBO1 does not directly bind semaphorin, with no SCI or terminal-TF inference.	curated_primary_route	LITEXP:003622
M21B-LITEXP-3573	M21B-DOWNSTREAM:01586	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|second_messenger_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE10387	SLITRK5	M21B-E005406	NODE08406	NTRK2/TrkB receptor					BDNF-Slitrk5-TrkB recycling and Akt/ERK output	BDNF-Slitrk5-TrkB-recycling-signaling	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-005349; PMID:26004511; PMCID:PMC4784688; DOI:10.1016/j.devcel.2015.04.009	M21B-DOWNSTREAM-EVID:002491	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3573	mechanism_evidence_v1	supports	not_evaluated	source_claim	second_messenger_readout	human; mouse neuronal comparator	PMID:26004511; PMCID:PMC4784688; DOI:10.1016/j.devcell.2015.04.009	Primary BDNF-dependent Slitrk5-TrkB trafficking and signaling evidence	The primary shows that BDNF shifts Slitrk5 toward cis-interaction with TrkB and that Slitrk5 supports ligand-dependent TrkB recycling and downstream signaling.	Preserve BDNF-dependent cis interaction, LRR-domain and full-length TrkB context; do not infer a ligand-independent kinase relay, PTPdelta branch, SCI relevance, or terminal-TF output.	curated_primary_route	LITEXP:003623
M21B-LITEXP-3574	M21B-DOWNSTREAM:01876	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|gene_expression_or_transcription|cellular_functional_readout|second_messenger_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE11376	TREM2	M21B-E006357	NODE02502	CSF1R					TREM2-CSF1R microglial Akt/survival crosstalk output	TREM2-CSF1R-microglial-survival-crosstalk	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-006300; PMCID:PMC8027073; DOI:10.3389/fimmu.2021.633796	M21B-DOWNSTREAM-EVID:002975	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3574	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse microglia; HEK293T	PMCID:PMC8027073; DOI:10.3389/fimmu.2021.633796	Primary TREM2-CSF1R interaction and microglial survival crosstalk evidence	The primary demonstrates transmembrane-region-dependent TREM2-CSF1R association and reciprocal expression effects in microglia, while CSF1R activation restores survival through an Akt-associated context.	Represent receptor-receptor crosstalk rather than a ligand edge; preserve that TREM2 is not required for CSF1/CSF1R-mediated survival, and do not infer a resolved physical interface, SCI branch, or terminal-TF output.	curated_primary_route	LITEXP:003624
M21B-LITEXP-3575	M21B-DOWNSTREAM:02230	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|reporter_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE11609	USP8/UBPY	M21B-E007215	NODE03860	FZD/Frizzled receptor					USP8-Frizzled deubiquitination/recycling Wnt reporter output	USP8-Frizzled-recycling-Wnt-responsiveness	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-007158; PMID:20495530; PMCID:PMC2905240; DOI:10.1038/emboj.2010.100	M21B-DOWNSTREAM-EVID:003575	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3575	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	mammalian; Drosophila	PMID:20495530; PMCID:PMC2905240; DOI:10.1038/emboj.2010.100	Primary USP8/UBPY Frizzled deubiquitination and Wnt-responsiveness evidence	The primary shows USP8/UBPY-dependent Frizzled deubiquitination, recycling and protection from lysosomal degradation, increasing Wnt responsiveness in cell and tissue systems.	Represent receptor-trafficking support rather than a direct Wnt-ligand edge; preserve generic FZD and mammalian-versus-Drosophila context, with no SCI or terminal-TF output inferred.	curated_primary_route	LITEXP:003625
